UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722844664008, -5.5, 16.65, 0.55, -0.147, -0.019, 0.0024
1722844664039, -5.8, 16.55, 0.55, -0.166, -0.02, -0.0136
1722844664070, -5.75, 16.8, 0.65, -0.185, -0.023, -0.0688
1722844664101, -5.6, 16.35, 0.1, -0.026, -0.021, -0.0352
1722844664133, -5.45, 16.6, 0.7, -0.21, -0.018, -0.0152
1722844664164, -5.7, 16.55, 0.45, -0.144, -0.017, -0.0208
1722844664195, -5.7, 16.45, 0.2, -0.051, -0.021, -0.0168
1722844664226, -5.6, 16.55, 0.75, -0.221, -0.017, 0.0056
1722844664258, -5.65, 16.55, 0.35, -0.088, -0.017, -0.0312
1722844664289, -5.6, 16.55, 0.1, -0.049, -0.02, -0.0304
1722844664320, -5.8, 16.7, 0.8, -0.235, -0.017, -0.0384
1722844664351, -5.5, 16.7, 0.25, -0.087, -0.02, 0.0056
1722844664383, -5.5, 16.7, 0.5, -0.133, -0.019, -0.0176
1722844664414, -5.8, 16.75, 0.75, -0.229, -0.019, -0.0248
1722844664445, -5.55, 16.5, 0.1, -0.048, -0.02, -0.0216
1722844664476, -5.6, 16.65, 0.6, -0.167, -0.02, -0.0296
1722844664508, -5.6, 16.6, 0.75, -0.215, -0.017, -0.0144
1722844664539, -5.55, 16.4, 0.2, -0.044, -0.021, -0.0168
1722844664570, -5.75, 16.7, 0.6, -0.188, -0.02, -0.0488
1722844664601, -5.55, 16.7, 0.55, -0.177, -0.018, -0.0152
1722844664633, -5.5, 16.5, 0.2, -0.044, -0.019, -0.0408
1722844664664, -5.65, 16.65, 0.75, -0.216, -0.02, -0.028
1722844664695, -5.65, 16.5, 0.45, -0.115, -0.019, -0.0304
1722844664726, -5.6, 16.5, 0.2, -0.053, -0.022, -0.032
1722844664758, -5.45, 16.55, 0.75, -0.224, -0.019, -0.0304
1722844664789, -5.6, 16.55, 0.35, -0.1, -0.02, -0.028
1722844664820, -5.65, 16.5, 0.25, -0.086, -0.02, -0.0336
1722844664851, -5.65, 16.55, 0.7, -0.222, -0.017, -0.024
1722844664883, -5.6, 16.6, 0.3, -0.08, -0.02, -0.0304
1722844664914, -5.55, 16.65, 0.45, -0.143, -0.02, -0.0184
1722844664945, -5.55, 16.6, 0.7, -0.221, -0.018, -0.0272
1722844664992, -5.55, 16.55, 0.55, -0.125, -0.019, -0.0208
1722844665023, -5.7, 16.6, 0.7, -0.218, -0.019, -0.0264
1722844665054, -5.6, 16.4, 0.25, -0.059, -0.021, -0.0272
1722844665086, -5.65, 16.7, 0.55, -0.139, -0.017, -0.0496
1722844665117, -5.65, 17, 0.8, -0.251, -0.014, -0.0208
1722844665148, -5.9, 16.45, 0.3, -0.034, -0.019, -0.0856
1722844665179, -6.35, 16.45, 0.2, -0.097, -0.022, -0.2008
1722844665211, -4.4, 16.85, 0.6, -0.19, -0.028, 0.3048
1722844665242, -5.65, 16.75, 0.75, -0.229, -0.029, 0.0088
1722844665273, -6.45, 15.65, 0.15, -0.028, -0.026, -0.2832
1722844665304, -6.2, 16.6, 0.85, -0.243, -0.012, -0.1976
1722844665320, -5, 17.1, 0.65, -0.19, -0.025, 0.1776
1722844665351, -6.15, 16.4, 0, -0.041, -0.022, -0.172
1722844665383, -5.75, 16.75, 0.3, -0.108, -0.025, -0.1648
1722844665414, -5.9, 16.7, 0.75, -0.194, -0.021, -0.0736
1722844665445, -5.65, 16.5, 0.25, -0.034, -0.018, -0.0448
1722844665476, -6.05, 16.65, 0.5, -0.181, -0.025, -0.16
1722844665508, -5.35, 16.7, 0.7, -0.213, -0.01, -0.004
1722844665539, -5.65, 16.5, 0.15, -0.027, -0.022, -0.0008
1722844665570, -5.25, 16.75, 0.45, -0.194, -0.017, 0.0328
1722844665601, -5.7, 16.7, 0.55, -0.148, -0.016, -0.0184
1722844665633, -5.7, 16.7, 0.3, -0.121, -0.018, -0.0592
1722844665664, -5.6, 16.9, 0.95, -0.206, -0.015, 0.0176
1722844665695, -5.85, 16.35, 0.3, -0.067, -0.02, -0.108
1722844665726, -5.45, 16.6, 0.45, -0.137, -0.018, -0.0008
1722844665758, -5.8, 16.65, 0.7, -0.218, -0.019, -0.0584
1722844665789, -5.7, 16.45, 0.25, -0.067, -0.022, 0.0072
1722844665820, -5.8, 16.5, 0.55, -0.124, -0.019, -0.0712
1722844665851, -5.8, 16.7, 0.55, -0.147, -0.02, -0.0376
1722844665883, -5.65, 16.5, 0.25, -0.066, -0.022, -0.0656
1722844665914, -5.65, 16.75, 0.7, -0.23, -0.019, -0.0368
1722844665945, -5.65, 16.35, 0.35, -0.123, -0.02, -0.0536
1722844665976, -5.6, 16.7, 0.35, -0.054, -0.015, -0.0016
1722844666008, -5.55, 16.65, 1, -0.193, -0.014, -0.0064
1722844666039, -5.7, 16.85, 0.2, -0.145, -0.015, -0.0744
1722844666070, -5.5, 16.3, 0.55, -0.114, -0.012, -0.0008
1722844666101, -5.55, 16.6, 0.9, -0.182, -0.022, -0.0264
1722844666133, -5.65, 16.5, 0.65, -0.108, -0.017, 0.0016
1722844666164, -5.35, 16.45, 0.3, -0.113, -0.016, 0.0152
1722844666195, -5.75, 16.4, 0.7, -0.164, -0.02, -0.0304
1722844666226, -5.65, 16.55, 0.25, -0.121, -0.018, -0.0576
1722844666258, -5.75, 16.45, 0.6, -0.123, -0.021, -0.0128
1722844666289, -5.65, 16.5, 0.6, -0.155, -0.019, -0.0328
1722844666320, -5.45, 16.6, 0.35, -0.098, -0.018, 0.0128
1722844666351, -5.65, 16.65, 0.55, -0.149, -0.017, -0.0296
1722844666383, -5.55, 16.6, 0.55, -0.154, -0.022, -0.0112
1722844666398, -5.6, 16.55, 0.45, -0.105, -0.017, -0.0192
1722844666429, -5.75, 16.75, 0.45, -0.134, -0.021, -0.0432
1722844666461, -5.55, 16.65, 0.5, -0.157, -0.015, -0.0016
1722844666492, -5.75, 16.5, 0.4, -0.105, -0.022, -0.052
1722844666523, -5.65, 16.7, 0.45, -0.136, -0.016, -0.0136
1722844666554, -5.7, 16.75, 0.5, -0.155, -0.021, -0.0352
1722844666586, -5.65, 16.65, 0.4, -0.108, -0.016, -0.028
1722844666617, -5.5, 16.65, 0.55, -0.165, -0.02, -0.0208
