UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722924719920, 15.9, -8.55, 12.45, -0.149, 0.096, -0.0776
1722924719935, 15.65, -8.6, 12.55, -0.184, 0.102, -0.0704
1722924719966, 15.8, -9.05, 12.45, -0.213, 0.118, -0.0808
1722924719982, 15.8, -8.45, 12.6, -0.166, 0.088, -0.0904
1722924719998, 15.75, -8.3, 12.5, -0.157, 0.093, -0.0856
1722924720013, 15.55, -8.65, 12.35, -0.185, 0.106, -0.068
1722924720045, 15.45, -8.9, 12.35, -0.191, 0.135, -0.076
1722924720060, 16.05, -8.65, 12.7, -0.19, 0.068, -0.08
1722924720107, 15.55, -8.8, 12.2, -0.191, 0.106, -0.0744
1722924720138, 15.35, -8.8, 12.5, -0.191, 0.118, -0.0784
1722924720170, 15.8, -8.65, 12.4, -0.174, 0.089, -0.0896
1722924720185, 15.6, -8.7, 12.35, -0.188, 0.118, -0.052
1722924720216, 15.85, -8.8, 12.4, -0.173, 0.114, -0.0808
1722924720248, 15.75, -8.6, 12.35, -0.187, 0.122, -0.0752
1722924720279, 15.25, -8.4, 12.55, -0.171, 0.115, -0.0624
1722924720310, 15.75, -8.05, 12.2, -0.133, 0.12, -0.0928
1722924720341, 14.75, -6.8, 11.3, -0.039, 0.197, -0.0728
1722924720373, 14.5, -6, 12.9, 0.073, 0.222, -0.1192
1722924720420, 14.7, -4.1, 12.1, 0.185, 0.154, -0.0528
1722924720451, 15.9, -5.1, 11.25, 0.159, 0.115, -0.1
1722924720466, 17.25, -7.05, 10.35, -0.013, 0, -0.144
1722924720498, 16.1, -4.1, 10.65, 0.197, 0.121, -0.0936
1722924720529, 16, -5.65, 12.45, 0.09, 0.119, -0.0792
1722924720560, 16.15, -6.25, 11.9, 0.036, 0.04, -0.0832
1722924720576, 17.35, -6, 14.65, 0.049, -0.12, -0.0592
1722924720623, 16.55, -8.5, 14.3, -0.262, -0.042, -0.032
1722924720654, 18.1, -11.95, 13.6, -0.387, -0.134, -0.0592
1722924720685, 17.4, -11.55, 15.4, -0.409, -0.153, -0.1328
1722924720716, 15.9, -12.95, 13.8, -0.709, 0.031, -0.0256
1722924720795, 16.45, -10.7, 13.5, -0.375, 0.052, -0.0056
1722924720841, 16.2, -9.05, 11.75, -0.22, 0.097, -0.0848
1722924720888, 16.95, -8.15, 13.05, -0.163, -0.022, -0.0952
1722924720920, 16.25, -7.5, 12.5, -0.084, 0.053, -0.0792
1722924720966, 16.7, -7.2, 12.8, -0.055, 0.005, -0.092
1722924721013, 16.35, -7.7, 12.65, -0.083, 0.049, -0.0776
1722924721045, 16.65, -7.45, 12.6, -0.072, 0.027, -0.076
1722924721076, 18.05, -6.05, 6.4, 0.134, -0.064, -0.084
1722924721107, 22.35, -7.65, 5.45, -0.144, -0.537, -0.0976
1722924721138, 18, -6.7, 14.3, -0.109, -0.19, -0.1256
1722924721170, 13.5, -8.45, 16, -0.086, 0.333, -0.092
1722924721201, 14.3, -8.05, 13.65, -0.029, 0.336, -0.0632
1722924721232, 17.4, -7.6, 13.35, -0.042, -0.043, -0.1344
1722924721263, 15.35, -6.1, 10, 0.136, 0.132, -0.112
1722924721295, 17.35, -9.95, 8.95, -0.408, -0.142, -0.0456
1722924721326, 16.5, -6.55, 8.95, 0.032, -0.023, -0.0968
1722924721357, 17.8, -8.35, 14.65, -0.231, -0.133, -0.0504
1722924721388, 16.95, -10.05, 15.3, -0.28, -0.003, -0.0816
1722924721420, 16.35, -6.3, 15.3, 0.146, 0.09, -0.1016
1722924721466, 16.2, -3.3, 8.05, 0.521, 0.234, -0.0592
1722924721498, 17.45, -5.6, 12.2, 0.275, 0.06, -0.0504
1722924721529, 16.9, -8.8, 15.3, -0.222, -0.035, -0.0912
1722924721560, 15, -10.2, 14.05, -0.541, 0.238, -0.2024
1722924721591, 14.85, -10.9, 11.05, -0.819, 0.314, -0.1752
1722924721638, 14.15, -12.05, 9.55, -0.952, 0.426, -0.1648
1722924721685, 15.2, -13.8, 11.3, -1.143, 0.187, -0.1464
1722924721716, 15.15, -14, 11.6, -1.172, 0.255, -0.1368
1722924721748, 15.35, -13.95, 11.65, -1.181, 0.268, -0.152
1722924721779, 16.95, -17.05, 14.55, -1.469, 0.047, -0.1176
1722924721810, 17.45, -19.6, 15.05, -1.761, -0.04, -0.0672
1722924721841, 15.7, -20.55, 10.15, -2.083, 0.107, -0.0128
1722924721873, 17.2, -21.65, 11.25, -2.206, 0.037, -0.0792
1722924721904, 16.35, -12.9, 11.1, -0.917, 0.173, -0.1368
1722924721935, 15.3, -6.85, 9.65, -0.281, 0.34, -0.1128
1722924721966, 16.6, -12.3, 9.7, -0.743, 0.098, 0.0288
1722924722013, 15.5, -9.65, 11.5, -0.621, 0.229, -0.012
1722924722045, 15.5, -10.4, 10.45, -0.659, 0.322, -0.0384
1722924722076, 15, -12.45, 8.3, -0.905, 0.35, -0.0752
1722924722107, 13.05, -13.5, 6.3, -0.914, 0.58, -0.008
1722924722138, 13.6, -10.65, 5.75, -0.658, 0.62, -0.0128
1722924722170, 13.25, -7.9, 6.4, -0.471, 0.615, -0.0536
1722924722201, 13.1, -7.7, 7.4, -0.475, 0.672, 0.0008
1722924722248, 11.75, -13.1, 4.3, -0.887, 0.852, 0.0672
1722924722279, 12.65, -14.15, 6.5, -1.114, 0.815, 0.04
1722924722310, 9.6, -7.15, 9.65, -0.374, 1.182, 0.0904
1722924722341, 11.75, -11.85, 9.5, -1.034, 0.87, 0.1168
1722924722373, 12.2, -7.6, 11.85, -0.616, 0.782, 0.096
1722924722404, 14.3, -8.8, 13.9, -0.629, 0.543, 0.016
1722924722435, 18.15, -7.35, 16.7, -0.499, -0.022, -0.0872
1722924722466, 18.05, -0.1, 17.75, 0.418, -0.069, -0.2664
1722924722498, 18.1, -4.4, 17.1, 0.314, -0.086, -0.3512
1722924722529, 16.8, -6.9, 17.2, -0.115, -0.008, -0.244
1722924722560, 16.9, -6.65, 13.9, 0.124, -0.007, -0.0304
1722924722591, 17.7, -10.2, 9.9, -0.316, -0.112, -0.0856
1722924722623, 15.45, -12.1, 6.3, -0.33, 0.25, -0.208
1722924722670, 16.95, -13.25, 4.2, -0.524, -0.093, -0.0984
1722924722685, 19.2, -12.55, 7.55, -0.592, -0.306, 0.0408
1722924722716, 17.95, -11.85, 9.5, -0.467, -0.271, 0.0152
1722924722748, 19.9, -10.6, 11, -0.353, -0.47, -0.1016
1722924722779, 20.15, -7.55, 14.1, -0.083, -0.463, -0.0744
1722924722810, -2.15, -7.5, 24.8, -0.044, 1.443, 0.048
1722924722841, 24, -11.6, 8.95, -0.606, -0.796, -0.0648
1722924722873, 8.35, 3.35, 19.9, 0.429, 0.83, -0.0192
1722924722904, 12.1, -6.25, 10.05, 0.029, 0.57, 0.128
1722924722951, 21.7, -2.45, 12.95, 0.366, -0.557, -0.0864
1722924722982, 30.35, 1.6, 13.9, 0.712, -1.241, -0.0992
1722924723013, 22.4, -6.55, 11.65, 0.091, -0.523, 0.0008
1722924723045, 16.1, -5.9, 14.1, 0.07, 0.024, -0.0216
1722924723091, 13, -13.5, 10.45, -0.782, 0.406, -0.0968
1722924723123, 4.25, -17, 13, -1.047, 0.979, -0.0728
1722924723154, 17.8, -13.2, 11.55, -0.546, -0.174, 0.0152
1722924723201, 22.15, -14.05, 12.4, -0.664, -0.548, 0.0336
1722924723232, 16.1, -9.55, 11, -0.148, -0.071, -0.0672
1722924723279, 19.7, -5.8, 14.3, -0.02, -0.531, -0.1152
1722924723326, 17.05, -7.65, 11.7, -0.147, -0.199, -0.1976
1722924723357, 17.85, -10.25, 13.15, -0.627, -0.316, -0.1544
1722924723388, 20.45, -8.4, 12.25, -0.389, -0.557, -0.34
1722924723420, 20.2, -5.95, 12.35, 0.071, -0.625, -0.2216
1722924723451, 17.7, -6.6, 13, -0.109, -0.285, -0.14
1722924723482, 18.1, -5.65, 9.4, 0.074, -0.342, -0.1448
1722924723513, 19.25, -8.05, 10.25, -0.24, -0.454, -0.0528
1722924723560, 18.2, -8.2, 6.85, -0.176, -0.16, -0.08
1722924723607, 22.3, -8.45, 11.75, -0.16, -0.752, -0.1056
1722924723670, 18.3, -8.4, 15.8, -0.412, -0.299, -0.0808
1722924723716, 17.55, -8.25, 16.8, -0.099, -0.158, -0.1136
1722924723763, 16.95, -6.95, 14.4, 0.034, 0.005, -0.068
1722924723795, 17.5, -5.75, 12.35, 0.112, -0.038, -0.044
1722924723826, 22.05, -8.25, 11.2, -0.241, -0.545, -0.0688
1722924723873, 18.9, -7.55, 12.6, 0.047, -0.326, -0.1736
1722924723904, 16.05, -9.4, 15.2, -0.266, -0.096, -0.0744
1722924723935, 15.3, -6.75, 14.9, -0.02, -0.121, -0.1288
1722924723966, 15.85, -7.65, 14.1, -0.062, -0.182, -0.0856
1722924724045, 19.15, -5.55, 15.35, 0.204, -0.708, -0.0976
1722924724076, 21.6, -7.65, 14.05, -0.059, -0.966, -0.044
1722924724123, 21.3, -7.3, 16.3, -0.022, -1.085, -0.0408
1722924724154, 21.5, -7.65, 16.3, 0.057, -1.101, 0.0312
1722924724170, 22.7, -8.95, 17.45, -0.217, -1.266, -0.0976
1722924724201, 21.05, -10.5, 17.7, -0.456, -1.072, -0.2184
1722924724232, 21.5, -8.8, 17.8, -0.295, -1.115, -0.24
1722924724263, 21.45, -9.3, 17.45, -0.413, -1.035, -0.2416
1722924724295, 20.9, -8.35, 16.8, -0.214, -1.023, -0.1488
