UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722925207762, 11.5, -1.95, 19.5, 0.306, 0.055, 0.0056
1722925207778, 10.9, -1.7, 18.95, 0.278, 0.097, 0.04
1722925207793, 11.4, -1.65, 19.55, 0.315, 0.068, 0.0184
1722925207809, 11.55, -2.05, 19.35, 0.278, 0.083, 0.0304
1722925207824, 11, -1.95, 19.15, 0.251, 0.1, 0.0152
1722925207840, 11.4, -1.4, 19.45, 0.343, 0.088, 0.0376
1722925207856, 10.9, -2, 19.1, 0.263, 0.111, 0.0224
1722925207871, 11.5, -1.9, 19.55, 0.279, 0.071, 0.02
1722925207887, 11.1, -1.95, 19.2, 0.292, 0.089, 0.0304
1722925207903, 11.15, -1.55, 19.45, 0.295, 0.092, 0.024
1722925207918, 11.25, -1.8, 19.3, 0.288, 0.08, 0.0184
1722925207949, 11.3, -2.15, 19.45, 0.272, 0.082, 0.0288
1722925207981, 11.4, -1.7, 19.4, 0.289, 0.097, 0.0248
1722925207996, 11.25, -2.05, 19.2, 0.262, 0.1, 0.0248
1722925208028, 11.3, -1.7, 19.35, 0.28, 0.095, 0.0344
1722925208043, 11.3, -1.75, 19.5, 0.292, 0.093, 0.0208
1722925208074, 11.25, -1.95, 19.3, 0.282, 0.087, 0.0208
1722925208121, 11.15, -1.9, 19.3, 0.286, 0.102, 0.0296
1722925208153, 11.3, -1.7, 19.5, 0.293, 0.084, 0.02
1722925208184, 11.2, -1.85, 19.1, 0.274, 0.098, 0.0256
1722925208215, 11.05, -1.65, 19.3, 0.293, 0.104, 0.0416
1722925208246, 11.15, -2.05, 19.2, 0.274, 0.116, 0.0152
1722925208278, 11.8, -1.7, 19.85, 0.332, 0.056, 0.0152
1722925208309, 11.3, -1.7, 19.45, 0.278, 0.076, 0.0328
1722925208340, 11.15, -1.85, 19.3, 0.29, 0.119, 0.0224
1722925208371, 11.35, -1.7, 19.9, 0.313, 0.035, -0.028
1722925208403, 10.75, -2.15, 18.6, 0.243, 0.086, 0.0208
1722925208434, 11.35, -1.6, 19.35, 0.302, 0.054, -0.012
1722925208465, 11.1, -2.2, 19.15, 0.25, 0.108, 0.0536
1722925208496, 11.65, -1.95, 20.3, 0.326, 0.049, -0.0128
1722925208528, 11.45, -1.95, 19, 0.225, 0.079, -0.0064
1722925208559, 11.7, -1.65, 19.4, 0.307, 0.052, 0.0568
1722925208590, 10.5, -1.5, 18.3, 0.25, 0.149, 0.0856
1722925208621, 12, -1.65, 19.75, 0.305, 0.06, -0.0144
1722925208653, 10.1, -1.9, 18.1, 0.19, 0.211, 0.088
1722925208684, 11.3, -1.8, 19.65, 0.313, 0.121, 0.0384
1722925208715, 10.95, -2.15, 19.35, 0.217, 0.14, 0.0584
1722925208746, 11.95, -1.85, 20.2, 0.338, 0.055, 0.0208
1722925208778, 12.5, -1.65, 20.25, 0.342, 0.005, -0.028
1722925208824, 11.35, -1.9, 19.3, 0.276, 0.097, 0.0008
1722925208871, 11.45, -1.85, 19.3, 0.279, 0.074, 0.0176
1722925208918, 11.45, -1.85, 19.35, 0.28, 0.074, 0.0144
1722925208965, 11.2, -1.85, 19.35, 0.27, 0.087, 0.0168
1722925208996, 10.9, -0.9, 18.9, 0.35, 0.111, 0.044
1722925209043, 12.1, -1.25, 19.95, 0.373, 0.002, -0.0424
1722925209090, 11.4, -2.2, 19.05, 0.214, 0.086, 0.0016
1722925209121, 11.35, -0.85, 19.2, 0.372, 0.074, 0.0232
1722925209153, 11.2, -1.65, 19.15, 0.321, 0.103, 0.072
1722925209184, 11.15, -1.35, 19.75, 0.393, 0.095, 0.0568
1722925209215, 12.8, -1.75, 20.15, 0.319, -0.012, -0.0272
1722925209246, 10.55, -2.2, 18.55, 0.211, 0.131, 0.0176
1722925209278, 11.1, -1.85, 19.6, 0.341, 0.129, 0.1208
1722925209309, 11.15, -2, 19.3, 0.28, 0.136, 0.0792
1722925209340, 11.3, -1.95, 19.45, 0.283, 0.095, 0.0168
1722925209371, 10.4, -2.1, 18.7, 0.265, 0.203, 0.1016
1722925209403, 10.55, -1.85, 19.45, 0.297, 0.166, 0.1024
1722925209418, 11.1, -1.65, 18.65, 0.309, 0.116, 0.0632
1722925209449, 11.25, -1.55, 19.5, 0.329, 0.089, 0.0504
1722925209481, 11.95, -1.9, 19.85, 0.301, 0.015, -0.0224
1722925209512, 12.1, -2.05, 19.45, 0.235, 0.032, -0.0576
1722925209543, 11.35, -1.95, 19.1, 0.29, 0.088, 0.0608
1722925209574, 11.5, -1.7, 19.75, 0.299, 0.065, -0.0032
1722925209606, 12.35, -2.05, 19.7, 0.251, 0.008, -0.0368
1722925209668, 11.2, -2.1, 19.1, 0.265, 0.095, 0.0384
1722925209715, 10.95, -1.55, 19.1, 0.298, 0.119, 0.0464
1722925209746, 11.05, -1.75, 19.35, 0.301, 0.109, 0.044
1722925209778, 11.4, -1.85, 19.4, 0.279, 0.079, 0.0192
1722925209809, 11.3, -1.7, 19.25, 0.295, 0.093, 0.0216
1722925209840, 11.2, -1.85, 19.45, 0.283, 0.093, 0.032
1722925209871, 11.3, -1.95, 19.3, 0.273, 0.089, 0.0184
1722925209903, 11.45, -1.95, 19.35, 0.279, 0.088, 0.0192
1722925209934, 11.25, -1.95, 19.2, 0.274, 0.101, 0.0304
1722925209965, 11.25, -2.05, 19.45, 0.278, 0.095, 0.0272
1722925209996, 11.2, -1.75, 19.35, 0.278, 0.098, 0.0312
1722925210028, 11.2, -1.95, 19.6, 0.301, 0.089, 0.0168
1722925210059, 11.35, -1.9, 19.25, 0.271, 0.097, 0.0192
1722925210090, 11.3, -1.75, 19.35, 0.281, 0.091, 0.024
1722925210121, 11.2, -2, 19.4, 0.289, 0.088, 0.0224
1722925210153, 11.3, -1.95, 19.5, 0.291, 0.086, 0.02
1722925210184, 11.2, -1.65, 19.25, 0.297, 0.097, 0.028
1722925210215, 11.3, -2.1, 19.4, 0.275, 0.081, 0.0152
1722925210246, 11.05, -1.7, 19.45, 0.301, 0.102, 0.0264
1722925210278, 11.4, -1.95, 19.25, 0.262, 0.083, 0.0264
1722925210309, 11, -1.85, 19.4, 0.309, 0.097, 0.0312
1722925210340, 11.15, -1.8, 19.3, 0.295, 0.092, 0.0272
1722925210356, 11.15, -1.8, 19.4, 0.296, 0.09, 0.0256
1722925210387, 11.25, -1.9, 19.3, 0.285, 0.088, 0.0216
1722925210418, 11.35, -1.6, 19.35, 0.288, 0.091, 0.032
1722925210449, 11.2, -1.75, 19.35, 0.307, 0.097, 0.0248
1722925210481, 11.3, -1.9, 19.4, 0.275, 0.079, 0.0208
1722925210512, 11.15, -1.8, 19.4, 0.291, 0.102, 0.02
1722925210543, 11.4, -2, 19.15, 0.266, 0.085, 0.02
1722925210574, 10.9, -1.4, 19.1, 0.337, 0.123, 0.0504
1722925210606, 11.8, -1.85, 19.6, 0.325, 0.029, -0.016
1722925210637, 11.05, -2.3, 19.05, 0.249, 0.082, 0.032
1722925210668, 10.55, -2.35, 19.2, 0.217, 0.09, -0.02
1722925210700, 11.25, -2, 18.75, 0.227, 0.078, -0.0248
1722925210731, 11.5, -2.2, 19.3, 0.268, 0.053, 0
