UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722590288428, -5.8, 16.2, 0.25, -0.132, -0.023, -0.0256
1722590288459, -5.85, 16.15, 0.25, -0.131, -0.022, -0.0264
1722590288490, -5.95, 16.1, 0.3, -0.133, -0.022, -0.024
1722590288521, -5.95, 16.1, 0.3, -0.133, -0.022, -0.0256
1722590288553, -5.95, 16.1, 0.2, -0.132, -0.021, -0.0264
1722590288584, -5.7, 16.15, 0.25, -0.133, -0.022, -0.0224
1722590288615, -5.95, 16.2, 0.3, -0.129, -0.022, -0.0224
1722590288646, -6, 16.15, 0.2, -0.13, -0.023, -0.0232
1722590288678, -5.85, 16.1, 0.35, -0.135, -0.023, -0.028
1722590288709, -5.85, 15.95, 0.2, -0.131, -0.023, -0.0248
1722590288725, -5.85, 16.15, 0.3, -0.129, -0.022, -0.0248
1722590288756, -5.8, 16.15, 0.3, -0.134, -0.023, -0.0232
1722590288818, -6, 16.15, 0.25, -0.134, -0.021, -0.0248
1722590288850, -6, 16.1, 0.25, -0.133, -0.021, -0.0192
1722590288865, -5.9, 16.05, 0.2, -0.131, -0.022, -0.0216
1722590288896, -6, 16.1, 0.25, -0.131, -0.022, -0.0224
1722590288928, -5.85, 16.2, 0.3, -0.136, -0.022, -0.0216
1722590288959, -5.95, 16.05, 0.35, -0.131, -0.021, -0.0176
1722590288990, -5.9, 16.2, 0.3, -0.13, -0.022, -0.0232
1722590289021, -5.85, 16.1, 0.3, -0.133, -0.022, -0.0248
1722590289053, -6, 16.2, 0.25, -0.134, -0.022, -0.024
1722590289084, -5.85, 16, 0.2, -0.132, -0.022, -0.0264
1722590289115, -5.9, 16.15, 0.3, -0.135, -0.023, -0.0256
1722590289146, -5.85, 16.1, 0.3, -0.131, -0.021, -0.028
1722590289178, -5.95, 16.25, 0.35, -0.132, -0.023, -0.0248
1722590289209, -6, 16, 0.25, -0.134, -0.021, -0.028
1722590289240, -5.95, 16.25, 0.15, -0.13, -0.022, -0.0272
1722590289271, -5.95, 16.25, 0.25, -0.136, -0.022, -0.024
1722590289303, -5.95, 16.1, 0.35, -0.133, -0.023, -0.028
1722590289334, -5.85, 16.15, 0.2, -0.13, -0.021, -0.0248
1722590289365, -5.85, 16.2, 0.25, -0.132, -0.022, -0.0216
1722590289396, -5.95, 16.1, 0.25, -0.131, -0.023, -0.024
1722590289428, -5.95, 16.05, 0.2, -0.13, -0.022, -0.0232
1722590289459, -5.95, 16.2, 0.25, -0.134, -0.022, -0.0248
1722590289490, -5.95, 16.25, 0.2, -0.133, -0.023, -0.0216
1722590289521, -5.85, 16.2, 0.2, -0.131, -0.022, 0.02
1722590289553, -5.85, 16.2, 0.3, -0.134, -0.02, -0.0192
1722590289584, -5.8, 16.1, 0.15, -0.076, -0.023, -0.0392
1722590289615, -5.9, 16.35, 0.35, -0.169, -0.02, 0.0208
1722590289646, -5.2, 16.05, 0.15, -0.106, -0.019, 0.1256
1722590289678, -5.85, 15.55, 0.05, -0.065, -0.028, 0.0712
1722590289709, -6.15, 15.8, 0.4, -0.15, -0.026, -0.1464
1722590289740, -5.65, 16.1, 0, -0.096, -0.026, 0.0816
1722590289771, -6.2, 15.95, 0.25, -0.156, -0.028, -0.1776
1722590289803, -6.1, 16.3, 0.3, -0.169, -0.021, 0.0128
1722590289834, -5.9, 16.1, 0.1, -0.088, -0.023, -0.044
1722590289865, -5.55, 16.15, 0.4, -0.163, -0.021, 0.048
1722590289896, -5.9, 16.05, 0.3, -0.14, -0.018, -0.0328
1722590289928, -5.5, 16, 0.1, -0.067, -0.019, 0.1208
1722590289959, -5.85, 16.25, 0.5, -0.223, -0.024, 0
1722590289990, -5.95, 16.1, 0.2, -0.114, -0.021, 0.0088
1722590290021, -5.7, 16.1, 0.05, -0.052, -0.022, -0.0208
1722590290053, -5.95, 16.2, 0.45, -0.209, -0.025, 0.0032
1722590290084, -5.9, 16.2, 0.1, -0.128, -0.018, -0.0424
1722590290115, -5.8, 16, 0.15, -0.121, -0.02, -0.0088
1722590290146, -6.2, 16.05, 0.45, -0.194, -0.031, -0.064
1722590290178, -6, 16.2, 0, -0.057, -0.023, -0.0216
1722590290209, -5.75, 16.45, 0.35, -0.159, -0.023, -0.0048
1722590290256, -6.1, 16.15, 0.45, -0.14, -0.024, -0.1112
1722590290287, -5.9, 16.25, 0.1, -0.081, -0.017, -0.0704
1722590290334, -5.75, 16.2, 0.65, -0.183, -0.02, 0.0016
1722590290365, -5.95, 16.15, 0.2, -0.066, -0.017, -0.0256
1722590290396, -5.9, 16.05, 0.6, -0.19, -0.021, -0.0008
1722590290428, -5.9, 16.15, 0, -0.086, -0.021, -0.044
1722590290459, -5.7, 16.25, 0.15, -0.084, -0.019, 0.028
1722590290490, -6, 16.25, 0.55, -0.236, -0.024, -0.0264
1722590290537, -5.75, 16.15, 0.05, -0.084, -0.026, 0.0256
1722590290568, -5.75, 16, 0.35, -0.181, -0.024, 0.0256
1722590290615, -5.85, 15.95, 0.2, -0.121, -0.025, -0.0192
1722590290646, -6, 16.15, 0.05, -0.106, -0.026, -0.0856
1722590290693, -5.9, 16.25, 0.35, -0.128, -0.023, -0.012
1722590290725, -5.9, 16.15, 0.15, -0.092, -0.02, -0.0152
1722590290740, -6.05, 16.05, 0.55, -0.179, -0.019, -0.0768
1722590290771, -5.8, 16.05, 0.35, -0.141, -0.022, 0.0368
1722590290803, -6.15, 16.05, 0, -0.061, -0.023, -0.0656
1722590290850, -5.9, 16.25, 0.5, -0.21, -0.02, -0.0168
1722590290881, -5.8, 15.95, 0, -0.073, -0.023, 0.0088
1722590290912, -6.1, 16.1, 0.2, -0.12, -0.022, -0.06
1722590290943, -5.9, 16.05, 0.5, -0.192, -0.024, 0.0024
1722590290975, -5.75, 15.95, 0.05, -0.054, -0.025, -0.0048
1722590291021, -5.95, 16.15, 0.5, -0.197, -0.022, -0.0456
1722590291053, -5.8, 16.2, 0.25, -0.123, -0.022, -0.0136
1722590291084, -5.9, 15.85, 0.15, -0.103, -0.022, -0.0136
1722590291115, -6.15, 16.1, 0.4, -0.188, -0.02, -0.04
1722590291146, -5.95, 16.2, 0.05, -0.064, -0.024, -0.0176
1722590291178, -5.4, 16.2, 1, -0.346, 0.035, 0.1336
1722590291256, -5.85, 15.5, 0, -0.026, 0.036, 0.0144
1722590291271, -5.65, 16.8, 1.15, -0.379, 0.026, 0.0616
1722590291303, -6.45, 16.85, 2.85, -0.913, 0.016, -0.1344
1722590291334, -5.65, 16.2, 0.15, -0.077, 0.005, 0.0248
1722590291365, -5.85, 16.25, 0.9, -0.33, -0.001, 0.092
1722590291412, -5.25, 16.95, 2.15, -0.716, 0.023, 0.2176
1722590291443, -2.75, 16.4, 2.05, -0.693, -0.052, 1.0048
1722590291475, -5.25, 17.6, 5.35, -1.678, -0.003, 0.2352
1722590291506, -4.4, 16.9, 3, -0.942, -0.062, 0.4832
1722590291537, -6.2, 16.9, 1.6, -0.505, -0.068, -0.0792
1722590291568, -5.75, 17.95, 4.4, -1.362, 0.007, 0.2072
1722590291600, -6.8, 18.5, 1.2, -0.329, 0.035, -0.2688
1722590291631, -6.45, 19.6, 5.05, -1.445, 0.044, -0.136
1722590291662, -6.3, 18.6, 5.05, -1.412, -0.035, -0.0952
1722590291709, -6, 17.1, 1.7, -0.446, 0.036, -0.0672
1722590291756, -6.1, 17.55, 2.6, -0.762, 0.03, 0.0656
1722590291803, -5.85, 16.3, -0.05, -0.014, -0.077, 0.0408
1722590291850, -5.6, 16.2, 0.25, -0.069, -0.051, 0.084
1722590291912, -6.25, 16.85, 2.4, -0.753, 0.006, -0.1016
1722590291943, -5.95, 15.6, 0.8, -0.2, 0.008, -0.0016
1722590291990, -6.1, 16.3, 2.35, -0.62, -0.024, -0.016
1722590292021, -6.2, 16.05, 3.45, -0.907, 0.004, 0.0112
1722590292068, -5.8, 14.4, 3.5, -0.834, -0.035, 0.1008
1722590292100, -6.25, 14.1, 4.8, -1.28, -0.051, 0.0048
1722590292131, -6.3, 13.1, 3.3, -0.739, -0.052, 0.0104
1722590292162, -6.5, 12.65, 5.25, -1.324, 0.016, -0.0824
1722590292193, -7.25, 12.45, 5.25, -1.321, 0.005, -0.2568
1722590292225, -5.8, 11.9, 3.3, -0.774, -0.064, 0.14
1722590292271, -4.4, 12.3, 5.35, -1.42, -0.075, 0.4304
1722590292287, -3.4, 12.25, 4.4, -1.118, -0.035, 0.6488
1722590292318, -3.8, 12.3, 3.2, -0.772, -0.09, 0.5064
1722590292350, -5, 12.35, 4.55, -1.251, 0.001, 0.3104
1722590292381, -6.45, 12.7, 4.15, -1.092, -0.001, -0.168
1722590292412, -7.35, 12.55, 3.3, -0.828, 0.006, -0.2984
1722590292490, -7.9, 12.75, 3.25, -0.824, -0.002, -0.4144
1722590292537, -7.8, 13.2, 4.25, -1.092, -0.009, -0.4208
1722590292584, -7.55, 12.8, 3.45, -0.877, 0.002, -0.356
1722590292615, -7.85, 13, 4.25, -1.093, -0.01, -0.4
1722590292646, -7.9, 13, 3.85, -1, 0.003, -0.4424
1722590292678, -7.85, 12.85, 3.6, -0.896, 0.004, -0.4192
1722590292693, -7.7, 12.95, 4.05, -1.024, -0.003, -0.4112
1722590292725, -7.7, 13.1, 4.35, -1.129, -0.004, -0.3696
1722590292756, -7.85, 13.15, 4.05, -1.01, 0.001, -0.44
1722590292787, -7.75, 12.95, 3.95, -0.973, 0, -0.3944
1722590292818, -7.8, 12.75, 3.45, -0.867, -0.003, -0.3384
1722590292865, -8, 13, 2.6, -0.69, 0.012, -0.4056
1722590292896, -7.9, 12.85, 2.15, -0.548, 0.007, -0.3952
1722590292928, -7.65, 13.15, 2.7, -0.69, 0.001, -0.252
1722590292990, -7.6, 11.9, 2.05, -0.484, 0.018, -0.2816
1722590293037, -7.65, 11.9, 3, -0.839, 0.008, -0.3176
1722590293084, -6.8, 10.6, 0.95, -0.27, -0.011, -0.2224
1722590293115, -6.1, 12.1, 1.65, -0.564, -0.02, 0.0144
1722590293162, -5.7, 13.05, 0.05, -0.079, -0.038, 0.0048
1722590293209, -5.55, 14.75, 1.75, -0.602, -0.024, 0.0336
1722590293256, -5.5, 14.2, -0.05, -0.007, -0.031, 0.0672
1722590293287, -5.9, 14.75, 1.95, -0.62, -0.023, -0.0096
1722590293334, -5.6, 14.55, 0.05, -0.077, -0.022, 0.0392
1722590293350, -5.75, 14.6, 0.45, -0.183, -0.028, -0.0136
1722590293381, -5.6, 14.8, 1.7, -0.567, -0.016, 0.0584
1722590293412, -5.75, 14.7, 0.65, -0.208, -0.028, 0.0224
1722590293443, -5.8, 14.75, 0.35, -0.145, -0.025, 0.0408
1722590293475, -6.1, 14.85, 1.7, -0.535, -0.014, -0.0424
1722590293506, -5.75, 13.65, 1.25, -0.369, -0.02, 0.0744
1722590293537, -6.3, 13.55, 2.55, -0.725, -0.008, -0.0936
1722590293568, -6.6, 13.8, 3.25, -0.912, 0.007, -0.0752
1722590293600, -6.45, 14.25, 2.2, -0.555, -0.019, -0.0896
1722590293631, -6.65, 15.15, 3.6, -0.916, -0.011, -0.1488
1722590293662, -6.25, 16.75, 6.35, -1.732, -0.006, -0.0368
1722590293693, -7.25, 17.55, 6.15, -1.532, -0.088, -0.2696
1722590293787, -7.3, 19.95, 8.85, -1.952, -0.053, -0.1408
1722590293818, -6.55, 21, 10.6, -2.532, -0.049, 0.0816
1722590293850, -5.65, 21.45, 13.7, -3.272, -0.089, 0.2872
1722590293881, -4.8, 21.85, 15.2, -3.621, -0.075, 0.5688
1722590293912, -4.7, 22.4, 19.1, -4.544, 0.004, 0.64
