UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722925978268, 10.6, -2.35, 19, 0.226, 0.157, 0.0528
1722925978283, 11.85, -2.05, 19.8, 0.326, 0.033, 0.0312
1722925978299, 11.4, -1.75, 19.35, 0.295, 0.082, 0.0528
1722925978314, 11.2, -1.5, 19.35, 0.309, 0.081, 0.0304
1722925978330, 11.4, -2.2, 19.35, 0.258, 0.087, 0.0248
1722925978346, 11.15, -2.1, 19.15, 0.25, 0.097, 0.0192
1722925978361, 11.1, -1.5, 19.45, 0.358, 0.107, 0.0368
1722925978377, 10.95, -1.95, 19.15, 0.259, 0.109, 0.028
1722925978393, 11.55, -2.3, 19.2, 0.226, 0.082, 0.0216
1722925978408, 11.45, -1.55, 19.4, 0.312, 0.086, 0.0328
1722925978424, 11.15, -1.6, 19.35, 0.302, 0.09, 0.0336
1722925978455, 11.25, -2.2, 19.35, 0.254, 0.078, 0.0176
1722925978486, 11, -1.65, 19.4, 0.303, 0.101, 0.032
1722925978502, 11.15, -2, 19.25, 0.274, 0.094, 0.0232
1722925978518, 11.3, -1.9, 19.35, 0.27, 0.082, 0.0272
1722925978549, 11.4, -1.7, 19.3, 0.291, 0.085, 0.024
1722925978596, 11.4, -1.9, 19.45, 0.291, 0.084, 0.0216
1722925978643, 11.1, -1.8, 19.5, 0.299, 0.092, 0.0248
1722925978674, 11.25, -2, 19.2, 0.273, 0.082, 0.0272
1722925978705, 11.3, -1.9, 19.45, 0.277, 0.082, 0.036
1722925978736, 11.05, -1.95, 19.05, 0.246, 0.122, 0.0448
1722925978768, 11.25, -1.7, 19.3, 0.298, 0.102, 0.0288
1722925978799, 11.2, -1.75, 19.15, 0.274, 0.08, 0.0304
1722925978830, 11.05, -2.05, 19.5, 0.275, 0.09, 0.044
1722925978846, 11.6, -1.65, 19.2, 0.284, 0.072, 0.0216
1722925978877, 10.55, -2.25, 18.3, 0.211, 0.134, 0.0376
1722925978908, 11.85, -1.65, 19.8, 0.364, 0.025, 0.04
1722925978939, 11.1, -1.4, 19.4, 0.331, 0.117, 0.0456
1722925978971, 12.35, -1.65, 20.45, 0.344, 0.055, -0.0008
1722925978986, 11.65, -1.3, 19.4, 0.373, 0.026, 0.0056
1722925979018, 11.8, -2.25, 20.1, 0.303, 0.05, -0.0048
1722925979049, 11.55, -2.95, 19.7, 0.205, 0.115, 0.0208
1722925979080, 10.8, -2.45, 18.8, 0.231, 0.158, 0.0136
1722925979111, 10.8, -1.85, 19.8, 0.31, 0.083, 0.0488
1722925979143, 11.2, -2.35, 19.75, 0.245, 0.108, -0.0112
1722925979174, 12.15, -1.65, 20.2, 0.356, -0.014, -0.052
1722925979205, 10.45, -2.45, 18.4, 0.201, 0.129, 0.0408
1722925979252, 11.4, -1.8, 19.5, 0.325, 0.043, 0.0064
1722925979283, 10.4, -2, 18.7, 0.253, 0.138, 0.0336
1722925979314, 11.1, -2.15, 19.2, 0.267, 0.091, 0.0464
1722925979361, 11.65, -1.9, 19.7, 0.281, 0.06, -0.0216
1722925979408, 11.3, -1.75, 19.3, 0.284, 0.085, 0.0128
1722925979455, 11.35, -1.95, 19.3, 0.272, 0.074, 0.0104
1722925979486, 11.25, -1.95, 19.25, 0.273, 0.094, 0.0368
1722925979518, 11.4, -1.8, 19.4, 0.282, 0.079, 0.0272
1722925979549, 11.8, -2.25, 19.95, 0.261, 0.034, -0.0032
1722925979580, 10.9, -2.35, 19.6, 0.24, 0.12, 0.0288
1722925979611, 12.55, -1.45, 19.95, 0.342, -0.032, -0.064
1722925979643, 11.55, -2.05, 19.8, 0.26, 0.076, 0.0096
1722925979674, 10.35, -2.1, 19.2, 0.28, 0.172, 0.0952
1722925979705, 11.15, -1.4, 19.7, 0.379, 0.082, 0.0264
1722925979736, 12.25, -1.95, 19.75, 0.324, -0.007, -0.0016
1722925979768, 10.9, -2.3, 18.95, 0.259, 0.126, 0.072
1722925979799, 11.3, -1.85, 19.55, 0.324, 0.107, 0.0888
1722925979830, 10.6, -1.55, 18.8, 0.28, 0.131, 0.0256
1722925979861, 11.55, -1.65, 19.45, 0.323, 0.047, -0.02
1722925979893, 10.85, -1.6, 19.1, 0.314, 0.126, 0.064
1722925979924, 11.35, -2.1, 19.25, 0.261, 0.07, 0.0224
1722925979955, 10.8, -1.5, 19.2, 0.337, 0.129, 0.0936
1722925979986, 11.3, -2.45, 19.15, 0.211, 0.067, -0.0416
1722925980018, 10.5, -1.25, 18.45, 0.323, 0.174, 0.1072
1722925980049, 11.3, -2.6, 19.6, 0.229, 0.086, 0.04
1722925980080, 11.2, -1.7, 20.25, 0.334, 0.097, 0.0032
1722925980111, 11.95, -2.35, 19.15, 0.246, 0.029, -0.0096
1722925980143, 10.95, -1.4, 18.95, 0.323, 0.123, 0.052
