UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722926392216, 11.5, -2.2, 19.6, 0.27, 0.073, 0.0432
1722926392232, 11.15, -2.3, 19.2, 0.228, 0.111, 0.044
1722926392248, 10.95, -2, 19.25, 0.298, 0.128, 0.04
1722926392263, 11.1, -1.55, 19.5, 0.306, 0.104, 0.0088
1722926392279, 11.15, -2.35, 19.15, 0.247, 0.109, 0.0536
1722926392294, 11.5, -1.95, 19.5, 0.294, 0.062, 0.028
1722926392310, 11.05, -1.85, 19.25, 0.289, 0.114, 0.0472
1722926392326, 11.45, -1.4, 19.45, 0.303, 0.086, 0.0136
1722926392341, 11.3, -2, 19.25, 0.29, 0.094, 0.0416
1722926392357, 11.25, -2.25, 19.05, 0.236, 0.094, 0.0264
1722926392373, 11.55, -1.6, 19.4, 0.304, 0.089, 0.0272
1722926392388, 11.2, -1.6, 19.3, 0.299, 0.098, 0.0264
1722926392404, 11.15, -2.2, 19.3, 0.27, 0.097, 0.0392
1722926392435, 11.45, -2.05, 19.3, 0.268, 0.073, 0.02
1722926392451, 11.1, -1.8, 19.25, 0.298, 0.086, 0.0192
1722926392466, 11.15, -2, 19.4, 0.285, 0.098, 0.032
1722926392498, 11.45, -2.05, 19.35, 0.276, 0.085, 0.0256
1722926392513, 10.95, -1.9, 19.3, 0.291, 0.098, 0.032
1722926392560, 11.5, -1.9, 19.45, 0.289, 0.073, 0.0224
1722926392591, 11.15, -2, 19.25, 0.306, 0.097, 0.0368
1722926392623, 11.15, -1.95, 19.35, 0.29, 0.078, 0.0264
1722926392654, 11.15, -1.85, 19.35, 0.291, 0.099, 0.0312
1722926392685, 11.35, -1.75, 19.4, 0.306, 0.09, 0.036
1722926392716, 11.15, -1.9, 19.4, 0.286, 0.093, 0.0456
1722926392748, 11.5, -1.8, 19.45, 0.276, 0.078, 0.0336
1722926392779, 11.6, -1.9, 19.75, 0.314, 0.057, 0.0056
1722926392810, 10.95, -2.15, 19.4, 0.267, 0.092, 0.0312
1722926392841, 11.7, -2.2, 19.6, 0.296, 0.081, 0.0072
1722926392873, 11.35, -2.1, 19.55, 0.267, 0.081, -0.0104
1722926392904, 11.65, -2.45, 19.4, 0.233, 0.108, 0.0096
1722926392935, 11.1, -2.5, 19.25, 0.255, 0.15, 0.088
1722926392966, 11.15, -2.25, 19.65, 0.263, 0.099, 0.0528
1722926392998, 11.5, -1.4, 19.55, 0.381, 0.036, 0.0008
1722926393029, 11.7, -0.95, 20, 0.401, 0.028, 0.0328
1722926393060, 11.25, -1.9, 19.15, 0.262, 0.095, 0.0312
1722926393091, 11, -2.05, 19.8, 0.319, 0.076, 0.004
1722926393123, 11.65, -1.85, 19.55, 0.3, 0.071, -0.0176
1722926393154, 11.95, -1.6, 19.9, 0.342, 0.041, -0.0488
1722926393185, 11.3, -2.05, 19.55, 0.311, 0.074, 0.0624
1722926393216, 11.3, -2.25, 19.35, 0.239, 0.095, 0.0504
1722926393279, 11.6, -2, 19.1, 0.255, 0.075, 0.06
1722926393326, 10.8, -1.8, 19.05, 0.313, 0.126, 0.0904
1722926393373, 11.5, -1.65, 19.45, 0.308, 0.069, 0
1722926393388, 11.15, -2.15, 19.5, 0.294, 0.104, 0.0512
1722926393451, 11.15, -1.7, 19.3, 0.305, 0.096, 0.0408
1722926393482, 11.55, -1.8, 19.4, 0.303, 0.07, 0.016
1722926393513, 11.15, -1.85, 19.5, 0.304, 0.089, 0.0392
1722926393576, 11.25, -1.45, 19.65, 0.359, 0.088, 0.0296
1722926393623, 11.95, -1.35, 19.45, 0.331, 0.044, -0.0112
1722926393669, 10.8, -2.35, 18.5, 0.183, 0.108, 0.0296
1722926393701, 11.3, -2.1, 18.95, 0.243, 0.089, -0.0232
1722926393732, 12.1, -2.3, 19.6, 0.272, 0.029, -0.0136
1722926393763, 11.2, -1.6, 19.8, 0.328, 0.085, 0
1722926393794, 11.7, -2.45, 19.25, 0.232, 0.056, 0.0224
1722926393826, 11.6, -1.55, 19.75, 0.324, 0.062, 0.032
1722926393857, 11.9, -2, 19.1, 0.251, 0.026, -0.0552
1722926393888, 12.35, -1.95, 20.1, 0.3, 0.032, 0.0136
1722926393919, 11, -2.3, 18.8, 0.239, 0.127, 0.0648
1722926393966, 11, -2.45, 18.85, 0.206, 0.155, 0.048
1722926393998, 11.85, -1.7, 19.6, 0.301, 0.015, -0.012
1722926394044, 11.35, -1.8, 19.4, 0.31, 0.092, 0.0512
1722926394076, 11.7, -1.95, 19.55, 0.299, 0.07, 0.0288
1722926394107, 10.75, -1.85, 18.95, 0.286, 0.113, 0.0464
1722926394169, 11.45, -1.15, 19.55, 0.356, 0.081, -0.0008
1722926394201, 11.8, -2.35, 19.35, 0.26, 0.05, 0.0168
1722926394232, 11.2, -1.5, 19.7, 0.348, 0.109, 0.0536
1722926394263, 11.3, -2.55, 19.25, 0.224, 0.084, 0.028
1722926394294, 11.15, -1.7, 19.3, 0.302, 0.107, 0.0384
1722926394326, 11.05, -1.85, 19, 0.286, 0.108, 0.0384
1722926394357, 11.45, -1.7, 19.25, 0.302, 0.095, 0.0472
1722926394388, 11.8, -2.05, 19.2, 0.284, 0.077, 0.0096
1722926394419, 11.05, -1.45, 19.35, 0.328, 0.13, 0.0872
1722926394451, 11.65, -1.75, 19.3, 0.31, 0.075, 0.08
1722926394482, 11.15, -1.65, 19.55, 0.28, 0.103, 0
1722926394513, 11.65, -2.2, 20, 0.34, 0.063, 0.0112
1722926394544, 11.25, -0.9, 19.7, 0.42, 0.111, 0.0976
1722926394576, 11.75, -1.85, 19.25, 0.303, 0.085, 0.0128
1722926394607, 12.1, -0.8, 20.35, 0.431, 0.031, -0.0152
1722926394638, 12.05, -2.35, 19.4, 0.237, -0.024, -0.0208
1722926394669, 10.8, -1.85, 19.3, 0.24, 0.153, 0.0184
1722926394701, 11.25, -2.8, 19.35, 0.196, 0.09, 0.0128
1722926394732, 10.75, -1.8, 19.15, 0.289, 0.154, 0.0688
1722926394779, 10.95, -2.2, 19.15, 0.236, 0.092, -0.0016
1722926394810, 12, -2.2, 19.85, 0.284, 0.02, -0.0056
1722926394841, 11.65, -1.65, 19.75, 0.309, 0.056, -0.04
1722926394873, 10.9, -2.4, 19.1, 0.23, 0.105, 0.0208
1722926394904, 12, -1.8, 19.95, 0.316, 0.042, -0.0392
1722926394919, 11.7, -1.75, 19.7, 0.326, 0.036, -0.0168
1722926394951, 10.55, -2.15, 18.6, 0.248, 0.149, 0.076
1722926394982, 10.4, -2, 18.65, 0.278, 0.161, 0.088
1722926395013, 10.3, -2, 18.75, 0.276, 0.168, 0.064
1722926395044, 11.1, -1.85, 19.4, 0.289, 0.111, 0.032
1722926395091, 11.1, -2.3, 19.1, 0.26, 0.116, 0.0512
1722926395123, 11.05, -2.1, 19.2, 0.263, 0.108, 0.0544
1722926395154, 10.75, -0.95, 18.75, 0.373, 0.078, 0.0104
1722926395185, 11.45, -2.15, 19.2, 0.288, 0.071, 0.0256
1722926395216, 10.3, -1.75, 18.9, 0.317, 0.143, 0.0376
1722926395248, 10.8, -2.1, 19.05, 0.277, 0.112, 0.032
1722926395279, 11.55, -2.3, 19.15, 0.223, 0.086, 0.0152
1722926395310, 11.55, -1.6, 19.6, 0.295, 0.024, -0.028
1722926395341, 11.3, -2, 19.6, 0.281, 0.066, 0.0224
1722926395373, 11.3, 1.2, 20.5, 0.622, 0.105, 0.0272
1722926395404, 10.45, -5.8, 19.2, 0.019, 0.15, 0.0656
1722926395435, 10.75, 0.1, 18.65, 0.497, 0.188, 0.0992
1722926395482, 10.7, -2.5, 19.75, 0.264, 0.16, 0.0336
1722926395513, 8.7, -3.25, 19.7, 0.179, 0.224, 0.0504
1722926395544, 8.3, -2.4, 19.4, 0.222, 0.212, 0.0928
1722926395576, 3.3, -6.55, 21.4, -0.044, 0.637, 0.1424
1722926395607, 1.35, -8.55, 19.7, -0.338, 0.857, 0.1552
1722926395638, 1.7, -3.55, 22.2, -0.174, 0.495, 0.4728
1722926395669, 4.15, -4.95, 21.95, 0.549, 0.577, 0.2152
1722926395701, 5.75, -4.55, 10.95, 0.266, 0.563, -0.012
1722926395732, 14.15, -4.05, 22.05, -0.033, -0.138, -0.0512
1722926395779, 30.75, -2.3, 26.05, -0.012, -1.316, -0.2664
1722926395810, 18.7, -7.15, 14.45, -0.012, -0.45, -0.2952
1722926395857, 15.45, -3.7, 13.75, 0.039, -0.235, -0.0528
1722926395888, 15.8, -5.7, 19.2, -0.049, -0.129, -0.2816
1722926395919, 15.95, -5.95, 18.25, -0.347, -0.059, -0.2184
