UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722847330718, 11.2, -2.55, 19.55, 0.24, 0.113, 0.0496
1722847330733, 11.6, -1.75, 19.7, 0.311, 0.051, 0.008
1722847330749, 11.05, -1.7, 19.4, 0.281, 0.121, 0.0472
1722847330764, 11.45, -2.1, 19.2, 0.266, 0.088, 0.032
1722847330780, 11.6, -2.1, 19.65, 0.3, 0.077, 0.036
1722847330796, 10.9, -1.85, 19.35, 0.274, 0.106, 0.0208
1722847330811, 11.45, -1.45, 19.55, 0.329, 0.086, 0.0408
1722847330827, 11, -2.2, 19.2, 0.254, 0.101, 0.0296
1722847330843, 11.45, -2.25, 19.4, 0.26, 0.079, 0.0216
1722847330858, 11.25, -1.7, 19.5, 0.308, 0.098, 0.0232
1722847330889, 11.5, -1.75, 19.4, 0.302, 0.081, 0.0312
1722847330921, 11.25, -1.75, 19.45, 0.288, 0.082, 0.032
1722847330952, 11.35, -1.85, 19.3, 0.277, 0.09, 0.0184
1722847330983, 11.55, -1.9, 19.5, 0.285, 0.088, 0.0192
1722847331014, 11.15, -1.8, 19.45, 0.309, 0.098, 0.032
1722847331046, 11.3, -1.9, 19.5, 0.28, 0.085, 0.0264
1722847331077, 11.15, -1.95, 19.5, 0.294, 0.087, 0.0336
1722847331108, 11.2, -1.85, 19.4, 0.291, 0.089, 0.0312
1722847331139, 11.05, -2, 19.5, 0.277, 0.106, 0.0336
1722847331171, 11.15, -2.1, 19.45, 0.285, 0.096, 0.0376
1722847331202, 11.05, -2.1, 19.35, 0.28, 0.109, 0.0336
1722847331233, 11.15, -1.85, 19.3, 0.272, 0.095, 0.0504
1722847331264, 11.45, -1.8, 19.55, 0.314, 0.099, 0.02
1722847331296, 11.4, -2, 19.9, 0.324, 0.066, 0.0248
1722847331327, 11.55, -1.6, 19.5, 0.332, 0.084, 0.0352
1722847331358, 12.05, -1.75, 20.05, 0.369, -0.014, -0.0136
1722847331389, 10.8, -2.15, 18.65, 0.224, 0.114, 0.0128
1722847331421, 10.3, -2.8, 18.7, 0.192, 0.138, 0.0152
1722847331452, 11, -1.75, 19.45, 0.289, 0.073, 0.0368
1722847331483, 10.75, -2.55, 18.7, 0.185, 0.108, -0.0472
1722847331514, 11.45, -1.85, 19.55, 0.329, 0.057, 0.0312
1722847331546, 11.1, -2.05, 19.35, 0.329, 0.091, 0.0584
1722847331577, 10.45, -2.05, 18.35, 0.194, 0.138, 0.0424
1722847331608, 11.65, -1.15, 19.75, 0.4, 0.047, -0.0048
1722847331639, 11.4, -1.3, 19.75, 0.366, 0.117, 0.06
1722847331671, 11.4, -1.6, 19.8, 0.367, 0.076, 0.0336
1722847331702, 10.4, -2, 18.55, 0.235, 0.129, 0.0416
1722847331749, 11.6, -2.1, 19.85, 0.288, 0.085, -0.0088
1722847331796, 11.55, -1.85, 19.6, 0.29, 0.05, -0.0024
1722847331843, 11.05, -1.95, 19.35, 0.281, 0.117, 0.0296
1722847331889, 11.15, -1.85, 19.3, 0.293, 0.107, 0.0504
1722847331921, 11.45, -1.75, 19.7, 0.302, 0.058, 0.0152
1722847331968, 11.25, -2.45, 19.15, 0.214, 0.096, 0.028
1722847331999, 10.3, -2.4, 19.2, 0.225, 0.169, 0.048
1722847332030, 11.7, -1.6, 19.4, 0.321, 0.057, 0.0176
1722847332061, 10.6, -1.95, 18.95, 0.319, 0.16, 0.0576
1722847332093, 11.3, -2.3, 19.3, 0.247, 0.062, 0.0376
1722847332108, 11.6, -0.2, 19.65, 0.469, 0.051, 0.0672
1722847332139, 11.8, -2.1, 19.45, 0.299, 0.105, 0.0416
1722847332171, 10.9, -0.95, 19.7, 0.398, 0.145, 0.0912
1722847332202, 11.8, -1.85, 19.25, 0.282, 0.041, -0.028
1722847332233, 11.35, -1.55, 19.45, 0.327, 0.055, -0.012
1722847332264, 10.75, -1.95, 18.95, 0.229, 0.107, -0.0072
1722847332296, 11.65, -2.3, 19.45, 0.266, 0.067, 0.0224
1722847332327, 11.6, -1.55, 19.8, 0.327, 0.048, 0.0176
1722847332358, 11.4, -2.45, 19.25, 0.242, 0.089, 0.032
1722847332389, 11.15, -1.7, 19.35, 0.298, 0.098, 0.0208
1722847332421, 11.8, -1.85, 19.35, 0.282, 0.069, 0.0048
1722847332452, 11.45, -1.7, 19.7, 0.319, 0.048, 0.0048
1722847332468, 11.5, -1.85, 19.2, 0.302, 0.078, 0.0128
1722847332499, 10.9, -2, 19.4, 0.284, 0.156, 0.068
1722847332530, 11.2, -1.9, 20, 0.312, 0.1, 0.0128
1722847332561, 11.8, -2.5, 19.5, 0.247, 0.059, 0.0112
1722847332593, 10.55, -1.45, 19.25, 0.332, 0.141, 0.0616
1722847332686, 11.8, -2.5, 19.4, 0.239, 0.046, 0.0056
1722847332733, 11.7, -2.4, 19.3, 0.253, 0.059, 0.0272
1722847332764, 10.85, -1.5, 19.45, 0.331, 0.104, 0.0472
1722847332796, 11.45, -2.15, 19.1, 0.255, 0.092, 0.0312
1722847332843, 11.35, -2, 19.35, 0.273, 0.1, 0.0264
1722847332858, 11.35, -1.95, 19.7, 0.318, 0.088, 0.0288
1722847332889, 11.45, -2, 19.2, 0.268, 0.079, 0.0256
1722847332921, 11.05, -1.45, 19.45, 0.319, 0.104, 0.0424
1722847332952, 11.6, -2.25, 19.4, 0.245, 0.072, 0.02
1722847332983, 11.05, -1.6, 19.4, 0.305, 0.106, 0.0408
1722847333014, 11.4, -2.1, 19.05, 0.263, 0.096, 0.0344
1722847333046, 11.2, -1.7, 19.5, 0.328, 0.087, 0.024
1722847333093, 11.1, -1.75, 19.4, 0.299, 0.108, 0.0384
1722847333124, 11.55, -2.15, 19.55, 0.283, 0.081, 0.012
1722847333155, 11.4, -1.85, 19.6, 0.305, 0.079, 0.0272
1722847333186, 11.2, -1.65, 19.2, 0.284, 0.094, 0.0328
1722847333218, 11.3, -1.95, 19.4, 0.274, 0.094, 0.032
1722847333249, 11.2, -1.75, 19.4, 0.289, 0.093, 0.0264
1722847333280, 11.5, -2, 19.3, 0.279, 0.081, 0.0216
1722847333311, 11.1, -1.95, 19.5, 0.299, 0.087, 0.0256
1722847333358, 11.1, -1.95, 19.45, 0.306, 0.094, 0.0288
1722847333389, 11.35, -1.95, 19.35, 0.288, 0.088, 0.0304
1722847333421, 11.2, -2.2, 19.4, 0.284, 0.094, 0.0256
1722847333452, 11.3, -1.9, 19.5, 0.305, 0.092, 0.0264
1722847333483, 11.45, -1.9, 19.4, 0.284, 0.086, 0.0256
1722847333514, 11.4, -1.8, 19.4, 0.284, 0.088, 0.024
1722847333546, 11.35, -2, 19.5, 0.293, 0.08, 0.0312
1722847333577, 10.95, -1.7, 19.05, 0.304, 0.126, 0.0392
1722847333608, 10.8, -2.25, 19.1, 0.261, 0.132, 0.044
1722847333639, 10.95, -2.65, 19.35, 0.198, 0.127, 0.04
1722847333671, 11.85, -1.55, 19.95, 0.346, 0.045, 0.032
1722847333702, 11.1, -2.3, 18.9, 0.238, 0.071, -0.0088
1722847333733, 10.75, -2.3, 19.55, 0.251, 0.142, 0.0408
1722847333764, 11.2, -2.05, 19.65, 0.274, 0.131, 0.032
1722847333796, 11.1, -2, 19.05, 0.269, 0.078, 0.0336
1722847333827, 11.5, -1.95, 19.15, 0.299, 0.047, 0.0288
1722847333858, 11.6, -1.15, 19.6, 0.343, 0.047, -0.008
1722847333905, 10.65, -1.65, 19.15, 0.332, 0.13, 0.0616
1722847333936, 10.4, -2.55, 18.7, 0.212, 0.18, 0.0712
1722847333983, 11.4, -1.3, 19.65, 0.35, 0.085, 0.044
1722847334014, 10.35, -2.15, 18.45, 0.238, 0.174, 0.0792
1722847334046, 10.5, -2.15, 18.85, 0.268, 0.175, 0.1016
1722847334093, 12.35, -2.2, 20.25, 0.274, 0.015, -0.0728
1722847334124, 11.25, -2.2, 19.1, 0.279, 0.101, 0.0488
1722847334171, 12.2, -1.7, 19.8, 0.321, 0.022, 0.0304
1722847334202, 11.75, -2.3, 20.35, 0.289, 0.055, -0.016
1722847334233, 10.45, -1.65, 19.45, 0.286, 0.165, 0.0848
1722847334264, 11.5, -2, 19.05, 0.279, 0.089, 0.0368
1722847334296, 11.25, -1.95, 19.7, 0.278, 0.12, 0.036
1722847334327, 11, -2.8, 19.3, 0.216, 0.117, 0.0168
1722847334358, 11.05, -1.3, 19.35, 0.346, 0.092, 0.048
1722847334389, 11.75, -2.25, 19.25, 0.271, 0.051, 0.0192
1722847334421, 11, -1.4, 19.4, 0.347, 0.105, 0.048
1722847334452, 11.6, -2.2, 19.4, 0.278, 0.066, 0.0088
1722847334483, 10.9, -1.55, 18.8, 0.312, 0.135, 0.0744
1722847334514, 11.3, -2.1, 19.85, 0.313, 0.085, 0.0584
1722847334546, 10.55, -2.4, 18.85, 0.19, 0.147, 0.0144
1722847334577, 11.7, -1.85, 19.45, 0.296, 0.089, 0.04
1722847334608, 11.35, -1.9, 20.2, 0.31, 0.079, 0.0112
1722847334639, 12.45, -1.65, 20.8, 0.399, 0.013, 0.02
1722847334671, 11.2, -0.8, 19.8, 0.421, 0.065, 0.0488
1722847334702, 11.85, -2.3, 19.55, 0.276, 0.051, -0.012
1722847334733, 11.9, -0.45, 20.25, 0.465, 0.033, -0.0024
1722847334764, 11.35, -2.9, 19.05, 0.194, 0.064, 0.0304
1722847334796, 11.1, -1.7, 19.8, 0.323, 0.135, 0.0072
1722847334827, 12.4, -2.4, 20.3, 0.293, -0.021, -0.0304
1722847334858, 10.65, -1.45, 18.85, 0.315, 0.135, 0.0728
1722847334889, 11, -1.9, 19.1, 0.307, 0.113, 0.052
1722847334921, 11.35, -1.9, 19.75, 0.294, 0.094, 0.0144
1722847334952, 11.5, -2.3, 20.1, 0.27, 0.046, -0.028
1722847335030, 12.15, -1.6, 20.25, 0.337, 0.015, -0.0392
1722847335061, 10.6, -1.55, 18.85, 0.305, 0.141, 0.0632
1722847335093, 11.05, -2.25, 19.05, 0.248, 0.115, 0.0392
1722847335124, 11.8, -1.45, 20.15, 0.356, 0.053, 0.0008
1722847335155, 11, -1.95, 19, 0.271, 0.106, 0.0416
1722847335186, 11.65, -1.75, 19.6, 0.284, 0.058, 0.028
1722847335218, 10.35, -2.4, 18.7, 0.227, 0.149, 0.0624
1722847335249, 10.85, -2.2, 18.95, 0.23, 0.102, 0.0304
1722847335280, 11.5, -1.25, 19.75, 0.391, 0.067, 0.0008
1722847335327, 11.3, -1.7, 19.1, 0.286, 0.07, 0.0064
1722847335374, 10.95, -1.95, 18.9, 0.253, 0.102, -0.0056
1722847335405, 11.75, -1.85, 19.5, 0.296, 0.056, -0.0008
