UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722847330874, 16.2, -8.85, 12.05, -0.144, 0.099, -0.0888
1722847330889, 16.1, -9.05, 12.15, -0.161, 0.107, -0.068
1722847330905, 15.85, -9.5, 12.1, -0.224, 0.112, -0.0688
1722847330921, 16.1, -9.45, 12.4, -0.224, 0.073, -0.0664
1722847330936, 15.95, -8.75, 12.2, -0.152, 0.099, -0.0712
1722847330952, 16.2, -8.75, 12.25, -0.147, 0.064, -0.0752
1722847330968, 16.1, -9.1, 11.95, -0.192, 0.095, -0.068
1722847330983, 15.75, -9.4, 12.05, -0.223, 0.109, -0.0656
1722847330999, 15.85, -9.2, 12.05, -0.2, 0.129, -0.0744
1722847331046, 16.05, -9.15, 12.35, -0.187, 0.082, -0.0688
1722847331077, 16, -9.25, 11.9, -0.19, 0.107, -0.0736
1722847331108, 16.05, -9.1, 12.1, -0.179, 0.092, -0.0848
1722847331139, 15.65, -9.1, 11.8, -0.189, 0.106, -0.0688
1722847331171, 16.05, -9, 12.25, -0.191, 0.085, -0.0776
1722847331202, 15.65, -8.85, 11.95, -0.167, 0.141, -0.072
1722847331233, 16, -8.3, 11.95, -0.113, 0.088, -0.084
1722847331264, 15.1, -7.25, 10.95, -0.034, 0.164, -0.0728
1722847331296, 16, -6.55, 12.1, -0.018, 0.051, -0.0352
1722847331327, 16.05, -5.25, 12.1, 0.108, 0.042, -0.0632
1722847331358, 15, -6.1, 10.1, 0.123, 0.251, -0.1288
1722847331389, 17.95, -6.9, 14.8, -0.044, -0.078, -0.0648
1722847331421, 17.1, -5.85, 13.35, 0.105, -0.12, -0.2064
1722847331452, 15.1, -5.1, 10.95, 0.153, 0.19, -0.0008
1722847331483, 16.25, -6.2, 12.2, -0.021, 0.066, -0.1072
1722847331514, 16.95, -7.2, 13.55, -0.039, 0.063, -0.096
1722847331546, 17.9, -11.3, 12.5, -0.435, -0.196, -0.0768
1722847331577, 18.05, -11.95, 14.05, -0.531, -0.238, -0.0096
1722847331608, 16.4, -11.85, 11.9, -0.516, 0.163, -0.044
1722847331639, 15.9, -14.05, 12.2, -0.587, 0.147, -0.004
1722847331671, 16.45, -13.15, 12.1, -0.456, 0.087, -0.0752
1722847331718, 17.5, -12.25, 12.7, -0.485, -0.051, -0.008
1722847331749, 17.4, -10.25, 12.85, -0.309, 0.022, -0.0768
1722847331796, 17.25, -8.05, 12.85, -0.089, -0.029, -0.0688
1722847331843, 16.85, -8.1, 12.45, -0.095, 0.011, -0.076
1722847331889, 16.95, -7.9, 12.3, -0.072, 0.02, -0.0784
1722847331921, 16.8, -8.15, 12.45, -0.106, 0.027, -0.0704
1722847331952, 15.45, -3.15, 6.6, 0.45, 0.166, -0.1128
1722847332030, 14.5, -5.3, 14.9, 0.12, 0.199, -0.0304
1722847332077, 14.35, -9.1, 12.1, -0.034, 0.245, -0.0896
1722847332108, 17.2, -7.95, 11.75, 0.024, 0.05, -0.0656
1722847332139, 15.1, -7.25, 8.1, 0.062, 0.239, -0.1
1722847332171, 15.8, -8.2, 7.75, -0.099, 0.066, -0.0648
1722847332202, 16.85, -6.85, 9.25, -0.042, 0, -0.108
1722847332233, 18.3, -9.5, 16.25, -0.209, -0.115, -0.076
1722847332264, 16.85, -10.5, 13.4, -0.324, 0.11, -0.0608
1722847332296, 17.5, -7.65, 15.95, -0.135, -0.029, -0.0816
1722847332327, 17.1, -7.15, 13.85, 0.017, -0.018, -0.0144
1722847332358, 16.35, -8.15, 15.5, -0.136, 0.087, -0.1016
1722847332389, 15.1, -6.8, 14.7, 0.095, 0.205, -0.0376
1722847332421, 18.75, -9.25, 12.15, -0.364, -0.246, -0.0064
1722847332468, 18.3, -9.4, 9.75, -0.264, -0.129, -0.1352
1722847332499, 16, -6.4, 10.2, 0.156, 0.13, -0.1256
1722847332530, 17.5, -8.45, 12.1, -0.129, -0.029, -0.0688
1722847332561, 17.2, -8.5, 11.75, -0.163, 0.035, -0.0576
1722847332593, 17.2, -7.85, 12.3, -0.068, -0.009, -0.0704
1722847332639, 17.05, -8.1, 12.25, -0.103, 0.03, -0.0488
1722847332702, 17.15, -7.85, 12.15, -0.058, -0.003, -0.1048
1722847332733, 17.1, -8, 12.25, -0.091, 0.031, -0.0728
1722847332764, 16.75, -8.15, 12.3, -0.056, 0.027, -0.092
1722847332796, 17.15, -7.9, 12.25, -0.065, -0.006, -0.0824
1722847332827, 16.95, -7.9, 12.35, -0.093, 0.011, -0.0752
1722847332858, 16.95, -8.1, 12.2, -0.061, 0, -0.0752
1722847332889, 17.2, -8.15, 12.4, -0.075, -0.016, -0.0672
1722847332921, 17, -7.85, 12.45, -0.104, 0.025, -0.0504
1722847332952, 17, -7.9, 12.3, -0.1, 0.034, -0.056
1722847332983, 17.05, -7.95, 12.3, -0.08, 0.021, -0.0752
1722847333014, 17, -8, 12.15, -0.048, 0.012, -0.064
1722847333046, 16.7, -8, 12.3, -0.088, 0.033, -0.0824
1722847333077, 17.1, -7.95, 12.35, -0.081, 0.016, -0.072
1722847333093, 16.9, -7.85, 12.2, -0.073, 0.012, -0.1032
1722847333139, 16.85, -8, 12.45, -0.119, 0.028, -0.0608
1722847333155, 16.85, -7.9, 12.3, -0.078, 0.009, -0.0776
1722847333186, 17, -7.95, 12.3, -0.093, 0.01, -0.0624
1722847333218, 16.9, -7.95, 12.2, -0.092, 0.019, -0.0824
1722847333249, 17.15, -7.85, 12.4, -0.095, -0.003, -0.0952
1722847333280, 17.1, -8.05, 12.35, -0.077, 0.008, -0.064
1722847333311, 16.85, -7.95, 12.35, -0.057, -0.005, -0.0784
1722847333343, 17.05, -8, 12.35, -0.097, 0.004, -0.076
1722847333358, 17.15, -7.85, 12.3, -0.089, 0.006, -0.06
1722847333389, 17.15, -8.05, 12.45, -0.092, 0.019, -0.048
1722847333421, 17.25, -8.1, 12.25, -0.093, 0.019, -0.0576
1722847333452, 17, -7.85, 12.3, -0.08, 0.014, -0.0824
1722847333483, 16.95, -7.9, 12.15, -0.077, 0.004, -0.1056
1722847333514, 17.5, -8.85, 13.5, -0.193, -0.038, -0.0848
1722847333546, 16.65, -8.3, 16.45, -0.109, 0.048, -0.0696
1722847333577, 15, -6.55, 17.15, 0.101, 0.257, -0.044
1722847333608, 16, -9.05, 18.3, -0.34, 0.146, -0.116
1722847333639, 16.5, -9.9, 13.2, -0.436, 0.072, -0.084
1722847333671, 18.95, -8.7, 9.9, -0.302, -0.225, -0.1176
1722847333702, 18.3, -8.4, 7.1, -0.161, -0.132, -0.048
1722847333733, 18.2, -8.95, 10.5, -0.209, -0.166, -0.012
1722847333764, 17.7, -8.15, 11.2, -0.113, -0.068, -0.064
1722847333796, 16.85, -7.15, 10.1, -0.013, 0.023, -0.0928
1722847333827, 17.7, -5.75, 6.6, 0.104, -0.04, -0.1216
1722847333858, 22.1, -7.85, 6.75, -0.051, -0.45, -0.0944
1722847333889, 14.95, -6.2, 12.85, 0.15, 0.253, -0.0352
1722847333921, 14.95, -10.9, 15.3, -0.332, 0.243, -0.0448
1722847333952, 15.1, -9.25, 13.8, -0.239, 0.128, -0.1504
1722847333983, 17.05, -7.4, 10.55, -0.052, -0.046, -0.0936
1722847334014, 16.45, -7.4, 10.1, -0.115, 0.068, -0.076
1722847334046, 15.35, -7.35, 12.75, 0.094, 0.194, 0.0008
1722847334077, 18.1, -10, 16.05, -0.235, -0.032, -0.1088
1722847334108, 17.45, -6.5, 15.05, 0.095, -0.037, -0.1064
1722847334139, 16.3, -6.3, 14.6, 0.095, 0.136, -0.1112
1722847334171, 17.4, -9.15, 13.35, 0.026, 0.087, -0.1304
1722847334202, 16.75, -10.6, 15.6, -0.505, 0.08, -0.1768
1722847334249, 16.55, -13.25, 12.45, -0.865, 0.053, -0.1968
1722847334296, 14.25, -11.75, 7.85, -0.843, 0.375, -0.1384
1722847334327, 15.3, -13.75, 10.1, -1.114, 0.314, -0.1624
1722847334358, 15.8, -14.7, 10.7, -1.208, 0.185, -0.1664
1722847334389, 15.6, -14.4, 11.5, -1.188, 0.204, -0.1544
1722847334421, 15.45, -14.4, 11.25, -1.148, 0.23, -0.1336
1722847334452, 16.4, -17.45, 14.65, -1.577, 0.022, -0.104
1722847334483, 18.05, -20.95, 15.95, -1.961, -0.131, -0.0632
1722847334514, 16.7, -18.65, 15.95, -1.652, 0.02, -0.0168
1722847334546, 15.35, -13.65, 10.35, -1.034, 0.231, -0.1248
1722847334577, 15.95, -8.85, 10.95, -0.685, 0.15, 0.0552
1722847334608, 16.95, -11.6, 10.95, -0.642, 0.18, -0.0976
1722847334639, 16.65, -12.5, 8.75, -0.801, 0.104, 0.0224
1722847334671, 15.15, -8.35, 11.75, -0.409, 0.244, -0.0288
1722847334702, 15.6, -8.6, 10.45, -0.503, 0.32, -0.056
1722847334733, 15, -12.45, 10.1, -0.795, 0.325, 0.0408
1722847334764, 14.05, -15.1, 9.7, -1.129, 0.44, 0.0008
1722847334796, 15.15, -13.9, 8.85, -1.08, 0.446, 0.0408
1722847334827, 13.5, -9, 9.4, -0.579, 0.595, 0.02
1722847334858, 12.5, -8.75, 7.15, -0.58, 0.777, 0.0232
1722847334889, 12.8, -12.75, 7.8, -0.909, 0.845, 0.0968
1722847334921, 12.4, -15.35, 6.05, -1.196, 0.849, 0.1168
1722847334952, 10.75, -10.2, 9.05, -0.686, 1.01, 0.1216
1722847335030, 14.1, -9.3, 10.95, -0.67, 0.639, 0.1
1722847335093, 16, -5.7, 13.65, -0.234, 0.223, -0.0672
1722847335124, 18.5, -2.15, 18.2, 0.381, 0.08, -0.1848
1722847335186, 18, -6.3, 17, -0.253, -0.029, -0.2032
1722847335218, 17.35, -7.7, 15.05, -0.047, -0.145, -0.1248
1722847335249, 19.55, -10.05, 11.1, -0.302, -0.207, 0.0088
1722847335280, 16.35, -12.25, 6.15, -0.353, 0.198, -0.0528
1722847335327, 17.95, -13.9, 5.8, -0.615, -0.18, -0.0536
