UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1720525815911, -6.2, 15.15, 0.2, -0.13, -0.027, -0.0328
1720525815942, -6.2, 15.1, 0.2, -0.121, -0.027, -0.0328
1720525815973, -6.3, 15.25, 0.3, -0.14, -0.027, -0.032
1720525816020, -6.3, 15.05, 0.15, -0.117, -0.026, -0.0328
1720525816051, -6.2, 15.05, 0.2, -0.14, -0.027, -0.0336
1720525816082, -6.1, 15.2, 0.2, -0.128, -0.026, -0.0352
1720525816114, -6.2, 15.2, 0.15, -0.12, -0.028, -0.0344
1720525816145, -6.3, 15.05, 0.3, -0.138, -0.027, -0.0328
1720525816176, -6.25, 14.95, 0.2, -0.12, -0.026, -0.0344
1720525816207, -6.2, 15.1, 0.15, -0.121, -0.027, -0.0312
1720525816239, -6.3, 15.1, 0.2, -0.14, -0.028, -0.032
1720525816270, -6.2, 15.15, 0.15, -0.123, -0.028, -0.0344
1720525816301, -6.1, 15, 0.15, -0.135, -0.026, -0.0344
1720525816333, -6.25, 14.9, 0.2, -0.135, -0.026, -0.0312
1720525816364, -6.1, 15.35, 0.1, -0.117, -0.027, -0.0344
1720525816395, -6.25, 15.35, 0.15, -0.136, -0.027, -0.0344
1720525816426, -6.25, 15.15, 0.25, -0.133, -0.027, -0.0312
1720525816458, -6.3, 15.25, 0.05, -0.121, -0.027, -0.0344
1720525816489, -6.15, 15.2, 0.15, -0.141, -0.027, -0.0376
1720525816520, -6.15, 15.05, 0.15, -0.125, -0.026, -0.0344
1720525816551, -6.15, 15.1, 0.15, -0.125, -0.027, -0.0288
1720525816598, -6.1, 15, 0.1, -0.139, -0.025, -0.0312
1720525816645, -6.3, 15.2, 0.25, -0.132, -0.026, -0.0312
1720525816692, -6.25, 15.15, 0.2, -0.122, -0.026, -0.0328
1720525816739, -6.25, 15.2, 0.25, -0.132, -0.025, -0.0352
1720525816786, -6.25, 15.15, 0.1, -0.128, -0.027, -0.0336
1720525816817, -6.2, 15.05, 0.2, -0.133, -0.026, -0.0312
1720525816864, -6.15, 15.2, 0.25, -0.128, -0.027, -0.0336
1720525816911, -6.15, 15.15, 0.2, -0.126, -0.026, -0.0352
1720525816942, -6.2, 15.2, 0.2, -0.133, -0.026, -0.0328
1720525816989, -6.2, 15.15, 0.25, -0.119, -0.026, -0.0312
1720525817020, -6.3, 15.1, 0.25, -0.139, -0.026, -0.0312
1720525817051, -6.3, 15, 0.15, -0.119, -0.027, -0.0336
1720525817083, -6.15, 15.15, 0.15, -0.127, -0.026, -0.032
1720525817114, -6.25, 15.05, 0.15, -0.138, -0.027, -0.0312
1720525817145, -6.25, 14.95, 0.15, -0.122, -0.027, -0.0288
1720525817176, -6.25, 15.15, 0.25, -0.13, -0.027, -0.0336
1720525817207, -6.2, 15.15, 0.15, -0.134, -0.026, -0.0232
1720525817239, -6.6, 14.9, 0.25, -0.127, -0.027, -0.128
1720525817270, -5.45, 15.05, 0.2, -0.139, -0.02, 0.1448
1720525817301, -6.15, 15.1, 0.15, -0.08, -0.027, -0.0184
1720525817333, -6.85, 13.85, 0.1, -0.132, -0.028, -0.2464
1720525817364, -6.35, 14.95, 0.35, -0.185, -0.026, 0.0088
1720525817395, -5.65, 15.05, 0.15, -0.053, -0.023, 0.2592
1720525817411, -6.15, 14.85, 0.3, -0.201, -0.029, 0.06
1720525817458, -5.85, 15.15, 0.15, -0.173, -0.028, 0.096
1720525817489, -5.95, 15.25, 0.15, -0.093, -0.029, 0.076
1720525817520, -6.5, 15.1, 0.15, -0.146, -0.028, -0.1416
1720525817567, -6.4, 15.05, 0.2, -0.113, -0.029, -0.1336
1720525817629, -5.6, 15.15, 0.15, -0.137, -0.021, 0.1192
1720525817661, -6.2, 15, 0.2, -0.11, -0.026, -0.0152
1720525817676, -6.35, 15.1, 0.2, -0.14, -0.025, -0.0936
1720525817707, -6.35, 15.05, 0.1, -0.124, -0.03, -0.1088
1720525817739, -5.95, 15.25, 0.15, -0.123, -0.027, 0.02
1720525817770, -6.45, 15, 0, -0.099, -0.027, -0.084
1720525817801, -6.2, 15.3, 0.25, -0.156, -0.029, -0.0304
1720525817833, -6.2, 15.15, 0.25, -0.114, -0.027, -0.0168
1720525817864, -6.05, 15.15, 0.2, -0.094, -0.024, 0.0304
1720525817895, -6.2, 15.3, 0.3, -0.19, -0.026, -0.0448
1720525817926, -6.05, 15.2, 0.1, -0.106, -0.026, 0.0144
1720525817958, -6.3, 15.1, 0.2, -0.099, -0.029, -0.0576
1720525817989, -6.2, 15.05, 0.25, -0.161, -0.027, -0.0024
1720525818020, -6.35, 15.05, 0.05, -0.103, -0.027, -0.0792
1720525818051, -6.3, 15, 0.2, -0.11, -0.029, -0.068
1720525818083, -6.05, 15.15, 0.3, -0.155, -0.024, 0.016
1720525818098, -6.25, 15.1, 0.1, -0.123, -0.026, -0.048
