UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1720511563590, 11.55, -2.7, 19.5, 0.253, 0.071, 0.044
1720511563605, 11.25, -2, 19.85, 0.311, 0.077, 0.0448
1720511563621, 11.55, -2.7, 19.45, 0.235, 0.093, 0.0488
1720511563636, 11.75, -2.35, 19.45, 0.289, 0.073, 0.0536
1720511563652, 11.25, -2.1, 19.65, 0.285, 0.107, 0.0368
1720511563668, 11.8, -1.95, 19.75, 0.296, 0.061, 0.0176
1720511563683, 11.45, -2.85, 19.35, 0.236, 0.098, 0.04
1720511563699, 11.65, -2.75, 19.8, 0.25, 0.071, 0.008
1720511563715, 11.4, -1.85, 19.65, 0.341, 0.098, 0.0416
1720511563730, 11.35, -2.5, 19.5, 0.273, 0.1, 0.0432
1720511563746, 11.9, -2.7, 19.75, 0.264, 0.057, 0.0176
1720511563761, 11.6, -2.05, 19.7, 0.315, 0.083, 0.0416
1720511563793, 11.25, -2.3, 19.55, 0.287, 0.104, 0.056
1720511563824, 11.35, -2.25, 19.6, 0.294, 0.095, 0.048
1720511563840, 11.6, -2.35, 19.5, 0.281, 0.077, 0.0328
1720511563855, 11.55, -2.6, 19.5, 0.256, 0.1, 0.052
1720511563871, 11.45, -2.15, 19.6, 0.296, 0.087, 0.0344
1720511563902, 11.65, -2.2, 19.65, 0.301, 0.082, 0.0336
1720511563949, 11.45, -2.2, 19.65, 0.297, 0.091, 0.0392
1720511563980, 11.55, -2.2, 19.7, 0.294, 0.098, 0.0456
1720511564011, 11.7, -2.15, 19.45, 0.298, 0.082, 0.0392
1720511564043, 11.5, -2.4, 19.6, 0.279, 0.093, 0.0424
1720511564074, 11.65, -2.3, 19.65, 0.265, 0.085, 0.0352
1720511564105, 11.5, -2.25, 19.8, 0.303, 0.081, 0.032
1720511564136, 11.7, -2.55, 19.5, 0.268, 0.081, 0.0472
1720511564168, 11.6, -2.25, 19.9, 0.304, 0.077, 0.0504
1720511564199, 11.15, -2.65, 19.25, 0.245, 0.118, 0.0376
1720511564230, 11.6, -2.4, 19.8, 0.292, 0.093, 0.0328
1720511564261, 11.1, -2.4, 19.15, 0.264, 0.101, 0.052
1720511564293, 10.25, -2.95, 18.8, 0.186, 0.199, 0.0856
1720511564324, 11.15, -2.2, 19.35, 0.278, 0.097, 0.072
1720511564355, 12.05, -1.9, 19.9, 0.333, 0.074, 0.0328
1720511564386, 11.4, -2.2, 19.6, 0.285, 0.124, 0.0344
1720511564418, 10.9, -2.45, 18.8, 0.205, 0.146, 0.0576
1720511564449, 11.7, -2.55, 20.15, 0.259, 0.023, 0
1720511564480, 11.45, -2.15, 19.6, 0.306, 0.06, 0.0336
1720511564511, 10.65, -2.75, 19.05, 0.186, 0.127, 0.064
1720511564543, 10.9, -2.55, 19.25, 0.281, 0.091, 0.0512
1720511564574, 11.95, -1.7, 20.05, 0.378, 0.069, 0.0072
1720511564605, 11.85, -2.75, 19.75, 0.249, 0.091, 0.0576
1720511564652, 11.95, -2.6, 19.5, 0.25, 0.057, 0.0664
