UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722923017954, 15.5, -8.45, 12.75, -0.181, 0.114, -0.0808
1722923017970, 15.9, -8.65, 12.55, -0.196, 0.112, -0.0776
1722923017986, 15.7, -8.45, 12.55, -0.187, 0.121, -0.0824
1722923018001, 15.8, -8.4, 12.55, -0.159, 0.115, -0.084
1722923018017, 16, -8.3, 12.6, -0.173, 0.113, -0.0792
1722923018048, 15.75, -8.5, 12.6, -0.203, 0.129, -0.0856
1722923018064, 15.4, -8.25, 12.6, -0.171, 0.122, -0.0888
1722923018079, 15.75, -8.35, 12.8, -0.179, 0.092, -0.0888
1722923018126, 15.7, -8.35, 12.75, -0.179, 0.114, -0.0832
1722923018157, 15.65, -8.45, 12.65, -0.186, 0.124, -0.0816
1722923018189, 15.75, -8.4, 12.6, -0.196, 0.103, -0.0712
1722923018220, 15.55, -8.05, 12.6, -0.163, 0.132, -0.084
1722923018251, 15.6, -7.9, 12.5, -0.165, 0.119, -0.0728
1722923018267, 15.55, -7.4, 12.85, -0.091, 0.094, -0.0912
1722923018298, 15, -6.65, 11.65, -0.01, 0.192, -0.0792
1722923018329, 14.6, -4.4, 12.7, 0.147, 0.235, -0.1128
1722923018361, 16.9, -6.1, 12.8, -0.074, 0.034, -0.0832
1722923018392, 14.55, -4.7, 14.3, 0.046, 0.143, -0.0464
1722923018423, 16.45, -5.3, 12.95, -0.019, 0.002, -0.1792
1722923018454, 15.3, -3.65, 13, 0.201, 0.086, 0.0096
1722923018486, 15.6, -5.25, 15.05, 0.066, 0.043, -0.072
1722923018517, 16.6, -5.8, 10.4, -0.044, 0.033, -0.0024
1722923018548, 15.45, -4.7, 13.6, 0.222, 0.093, -0.0936
1722923018579, 16.9, -9, 13.55, -0.276, 0.023, 0.0104
1722923018626, 16.65, -9.75, 11.05, -0.145, 0.176, -0.1016
1722923018657, 17.25, -12.9, 13.65, -0.379, 0.033, -0.0656
1722923018673, 15.7, -12.55, 12.6, -0.608, 0.095, -0.0328
1722923018704, 16.2, -12.85, 14.8, -0.593, 0.086, 0.0024
1722923018736, 15.25, -9.75, 13.1, -0.238, 0.229, -0.1192
1722923018767, 17.35, -10.5, 13.95, -0.404, -0.043, -0.108
1722923018798, 15.8, -8.2, 12.2, -0.167, 0.086, -0.0648
1722923018829, 17.05, -8, 13.6, -0.121, -0.01, -0.0776
1722923018861, 17, -7.35, 13.3, -0.093, 0.009, -0.0712
1722923018892, 16.9, -7.9, 12.75, -0.167, 0.009, -0.0664
1722923018923, 18.75, -7.2, 7.5, -0.09, -0.194, -0.1104
1722923018954, 20.8, -7.4, 9.9, -0.207, -0.406, -0.0544
1722923018986, 14.85, -5.75, 15.35, 0.062, 0.242, -0.0952
1722923019017, 11.25, -6.6, 11.95, 0.033, 0.481, -0.088
1722923019048, 15.75, -7.6, 11.5, -0.165, 0.027, -0.0936
1722923019079, 16.8, -6.15, 10.95, 0.006, -0.054, -0.0648
1722923019111, 16.95, -7.6, 14.35, -0.064, -0.015, -0.0856
1722923019142, 16.6, -9.5, 15.1, -0.277, 0.01, -0.0344
1722923019173, 16.9, -5.75, 14.05, 0.153, 0.114, -0.0616
1722923019189, 17.8, -5.8, 14.3, 0.059, -0.037, -0.0288
1722923019220, 15.2, -2.05, 3, 0.915, 0.445, 0.012
1722923019251, 14.7, -3.45, -0.3, 0.674, 0.546, -0.1864
1722923019282, 16.15, -10.25, 13.45, -0.542, 0.096, -0.284
1722923019314, 15.1, -11.55, 11.95, -0.905, 0.163, -0.1224
1722923019345, 15.2, -13, 9.55, -0.999, 0.314, -0.1504
1722923019376, 14.85, -13.7, 10.75, -1.285, 0.246, -0.1072
1722923019407, 14.8, -14.1, 9.65, -1.311, 0.294, -0.1104
1722923019439, 15.9, -15.65, 11.15, -1.498, 0.146, -0.1184
1722923019470, 16.1, -15.65, 11.6, -1.505, 0.104, -0.1176
1722923019501, 15.85, -15.6, 11.45, -1.474, 0.153, -0.1344
1722923019532, 16.8, -18.45, 13.75, -1.835, 0.008, -0.0712
1722923019564, 16.3, -20.7, 13.3, -2.1, 0.034, -0.0376
1722923019595, 15.9, -21.9, 8.5, -2.214, 0.038, -0.0384
1722923019626, 15.05, -18.15, 7.35, -1.946, 0.269, -0.1208
1722923019657, 16.85, -12.45, 11.85, -1.164, 0.083, -0.0688
1722923019689, 16.7, -10.8, 9.65, -0.598, 0.242, -0.0984
1722923019720, 15.75, -11.9, 9.6, -0.856, 0.132, -0.0376
