UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722923544405, 11.4, -1.8, 19.45, 0.273, 0.076, 0.0144
1722923544436, 11.25, -1.25, 19.5, 0.31, 0.1, 0.02
1722923544483, 11.1, -1.2, 19.4, 0.308, 0.107, 0.0296
1722923544545, 11.15, -1.55, 19.5, 0.293, 0.095, 0.0176
1722923544592, 11.3, -1.65, 19.5, 0.283, 0.085, 0.0208
1722923544623, 11.25, -1.5, 19.3, 0.293, 0.103, 0.0256
1722923544655, 11.3, -1.5, 19.45, 0.288, 0.1, 0.016
1722923544670, 11.2, -1.45, 19.2, 0.286, 0.094, 0.0232
1722923544701, 11.2, -1.65, 19.45, 0.288, 0.087, 0.0144
1722923544733, 11.25, -1.5, 19.4, 0.285, 0.095, 0.024
1722923544764, 11.35, -1.5, 19.4, 0.29, 0.096, 0.0192
1722923544780, 11.2, -1.55, 19.4, 0.288, 0.092, 0.0248
1722923544795, 11.25, -1.55, 19.35, 0.287, 0.087, 0.02
1722923544811, 11.15, -1.55, 19.4, 0.292, 0.097, 0.024
1722923544842, 11.2, -1.6, 19.45, 0.295, 0.088, 0.0216
1722923544873, 11.25, -1.35, 19.3, 0.282, 0.094, 0.028
1722923544905, 11.35, -1.6, 19.4, 0.284, 0.091, 0.0248
1722923544936, 11.15, -1.6, 19.5, 0.294, 0.096, 0.0232
1722923544967, 11.3, -1.65, 19.4, 0.285, 0.1, 0.0272
1722923544998, 11.3, -1.55, 19.4, 0.289, 0.086, 0.0264
1722923545030, 11.35, -1.7, 19.6, 0.29, 0.078, 0
1722923545061, 11, -1.6, 19.3, 0.276, 0.107, 0.0264
1722923545092, 11.25, -1.9, 19.35, 0.259, 0.094, 0.0408
1722923545155, 11.6, -1.7, 19.25, 0.268, 0.085, 0.0064
1722923545186, 11.2, -1.1, 19.45, 0.322, 0.084, 0.04
1722923545217, 11.25, -1.6, 19.15, 0.274, 0.098, 0.0448
1722923545248, 10.9, -1.3, 19.05, 0.29, 0.085, 0.036
1722923545280, 10.8, -1.45, 18.9, 0.288, 0.06, 0
1722923545311, 12.3, -1.35, 20.8, 0.385, 0.003, -0.0088
1722923545342, 11.15, -1.5, 19.05, 0.25, 0.079, 0.0232
1722923545373, 11.05, -1.55, 19.2, 0.274, 0.14, 0.0904
1722923545405, 11, -1.65, 19.45, 0.265, 0.066, 0.0216
1722923545436, 10.75, -2.2, 18.85, 0.181, 0.11, 0.0232
1722923545467, 10.55, -1.9, 19.05, 0.257, 0.101, 0.0352
1722923545498, 11.1, -2.35, 19.15, 0.203, 0.106, 0.0336
1722923545530, 11.8, -0.95, 19.45, 0.356, 0.046, 0.0328
1722923545561, 11.35, -1.85, 19.8, 0.319, 0.113, 0.0336
1722923545592, 11.25, -1.1, 19.8, 0.348, 0.072, -0.004
1722923545623, 10.95, -1.55, 19.3, 0.303, 0.099, 0.0704
1722923545686, 11.65, -1.85, 19.4, 0.27, 0.059, 0.0128
1722923545733, 11.5, -1.15, 19.8, 0.34, 0.064, -0.0064
1722923545764, 10.75, -1.6, 19.4, 0.309, 0.161, 0.0744
1722923545811, 10.4, -2.25, 18.35, 0.173, 0.169, 0.0456
1722923545842, 11.45, -0.45, 19.6, 0.401, 0.056, 0.04
1722923545858, 10.45, -2.35, 19, 0.171, 0.133, 0.0128
1722923545873, 11.75, -1.75, 19.35, 0.269, 0.053, -0.0096
1722923545905, 11.1, -1.25, 19.85, 0.346, 0.102, 0.0392
1722923545936, 11.3, -1.9, 19.6, 0.277, 0.094, 0.0008
1722923545967, 11.15, -0.8, 19.5, 0.396, 0.086, 0.0576
1722923545998, 10.1, -1.8, 18.2, 0.235, 0.173, 0.0576
1722923546014, 11, -1.65, 19.65, 0.331, 0.146, 0.1192
1722923546030, 11.45, -1.45, 19.5, 0.276, 0.039, -0.0624
1722923546061, 11.6, -1.85, 19.6, 0.275, 0.056, -0.0168
1722923546092, 10.95, -1.4, 19, 0.278, 0.118, 0.0224
1722923546108, 11.35, -1.55, 19.45, 0.316, 0.066, 0.0272
1722923546123, 11.95, -1.6, 19.5, 0.296, 0.015, -0.0072
1722923546170, 11.2, -1.45, 18.95, 0.318, 0.087, 0.0408
1722923546201, 11.3, -1.35, 19.65, 0.305, 0.078, 0.0016
1722923546233, 11.55, -1.7, 19.45, 0.26, 0.071, -0.0104
1722923546264, 10.95, -2.25, 19.05, 0.249, 0.119, 0.0656
1722923546280, 11.35, -1.2, 19.25, 0.335, 0.085, 0.04
1722923546326, 11.75, -2.2, 19.45, 0.232, 0.034, -0.024
1722923546358, 11.35, -1.2, 19.7, 0.31, 0.084, -0.0184
1722923546389, 11.2, -2.05, 18.95, 0.235, 0.103, 0.044
1722923546420, 11.2, -1.3, 19.5, 0.292, 0.097, 0.0128
1722923546451, 11.25, -1.65, 19.6, 0.296, 0.076, 0.0144
1722923546483, 11.6, -2.1, 19.45, 0.242, 0.075, 0.0144
1722923546514, 10.3, -0.95, 18.9, 0.306, 0.183, 0.0624
1722923546545, 11.5, -1.95, 18.9, 0.247, 0.086, 0.0216
1722923546576, 10.45, -1.85, 19.4, 0.243, 0.118, 0
1722923546608, 11, -1.15, 19.1, 0.326, 0.125, 0.092
1722923546639, 10.5, -1.7, 18.9, 0.273, 0.156, 0.064
1722923546670, 10.95, -2.25, 18.75, 0.192, 0.053, -0.0232
1722923546701, 11.25, -2.2, 19.35, 0.242, 0.082, 0.0464
1722923546733, 11, -1.7, 19.2, 0.274, 0.094, 0.0224
1722923546764, 11.3, -1.85, 19.5, 0.293, 0.052, 0.0408
1722923546795, 10.8, -0.25, 19.8, 0.422, 0.105, 0.0744
1722923546826, 10.9, -2.2, 18.6, 0.232, 0.14, 0.056
1722923546858, 10.35, -1.3, 19.2, 0.339, 0.158, 0.076
1722923546889, 11.25, -2.45, 19.65, 0.231, 0.054, -0.0336
1722923546920, 10.55, -1.3, 19.1, 0.338, 0.171, 0.0984
1722923546967, 11.7, -1.7, 19.85, 0.281, 0.032, -0.0312
1722923546983, 12, -2.05, 19.6, 0.237, 0.007, -0.0472
1722923547014, 12.1, -1.5, 20.6, 0.319, 0.022, -0.04
1722923547045, 10.75, -1.7, 18.65, 0.271, 0.135, 0.092
1722923547061, 11.6, -1.5, 19.65, 0.294, 0.06, -0.0232
1722923547123, 11.25, -1.45, 19.5, 0.295, 0.096, 0.0176
1722923547186, 10.9, -0.95, 19.1, 0.335, 0.094, 0.0616
1722923547217, 11.55, -2, 19.3, 0.247, 0.077, 0.0112
1722923547248, 10.8, -1.65, 18.85, 0.236, 0.108, 0.0408
1722923547280, 11.2, -1.8, 19.55, 0.325, 0.092, 0.0128
1722923547311, 10.7, -1.5, 18.8, 0.271, 0.105, 0.0104
1722923547342, 11.6, -1.65, 19.7, 0.264, 0.052, -0.02
1722923547373, 11.95, -0.85, 19.8, 0.352, 0.031, -0.0072
1722923547405, 11, -1.45, 19.3, 0.304, 0.136, 0.0456
1722923547436, 10.85, -2, 19.5, 0.257, 0.149, 0.0544
1722923547467, 10.8, -1.75, 18.9, 0.246, 0.12, 0.0184
1722923547498, 10.9, -1.5, 18.75, 0.272, 0.115, 0.0368
1722923547545, 10.6, 0.25, 20.15, 0.36, 0.167, 0.044
1722923547576, 8.85, -0.35, 20.45, 0.491, 0.348, 0.228
1722923547639, 12.9, -2.5, 19.25, 0.151, -0.079, -0.0976
1722923547686, 8.2, -1.6, 19.9, 0.339, 0.257, 0.1488
1722923547733, 5.3, -4.3, 20.5, 0.153, 0.363, -0.0232
1722923547780, 2.6, -5.6, 22.25, 0.049, 0.819, 0.1632
1722923547811, 2.7, -2.65, 21.45, -0.027, 0.664, 0.5984
1722923547858, 5.9, -5.65, 23.75, 0.12, 0.385, 0.1072
1722923547889, 5.45, -6.25, 17.8, 0.353, 0.475, -0.0192
1722923547920, 23.45, -1.8, 29.95, 0.05, -1.173, -0.1584
1722923547951, 27.65, -1.4, 25.65, 0.075, -1.205, -0.3016
1722923547983, 20.95, -4.2, 21.8, 0.13, -0.779, -0.4272
1722923548014, 16.2, -5.4, 13.5, -0.207, -0.141, -0.1048
1722923548030, 16.3, -3.9, 13.5, -0.071, -0.243, -0.1688
1722923548076, 17.25, -5.4, 23.65, 0.183, -0.265, -0.0392
1722923548092, 16.55, -4.6, 23.4, 0.374, -0.459, -0.3216
1722923548123, 11.65, -7.3, 21.65, -0.031, 0.045, -0.0528
1722923548155, 11.15, -6.55, 20.65, -0.069, 0.082, -0.004
1722923548186, 10.7, -6.35, 18.95, -0.121, 0.134, 0.0624
1722923548217, 10.75, -7.35, 19.3, -0.127, 0.15, 0.0336
