UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1720526731394, 16.25, -9.6, 12.05, -0.175, 0.123, -0.0328
1720526731409, 16.4, -9.7, 11.65, -0.18, 0.093, -0.0368
1720526731425, 16.5, -10.15, 12, -0.187, 0.073, -0.02
1720526731456, 16.3, -9.85, 12.25, -0.191, 0.08, -0.0544
1720526731472, 16.55, -9.8, 11.85, -0.171, 0.075, -0.036
1720526731487, 16.3, -9.7, 11.9, -0.186, 0.106, -0.04
1720526731503, 16.35, -9.85, 11.95, -0.181, 0.111, -0.0424
1720526731519, 16.35, -9.8, 11.85, -0.187, 0.102, -0.0344
1720526731565, 16.4, -9.85, 11.9, -0.164, 0.098, -0.0512
1720526731597, 16.4, -9.9, 12.05, -0.195, 0.094, -0.0392
1720526731628, 16.5, -9.8, 12, -0.168, 0.099, -0.0144
1720526731659, 16.5, -9.9, 12.05, -0.194, 0.085, -0.0392
1720526731690, 16.3, -9.85, 12.05, -0.189, 0.082, -0.0496
1720526731706, 16.5, -9.8, 12, -0.187, 0.077, -0.0328
1720526731737, 16.35, -9.3, 11.95, -0.122, 0.085, -0.0464
1720526731769, 16.65, -8.8, 12, -0.109, 0.043, -0.0416
1720526731800, 16.35, -7.95, 12, -0.027, 0.123, -0.06
1720526731815, 15.2, -6.2, 10.6, 0.186, 0.185, -0.0336
1720526731847, 16, -6.3, 10.65, 0.051, 0.126, -0.0408
1720526731862, 16.55, -6.5, 12.9, 0.065, 0.107, -0.004
1720526731894, 16.8, -5.95, 11.9, 0.219, -0.012, -0.08
1720526731925, 16.8, -6.65, 11.7, 0.04, 0.037, -0.0272
1720526731956, 15.95, -5.9, 14.05, 0.071, 0.05, -0.036
1720526731987, 17.15, -7.25, 11.4, 0.034, -0.095, 0.024
1720526732019, 18.3, -7.45, 13.05, 0.038, -0.112, -0.0264
1720526732050, 17.9, -9.65, 14.95, -0.162, -0.047, -0.0856
1720526732081, 17.5, -11.4, 13.3, -0.46, -0.121, 0.0144
1720526732112, 18.05, -12.65, 12.5, -0.484, -0.065, -0.0544
1720526732144, 17.85, -14.3, 16.1, -0.565, -0.132, 0.0512
1720526732175, 17.7, -16.55, 12.8, -0.739, -0.026, 0.056
1720526732206, 19, -14.75, 14.25, -0.667, -0.183, -0.0904
1720526732269, 17.65, -11.65, 11.8, -0.304, 0.013, 0
1720526732315, 17.2, -8.55, 12.8, -0.016, 0.01, -0.0432
1720526732362, 17.6, -8.85, 11.7, -0.101, -0.024, -0.0392
1720526732394, 17.5, -8.9, 12.15, -0.078, 0.015, -0.048
1720526732425, 17.1, -8.45, 12.25, -0.048, 0.04, -0.0456
1720526732472, 23.2, -11.15, 6.25, -0.412, -0.576, -0.044
1720526732503, 21.5, -9.4, 10.3, -0.349, -0.432, 0.0112
1720526732534, 16.95, -7.25, 13.75, 0.047, 0.049, -0.048
1720526732565, 13.9, -9.55, 15.9, -0.215, 0.256, -0.0256
1720526732612, 16.85, -8.05, 9.85, -0.031, 0.041, -0.0616
1720526732659, 16.55, -9.1, 10.45, -0.116, 0.026, -0.0104
1720526732706, 17.8, -9.15, 10.95, -0.058, 0.027, -0.0488
1720526732737, 17.2, -8.8, 13.85, -0.051, 0.024, -0.0592
1720526732769, 16.5, -8.5, 12.7, -0.06, 0.108, -0.072
1720526732800, 14.35, -2.65, 2.15, 0.682, 0.608, -0.0296
1720526732831, 11.45, 2.1, -13, 1.559, 1.062, -0.0264
1720526732847, 7.7, 8.2, -31.2, 2.743, 1.75, -0.0432
1720526732878, 6.55, 10.4, -37.95, 3.201, 1.969, -0.0832
1720526732909, 12.6, -2.3, -15.75, 1.111, 0.948, -0.3512
1720526732940, 14.55, -9.85, 11.8, -0.284, 0.459, -0.0528
1720526732972, 15.8, -13.65, 17.1, -1.15, 0.108, -0.0616
1720526733003, 13.55, -12.7, 5.55, -0.754, 0.735, -0.2608
1720526733050, 13.85, -15.15, 11, -1.167, 0.632, -0.2688
1720526733112, 14.4, -16, 12, -1.238, 0.427, -0.248
1720526733175, 14.6, -16.15, 11.95, -1.275, 0.538, -0.232
1720526733206, 16.85, -22.65, 14.9, -1.999, 0.281, -0.1432
1720526733237, 15.5, -24.65, 10.4, -2.371, 0.327, -0.0568
1720526733315, 13.75, -12.15, 6.35, -0.861, 0.636, -0.0472
1720526733362, 16.95, -11.15, 9.9, -0.551, 0.231, -0.0248
1720526733378, 16.15, -14.3, 10.05, -0.844, 0.212, -0.036
1720526733394, 14.8, -14.8, 8.9, -1.003, 0.305, 0.004
1720526733425, 14.25, -10.8, 10.15, -0.591, 0.507, -0.0288
1720526733456, 14.8, -12.4, 9.05, -0.683, 0.506, -0.0016
1720526733487, 13.65, -13.1, 8.3, -0.833, 0.58, -0.0528
1720526733519, 13.3, -13.8, 5.6, -0.769, 0.8, -0.0888
1720526733550, 12.95, -16, 4.4, -1.092, 0.735, 0.044
1720526733581, 12.3, -9.85, 2.2, -0.339, 0.966, -0.0728
1720526733612, 13.6, -8.5, 6.65, -0.3, 0.784, 0.0168
1720526733644, 12.95, -9.9, 6.8, -0.466, 0.829, 0.0664
1720526733675, 12.8, -16.45, 2.1, -1.071, 0.853, 0.092
1720526733690, 12.95, -14.35, 5.15, -1.021, 0.882, 0.072
1720526733706, 12.25, -9.35, 8.2, -0.468, 1.036, 0.0784
1720526733737, 11.4, -10, 9.3, -0.664, 1.107, 0.1432
1720526733769, 12.1, -12.7, 8, -0.999, 0.968, 0.152
1720526733800, 13.7, -9.4, 11.45, -0.662, 0.768, 0.216
1720526733831, 15.85, -10.85, 12.5, -0.779, 0.435, 0.0736
1720526733862, 18.4, -8.15, 15.75, -0.516, 0.009, -0.0136
1720526733894, 20.35, -4.3, 21.3, 0.085, -0.198, -0.152
1720526733925, 20, -6.55, 16.85, 0.115, -0.005, -0.072
1720526733956, 18.25, -6.1, 17.65, 0.169, -0.159, -0.1632
1720526733987, 17.7, -7.45, 13.75, 0.099, 0, 0.088
1720526734019, 17.75, -11.75, 8.3, -0.405, -0.118, 0.0416
1720526734050, 15.25, -12, 3.45, -0.073, 0.503, -0.0728
1720526734081, 18.5, -14.05, 5.45, -0.573, -0.1, -0.0008
1720526734112, 17.35, -12.75, 4, -0.591, -0.038, 0.1312
1720526734144, 18.1, -12.45, 7.5, -0.412, -0.185, -0.0128
1720526734175, 20.3, -10.75, 10.85, -0.315, -0.417, -0.0064
1720526734222, 16.45, -8.35, 12.3, 0.192, 0.018, -0.096
1720526734253, 11.1, -12.55, 12.3, -0.108, -0.127, -0.8448
1720526734284, 22.05, -8.35, 10.2, -0.221, -0.479, -0.1392
1720526734315, 24.5, -5, 8.2, 0.046, 1.203, 0.9008
1720526734347, 15.4, -12, 13.5, -0.278, -0.009, -0.1072
1720526734378, 17.45, -4.9, 8.95, 0.272, 0.066, -0.2288
1720526734409, 28.4, 3.75, 12.1, 1.125, -1.107, -0.2688
1720526734440, 23.3, -3.5, 10.5, 0.254, -0.577, -0.1608
1720526734472, 16.75, -9.55, 12.15, -0.057, 0.012, -0.1672
1720526734503, 12.15, -14.65, 10.15, -0.574, 0.378, -0.0032
1720526734534, 8.4, -18.6, 12.45, -1.101, 0.807, 0.0528
1720526734565, 12.05, -16.05, 14.25, -0.701, 0.295, -0.0048
1720526734612, 21.95, -12.8, 10.55, -0.112, -0.487, -0.0072
1720526734644, 18.2, -14.15, 12.3, -0.634, -0.242, -0.0384
1720526734675, 15.8, -5.3, 11.45, 0.299, 0.013, -0.0552
1720526734706, 18.35, -2.85, 11.3, 0.638, -0.237, -0.132
1720526734737, 20, -10.55, 12.2, -0.293, -0.298, -0.0968
1720526734769, 18.35, -13, 11.15, -0.526, -0.25, -0.132
1720526734800, 20.4, -11.65, 13.2, -0.599, -0.549, -0.2464
1720526734847, 20.85, -10.35, 10.45, -0.519, -0.688, -0.2992
1720526734878, 19.3, -5.15, 12.4, 0.092, -0.498, -0.1152
1720526734909, 20.45, -7.15, 7.25, 0.035, -0.519, -0.0976
1720526734941, 20, -8.15, 8, -0.013, -0.434, -0.0688
1720526734972, 20, -8.7, 6.2, -0.022, -0.349, -0.004
1720526735003, 22, -9.45, 7.7, -0.197, -0.621, -0.0584
1720526735034, 22, -9.15, 12.05, -0.237, -0.655, -0.004
1720526735065, 19.95, -10.3, 14.45, -0.533, -0.41, -0.0344
1720526735097, 19.55, -10.3, 14.75, -0.294, -0.334, -0.0576
1720526735128, 19.6, -9.2, 15.4, -0.071, -0.337, -0.0408
1720526735159, 17.4, -10.45, 17, -0.26, -0.084, -0.0152
1720526735175, 17.6, -10.7, 16, -0.396, -0.079, -0.0376
1720526735222, 21.25, -9.45, 13.5, -0.173, -0.366, -0.0608
1720526735253, 22.15, -8.9, 10.4, -0.004, -0.444, -0.0144
1720526735284, 21.45, -8.05, 10.55, -0.075, -0.396, 0.0256
1720526735331, 17.7, -10.8, 15.35, -0.347, -0.227, -0.1
1720526735378, 17.25, -8.35, 13.5, 0.042, -0.342, -0.02
1720526735409, 19.6, -6.35, 14.1, 0.064, -0.647, -0.0472
1720526735425, 20.05, -9.3, 15.45, -0.187, -0.77, 0.0128
1720526735472, 20.15, -7.35, 14.5, 0.022, -0.7, -0.0056
1720526735519, 23.2, -8.05, 14.15, 0.009, -1.08, -0.1064
1720526735550, 21.7, -7.65, 16.8, 0.156, -1.108, -0.0872
1720526735581, 23.1, -9, 16.3, 0.051, -1.221, -0.0264
1720526735675, 22.7, -11.8, 17.15, -0.563, -1.151, -0.2472
1720526735722, 21.75, -10.5, 16.4, -0.385, -1.033, -0.2448
1720526735769, 22.8, -9.9, 16.9, -0.192, -1.156, -0.1432
1720526735800, 21.75, -9.4, 17.25, -0.118, -1.063, -0.1056
1720526735831, 21.9, -9.6, 17.35, -0.132, -1.083, -0.056
1720526735862, 22.8, -8.85, 16.85, -0.038, -1.156, -0.0568
1720526735894, 22, -8.6, 16.65, -0.022, -1.077, -0.0824
1720526735925, 21.65, -9.05, 17.3, -0.074, -1.044, -0.0688
1720526735956, 22.65, -8.85, 16.75, -0.047, -1.11, -0.0864
1720526735987, 21.7, -9.15, 17.15, -0.067, -1.035, -0.0792
1720526736019, 22.25, -8.95, 16.45, -0.032, -1.174, -0.0552
1720526736050, 22.35, -8.75, 16.6, -0.018, -1.14, -0.0624
1720526736081, 20.9, -8, 16.25, 0.143, -0.998, 0.032
1720526736128, 20.95, -8, 16.7, 0.155, -0.899, 0.0856
1720526736175, 21.05, -6.3, 15.4, 0.381, -0.81, 0.1136
1720526736206, 22.55, -5.6, 16.05, 0.442, -0.897, 0.0896
1720526736253, 22.8, -5.8, 16.1, 0.447, -1.043, 0.0872
1720526736300, 23.85, -8.4, 17.1, 0.165, -1.18, 0.1072
1720526736362, 20.2, -9.8, 18.95, -0.031, -0.819, 0.0168
1720526736409, 23.25, -9.8, 14.55, -0.15, -0.76, -0.0272
1720526736456, 22.2, -9.1, 13.55, -0.134, -0.757, -0.0248
1720526736487, 19.6, -8.35, 13.4, -0.061, -0.453, -0.088
1720526736534, 21.3, -9.05, 13.35, -0.127, -0.547, -0.0552
1720526736566, 19.2, -9.05, 14, -0.097, -0.353, -0.0584
1720526736597, 20.1, -8.9, 13.55, -0.092, -0.427, -0.0512
1720526736628, 20.8, -8.5, 13.4, -0.065, -0.472, -0.064
1720526736659, 20.65, -8.5, 13.4, -0.069, -0.433, -0.0872
1720526736691, 21.6, -8.3, 13.25, -0.024, -0.524, -0.0448
1720526736722, 21, -9.3, 14.05, -0.114, -0.638, -0.0576
1720526736753, 20.3, -9.05, 14.5, -0.062, -0.703, -0.0184
1720526736784, 22.3, -8.65, 14.4, -0.016, -0.876, -0.0112
1720526736831, 24.3, -7.5, 13.2, 0.116, -0.97, -0.0568
1720526736894, 24.5, -10.65, 13.3, -0.319, -1.028, -0.0384
1720526736941, 23.05, -8.45, 11.45, -0.054, -0.993, 0.0272
1720526736987, 25.5, -7.85, 10, 0.07, -1.153, 0.0408
1720526737034, 29.3, -9.65, 9.9, -0.157, -1.605, -0.0144
1720526737066, 31.9, -10, 10, -0.318, -2.049, -0.1216
1720526737097, 33.6, -10.95, 9.35, -0.502, -2.306, -0.2488
1720526737144, 34.1, -12.05, 9.55, -0.683, -2.58, -0.3784
1720526737175, 35.05, -12.4, 10.05, -0.8, -2.708, -0.5696
1720526737206, 33.85, -12.75, 10.65, -0.76, -2.669, -0.5984
1720526737237, 31.65, -12.1, 11.75, -0.677, -2.38, -0.6368
1720526737269, 29.3, -11.4, 12.65, -0.526, -1.926, -0.464
1720526737300, 27.65, -7.55, 12.15, 0.165, -1.66, -0.0336
1720526737316, 25.7, -5.1, 15.15, 0.478, -1.364, 0.2864
1720526737347, 26.25, -7.1, 12.65, 0.234, -1.459, 0.3048
1720526737378, 26.8, -7.7, 11.85, 0.181, -1.485, 0.2968
1720526737409, 26.5, -5.75, 12.95, 0.369, -1.468, 0.3024
1720526737441, 25.85, -7.2, 12.15, 0.179, -1.432, 0.2536
1720526737472, 29.1, -9.1, 13.15, -0.199, -1.669, -0.0648
1720526737503, 28.45, -15.25, 10.95, -1.016, -1.801, -0.1176
1720526737534, 30.8, -14.25, 9.95, -0.969, -2.118, -0.2456
1720526737566, 37.7, -12.75, 11.2, -0.864, -3.121, -0.5496
1720526737597, 38.85, -14.4, 9.4, -1.014, -3.434, -0.5736
1720526737675, 37.75, -12.25, 10.8, -0.772, -3.213, -0.4488
1720526737722, 36.5, -12.55, 11.3, -0.721, -3.084, -0.424
1720526737753, 37.5, -12.3, 11.25, -0.69, -3.196, -0.4072
1720526737784, 36.2, -12.05, 11.2, -0.677, -3.024, -0.452
1720526737800, 35.95, -12.4, 11.65, -0.693, -2.981, -0.3984
1720526737831, 36.6, -11.95, 11.7, -0.71, -3.001, -0.3904
1720526737862, 36.25, -12, 11.75, -0.654, -3.002, -0.416
1720526737894, 35.8, -11.85, 11.25, -0.615, -3.005, -0.3976
1720526737941, 36.4, -11.5, 11.6, -0.63, -3.024, -0.3976
1720526737972, 35.5, -11.75, 11.6, -0.617, -2.947, -0.3536
1720526738003, 35.75, -11.85, 11.8, -0.629, -2.943, -0.3592
1720526738034, 36.2, -11.65, 11.35, -0.582, -2.986, -0.3384
1720526738066, 35.55, -11.8, 11.45, -0.578, -2.941, -0.3424
1720526738081, 35.5, -11.55, 11.85, -0.613, -2.928, -0.3504
1720526738128, 31.05, -11.2, 12.1, -0.528, -2.477, -0.3384
1720526738191, 4.35, -9.55, 14.9, -0.147, 1.22, -0.0264
1720526738253, 21.2, -11, 13.15, -0.212, -0.254, -0.0008
1720526738284, 7.05, -12.1, 14.6, -0.354, 1.105, 0.264
1720526738347, 31.25, -9.65, 10.25, 0.052, -1.417, -0.0032
1720526738394, 18.05, -6.55, 13, -0.131, 0.139, 0.06
1720526738425, 22.05, -6.8, 11.3, -0.168, -0.518, -0.0824
1720526738456, 18.45, -8.5, 12.5, -0.051, -0.099, -0.0648
1720526738487, 1.5, -8.7, 13.95, -0.072, 1.53, 0.0952
1720526738519, 4.65, -8.75, 14.1, -0.052, 1.287, -0.004
1720526738550, 14.3, -10, 11.85, -0.236, 0.286, 0.0208
1720526738597, 7.9, -8.75, 12.3, -0.021, 0.855, 0.012
1720526738628, 17.9, -10.15, 11.35, -0.103, 0, -0.1296
1720526738659, 17.1, -8.05, 11.15, -0.057, 0.018, -0.1464
1720526738691, 9.65, -7.15, 11, 0.149, 0.668, -0.0648
1720526738722, 14.55, -9.6, 10.1, -0.208, 0.174, -0.096
1720526738753, 13.9, -7.2, 10.6, 0.159, 0.378, -0.1168
1720526738784, 10.8, -10.1, 12.2, -0.223, 0.57, -0.0832
1720526738816, 15.05, -11.6, 9.15, -0.206, 0.183, -0.0688
1720526738878, 13.8, -14.45, 13, -0.626, 0.227, -0.112
1720526738956, 15.95, -11.85, 13.9, -0.428, 0.125, -0.0624
1720526739003, 10.15, -9.65, 10.75, -0.14, 0.644, -0.0064
1720526739050, 12.5, -8.05, 10.35, -0.043, 0.395, -0.0624
1720526739097, 9.15, -7.4, 10, 0.054, 0.709, -0.0408
1720526739128, 10.65, -7.2, 10.15, 0.022, 0.553, -0.0392
1720526739175, 10.15, -7.2, 9.5, 0.082, 0.603, -0.0656
1720526739206, 9.95, -7.15, 9.55, 0.041, 0.64, -0.04
1720526739237, 11.05, -7.1, 10.45, 0.064, 0.511, -0.036
1720526739269, 10.5, -7.15, 10.45, 0.04, 0.57, -0.0368
1720526739300, 10.05, -7.75, 10.5, -0.042, 0.651, -0.0416
1720526739331, 10.8, -7.4, 10.85, 0.049, 0.538, -0.0232
1720526739362, 10.6, -8.7, 10.5, -0.053, 0.539, -0.0336
1720526739394, 10.25, -8.1, 9.6, -0.166, 0.675, -0.1056
1720526739425, 9.8, -7.7, 10.15, -0.084, 0.71, -0.0792
1720526739456, 11.3, -7.1, 10.05, 0.047, 0.509, -0.0544
1720526739487, 9.4, -7.2, 9.3, -0.03, 0.725, -0.0696
1720526739519, 10.4, -8.65, 10.35, -0.15, 0.609, -0.0632
1720526739550, 11.05, -8.1, 10.6, -0.027, 0.5, -0.0248
1720526739581, 9.6, -5.2, 8.6, 0.271, 0.707, -0.1176
1720526739644, 10.55, -10.9, 10.95, -0.402, 0.656, -0.0256
1720526739706, 11.2, -7, 9.6, 0.065, 0.555, -0.1016
1720526739737, 10.15, -7.1, 9.8, 0.008, 0.668, -0.0832
1720526739769, 9.95, -6.6, 10.4, 0.2, 0.55, 0.0336
1720526739800, 10.45, -6.95, 9.15, 0.075, 0.633, -0.0696
1720526739831, 10, -6.3, 9.6, 0.152, 0.635, -0.0656
1720526739862, 10.1, -7.3, 9.5, 0.037, 0.625, -0.0816
1720526739894, 10.9, -7, 9.85, 0.075, 0.538, -0.0464
1720526739925, 10.05, -7.4, 9.45, 0.067, 0.618, -0.0616
1720526739956, 10.4, -7.35, 10.5, 0.006, 0.571, -0.036
1720526739987, 10.5, -7.15, 9.7, 0.06, 0.581, -0.064
1720526740019, 10.75, -7.4, 10.5, 0.005, 0.554, -0.0344
1720526740034, 10, -7.3, 10.15, 0.076, 0.62, -0.0704
1720526740066, 9.75, -5.35, 9.4, 0.244, 0.629, -0.0664
1720526740081, 12.05, -8.1, 11.85, -0.021, 0.552, -0.1536
1720526740128, 7.95, -6.15, 12.7, 0.104, 0.94, -0.0096
1720526740191, 10.15, -6.15, 12.1, 0.202, 0.629, -0.0568
1720526740237, 8.95, -8, 9.85, 0.034, 0.735, -0.0736
1720526740300, 0.85, -5.95, 11.9, 0.162, 1.744, -0.18
1720526740347, 12.85, -10, 11, -0.257, 0.369, -0.0528
1720526740394, 6.55, -7.1, 10.3, 0.112, 1.131, -0.0392
1720526740441, 9.25, -6.25, 9.8, 0.241, 0.812, -0.0976
1720526740472, 11.25, -8.65, 12.05, -0.121, 0.534, -0.0192
1720526740503, 8.7, -6.45, 9.9, 0.179, 0.807, -0.0424
1720526740534, 8.2, -8.3, 10.6, -0.041, 0.855, -0.0672
1720526740566, 11.4, -6.85, 11.45, 0.105, 0.572, -0.0656
1720526740597, 10.55, -8.1, 11.4, -0.077, 0.652, -0.0256
1720526740628, 8.5, -6.3, 10.5, 0.161, 0.823, -0.0776
1720526740659, 10.25, -7.85, 11.35, -0.006, 0.7, -0.0896
1720526740691, 10.45, -6.65, 10.6, 0.117, 0.682, -0.0624
1720526740722, 8.65, -7.3, 10.85, 0.053, 0.841, -0.0568
1720526740753, 10.15, -6.7, 11.15, 0.086, 0.699, -0.0608
1720526740784, 10.05, -7.05, 10.9, 0.034, 0.674, -0.0456
1720526740894, 9.65, -6.95, 10, 0.161, 0.714, -0.0624
1720526740925, 10.3, -7.15, 10.7, 0.102, 0.675, -0.0552
1720526740972, 10.55, -7.35, 10.2, 0.107, 0.663, -0.0744
1720526741003, 8.9, -7.2, 10.5, 0.014, 0.798, -0.0504
1720526741081, 10.05, -4.05, 9.85, 0.343, 0.661, -0.0776
1720526741112, 10.05, -7.75, 10.85, 0.005, 0.751, -0.104
1720526741159, 9.35, -8.25, 10.15, 0.012, 0.728, -0.0224
1720526741191, 9.5, -6.9, 10.45, 0.059, 0.727, -0.092
1720526741222, 6.35, -6.9, 10.85, 0, 1.233, -0.1464
1720526741253, 6.05, -6.95, 11.35, 0.124, 1.377, -0.036
1720526741284, 8.65, -6.55, 11.65, 0.258, 1.098, -0.0488
1720526741316, 9.4, -6.55, 11, 0.136, 0.971, -0.1968
1720526741347, 4.05, -5.5, 10.95, 0.475, 1.585, -0.2208
1720526741378, 6.2, -5.45, 9.9, 0.349, 1.287, -0.2192
1720526741409, 7.7, -6.5, 8.75, 0.168, 1.024, -0.06
1720526741441, 2.85, -5.75, 0.3, 0.317, 1.53, -0.148
1720526741472, 2, -11.85, 0.35, -0.478, 2.296, 0.1648
1720526741503, 12, -4, 12.95, 0.367, 0.901, 0.0936
1720526741534, 4.55, -9.05, 6.1, -0.255, 1.183, -0.044
1720526741566, 11.85, -7.75, 14.05, 0.021, 0.473, -0.0544
1720526741612, 8.45, -10.05, 9.45, -0.214, 0.817, -0.0288
1720526741675, 9.7, -7.35, 12.5, 0.048, 0.883, 0.0072
1720526741722, 5.8, -6.1, 11.6, 0.204, 1.496, 0.0264
1720526741769, 0.5, -6.25, 11.4, 0.165, 2.346, -0.0168
1720526741816, 2.45, -6.05, 9.35, 0.068, 2.17, -0.108
1720526741847, 0.75, -6.25, 10, 0.201, 2.143, -0.1128
1720526741909, 2.95, -8.15, 11.8, -0.09, 1.954, -0.084
1720526741956, 2.7, -7.6, 12.9, 0.059, 2.05, -0.1088
1720526742003, 3.75, -6.3, 14.7, 0.177, 2.03, -0.0936
1720526742050, 4.2, -7.4, 15.75, 0.047, 2.012, -0.1048
1720526742097, 4.5, -7.15, 14.75, 0.109, 1.953, -0.0992
1720526742128, 5.3, -6.85, 16.1, 0.077, 1.858, -0.0568
