UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1720599190561, -6.25, 15.15, 0.2, -0.128, -0.028, -0.0336
1720599190592, -6.35, 15.25, 0.15, -0.128, -0.027, -0.0256
1720599190623, -6.3, 15.15, 0.1, -0.129, -0.027, -0.0368
1720599190654, -6.25, 15.35, 0.15, -0.13, -0.028, -0.036
1720599190686, -6.15, 15.35, 0.2, -0.131, -0.027, -0.0344
1720599190717, -6.3, 15.2, 0.1, -0.129, -0.028, -0.0336
1720599190748, -6.3, 15.25, 0.15, -0.132, -0.027, -0.0296
1720599190779, -6.3, 15.25, 0.05, -0.13, -0.027, -0.0336
1720599190811, -6.15, 15.2, 0.15, -0.129, -0.027, -0.0304
1720599190842, -6.4, 15.2, 0.15, -0.132, -0.027, -0.0392
1720599190873, -6.25, 15.25, 0.15, -0.13, -0.027, -0.0304
1720599190904, -6.2, 15.25, 0.1, -0.129, -0.026, -0.0392
1720599190936, -6.25, 15.2, 0.1, -0.132, -0.027, -0.0352
1720599190967, -6.3, 15.2, 0.2, -0.129, -0.026, -0.032
1720599190998, -6.25, 15.3, 0.1, -0.129, -0.026, -0.0312
1720599191045, -6.3, 15.25, 0.1, -0.132, -0.026, -0.0296
1720599191076, -6.25, 15.1, 0, -0.129, -0.027, -0.0312
1720599191107, -6.25, 15.2, 0.2, -0.131, -0.026, -0.0368
1720599191139, -6.25, 15.2, 0.05, -0.13, -0.027, -0.0304
1720599191170, -6.45, 15.25, 0.15, -0.13, -0.028, -0.0368
1720599191201, -6.45, 15.35, 0.1, -0.131, -0.027, -0.0336
1720599191232, -6.25, 15.2, 0.2, -0.129, -0.026, -0.0328
1720599191279, -6.15, 15.15, 0.1, -0.132, -0.026, -0.0328
1720599191311, -6.3, 15.2, 0.15, -0.13, -0.027, -0.0304
1720599191342, -6.25, 15.3, 0.1, -0.129, -0.028, -0.0312
1720599191389, -6.4, 15.2, 0.05, -0.131, -0.026, -0.0328
1720599191420, -6.3, 15.2, 0.15, -0.129, -0.028, -0.036
1720599191451, -6.15, 15.25, 0.15, -0.13, -0.026, -0.0336
1720599191514, -6.25, 15.15, 0.15, -0.129, -0.027, -0.0296
1720599191545, -6.2, 15.35, 0.1, -0.13, -0.027, -0.032
1720599191592, -6.25, 15.15, 0.15, -0.128, -0.027, -0.036
1720599191639, -6.2, 15.3, 0.1, -0.133, -0.026, -0.0336
1720599191670, -6.25, 15.25, 0.2, -0.129, -0.028, -0.0304
1720599191701, -6.25, 15.25, 0.05, -0.13, -0.028, -0.0352
1720599191732, -6.15, 15.15, 0.2, -0.132, -0.025, -0.0304
1720599191764, -6.25, 15.25, 0.15, -0.129, -0.026, -0.0144
1720599191795, -5.85, 15.3, 0.15, -0.111, -0.027, 0.0904
1720599191826, -6.5, 15.25, 0.05, -0.153, -0.028, -0.1456
1720599191857, -6.3, 15.35, 0.25, -0.14, -0.027, -0.0592
1720599191889, -5.6, 15.6, 0.3, -0.11, -0.039, 0.0248
1720599191920, -6.85, 14.95, 0.1, -0.122, -0.038, -0.1576
1720599191951, -6.35, 14.95, 0.05, -0.151, -0.032, 0.0048
