UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722925207934, 15.5, -8.9, 12.35, -0.194, 0.125, -0.0888
1722925207949, 15.8, -8.8, 12.5, -0.207, 0.084, -0.068
1722925207965, 15.65, -8.6, 12.2, -0.176, 0.12, -0.084
1722925207981, 15.65, -8.6, 12.55, -0.169, 0.095, -0.0832
1722925207996, 15.7, -8.8, 12.4, -0.19, 0.094, -0.0752
1722925208028, 15.7, -9, 12.25, -0.203, 0.116, -0.0688
1722925208043, 15.75, -8.65, 12.5, -0.147, 0.091, -0.0848
1722925208059, 15.55, -8.6, 12.4, -0.184, 0.103, -0.0824
1722925208121, 15.75, -8.6, 12.45, -0.177, 0.095, -0.0904
1722925208153, 15.65, -8.85, 12.45, -0.185, 0.104, -0.0896
1722925208184, 15.55, -8.8, 12.3, -0.209, 0.111, -0.0664
1722925208215, 15.55, -8.65, 12.15, -0.156, 0.125, -0.0776
1722925208246, 15.5, -8.45, 12.45, -0.158, 0.119, -0.0616
1722925208278, 15.95, -7.85, 12.4, -0.102, 0.05, -0.0968
1722925208309, 16.1, -7.3, 13.35, -0.069, 0.037, -0.044
1722925208340, 15.1, -5.55, 12.6, 0.046, 0.152, -0.108
1722925208371, 15.75, -5.2, 12.65, 0.184, 0.053, -0.0704
1722925208403, 13.6, -3.5, 10.9, 0.262, 0.23, -0.0744
1722925208434, 15.9, -5.1, 12.5, 0.239, 0.115, -0.0736
1722925208465, 13.8, -3.6, 12.15, 0.079, 0.295, -0.1136
1722925208496, 15.7, -5.05, 11.9, 0.051, 0.185, 0.0224
1722925208528, 16.3, -6.1, 11.95, 0.094, 0.1, -0.1432
1722925208559, 15, -7, 11.75, -0.066, 0.164, -0.1488
1722925208590, 17.65, -10.55, 13, -0.366, -0.083, 0.0304
1722925208621, 16.75, -10.4, 12.2, -0.321, 0.049, -0.0232
1722925208653, 16.55, -12.45, 14.1, -0.452, 0.044, -0.0328
1722925208684, 16, -14.4, 14.75, -0.756, 0.062, -0.024
1722925208715, 18.55, -13.05, 14.85, -0.63, -0.203, 0.0032
1722925208746, 16.35, -11, 14.35, -0.452, 0.023, -0.0312
1722925208778, 16.7, -9.9, 13.35, -0.333, 0.005, -0.0672
1722925208824, 17.5, -8.4, 12.7, -0.166, -0.076, -0.0888
1722925208871, 16.25, -7.6, 12.45, -0.104, 0.069, -0.0912
1722925208918, 16.8, -7.55, 12.65, -0.094, 0.021, -0.084
1722925208981, 21.35, -8.9, 6.2, -0.231, -0.417, -0.048
1722925209012, 21.75, -7.8, 8.55, -0.084, -0.466, -0.072
1722925209043, 13.65, -4.85, 14.05, 0.094, 0.372, -0.0904
1722925209090, 13.9, -8.35, 15.4, -0.236, 0.16, -0.06
1722925209121, 16.25, -6.1, 9.7, 0.097, 0.065, -0.1376
1722925209153, 16.05, -7.85, 10.2, -0.199, 0.109, -0.0544
1722925209184, 17.05, -9.7, 11.45, -0.291, -0.03, -0.0936
1722925209215, 17.1, -7.75, 12.8, -0.047, -0.049, -0.0816
1722925209246, 16.65, -7.6, 14.95, -0.055, 0.018, -0.1368
1722925209278, 16.55, -8.1, 15.7, -0.033, 0.119, -0.1008
1722925209309, 16.4, -6.4, 15.95, 0.028, 0.011, -0.0608
1722925209340, 17.45, -9.85, 16.2, -0.348, -0.038, -0.0416
1722925209387, 16.35, -8.75, 16.5, -0.244, 0.072, -0.0872
1722925209418, 15.75, -6.05, 12.1, 0.081, 0.093, -0.1144
1722925209449, 17.45, -7.5, 8.05, -0.024, -0.026, -0.0784
1722925209481, 16.25, -7.35, 11.1, -0.108, 0.04, -0.0584
1722925209512, 15.55, -5.5, 11.3, 0.061, 0.164, -0.0896
1722925209543, 16.5, -7.45, 12.25, -0.031, -0.002, -0.0576
1722925209574, 16.55, -7.7, 12, -0.101, 0.031, -0.0712
1722925209606, 16.75, -7.4, 12.85, -0.078, 0.038, -0.0888
1722925209684, 16.4, -7.35, 12.7, -0.073, 0.037, -0.08
1722925209731, 16.65, -7.6, 12.45, -0.11, 0.005, -0.0752
1722925209746, 16.85, -7.75, 12.95, -0.09, 0, -0.088
1722925209778, 16.8, -7.8, 12.8, -0.091, -0.009, -0.0632
1722925209809, 16.6, -7.7, 12.5, -0.099, 0.028, -0.0816
1722925209840, 16.55, -7.5, 12.55, -0.108, 0.035, -0.0872
1722925209871, 16.8, -7.95, 12.6, -0.087, -0.002, -0.08
1722925209903, 16.7, -7.65, 12.55, -0.102, 0.014, -0.0784
1722925209934, 16.55, -7.6, 12.55, -0.116, 0.044, -0.0808
1722925209965, 16.65, -7.35, 12.65, -0.105, 0.016, -0.076
1722925209996, 16.7, -7.6, 12.5, -0.089, 0.016, -0.0848
1722925210028, 16.75, -7.55, 12.45, -0.105, 0.039, -0.072
1722925210059, 16.65, -7.55, 12.55, -0.085, 0.007, -0.0896
1722925210090, 16.6, -7.7, 12.55, -0.083, 0.019, -0.0824
1722925210121, 16.65, -7.6, 12.5, -0.072, 0.026, -0.0848
1722925210153, 16.6, -7.6, 12.5, -0.087, 0.025, -0.0776
1722925210184, 16.6, -7.55, 12.4, -0.09, 0.035, -0.0832
1722925210215, 16.7, -7.65, 12.35, -0.079, 0.038, -0.0832
1722925210262, 16.7, -7.65, 12.7, -0.101, 0.025, -0.0688
1722925210309, 16.6, -7.65, 12.55, -0.096, 0.031, -0.0712
1722925210356, 16.65, -7.5, 12.5, -0.119, 0.038, -0.084
1722925210387, 16.65, -7.5, 12.35, -0.09, 0.04, -0.0752
1722925210418, 16.6, -7.8, 12.6, -0.073, 0.008, -0.0792
1722925210449, 16.6, -7.7, 12.6, -0.064, 0.013, -0.0824
1722925210481, 16.65, -7.55, 12.75, -0.078, 0, -0.0864
1722925210528, 15.75, -7.15, 14.55, -0.013, 0.103, -0.0672
1722925210559, 16.05, -7.4, 17.8, -0.087, 0.168, -0.0344
1722925210574, 15.3, -7.8, 19.5, -0.129, 0.283, -0.0384
1722925210606, 15.1, -8.1, 16, -0.108, 0.181, -0.1008
1722925210653, 19.1, -9.7, 12.4, -0.249, -0.208, -0.0592
1722925210700, 18.2, -8.55, 7.05, -0.158, -0.144, -0.0544
1722925210731, 16.95, -7.8, 9.7, -0.099, -0.068, -0.0648
1722925210762, 17.8, -8.3, 11.2, -0.139, -0.052, -0.0832
1722925210793, 16.4, -5.2, 7.85, 0.139, 0.045, -0.1016
1722925210825, 22.6, -8.75, 6, -0.256, -0.581, -0.0544
1722925210856, 16.7, -6.65, 13.6, 0.076, -0.02, -0.1496
1722925210887, 14.55, -10.45, 15.6, -0.311, 0.175, -0.0784
1722925210918, 14.5, -8.45, 13.7, -0.145, 0.14, -0.1896
1722925210950, 17.75, -8.9, 12.15, -0.228, -0.088, -0.1296
1722925210981, 16.6, -7.6, 10.9, -0.069, 0.072, -0.1168
1722925211012, 15.3, -8.25, 15.15, -0.17, 0.17, -0.1432
1722925211043, 17.6, -9.05, 16.1, -0.246, -0.038, -0.064
1722925211075, 17.05, -5.5, 16.7, 0.021, -0.049, -0.1112
1722925211106, 16.7, -8.8, 14.5, -0.145, 0.027, -0.0984
1722925211137, 15.4, -8.1, 14.65, -0.17, 0.134, -0.1
1722925211168, 15.9, -6.5, 16.5, 0.042, 0.105, -0.0896
1722925211215, 17.45, -8.55, 10.3, -0.104, -0.068, -0.0808
1722925211246, 17.1, -8.6, 8.75, -0.207, -0.09, -0.0464
1722925211278, 18.15, -7.7, 13.15, -0.133, -0.122, -0.064
1722925211309, 17.45, -7.55, 13, -0.083, -0.067, -0.0688
1722925211340, 16.7, -8.75, 12.3, -0.196, 0.008, -0.0672
1722925211387, 17, -7.5, 13, -0.085, -0.022, -0.0776
1722925211418, 16.95, -7.95, 12.65, -0.111, -0.012, -0.0936
1722925211465, 16.65, -7.5, 12.85, -0.068, 0.002, -0.0912
1722925211496, 16.85, -7.6, 12.25, -0.11, 0.038, -0.0752
1722925211528, 16.35, -7.75, 12.45, -0.091, 0.039, -0.088
1722925211559, 16.35, -7.55, 12.65, -0.067, 0.045, -0.0736
1722925211590, 17, -7.65, 12.55, -0.116, 0.019, -0.0808
1722925211621, 16.4, -7.6, 12.7, -0.095, 0.026, -0.084
