UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1720525491756, -6.2, 15.3, 0.25, -0.135, -0.027, -0.0368
1720525491771, -6.05, 15.3, 0.15, -0.132, -0.027, -0.0256
1720525491803, -6.2, 15.3, 0.1, -0.121, -0.028, -0.0296
1720525491834, -6.15, 15.45, 0.2, -0.133, -0.027, -0.0408
1720525491865, -6.25, 15.35, 0.2, -0.128, -0.028, -0.044
1720525491896, -6.3, 15.25, 0.15, -0.119, -0.026, -0.0256
1720525491928, -6.2, 15.35, 0.2, -0.134, -0.026, -0.0296
1720525491959, -6.15, 15.15, 0.15, -0.123, -0.026, -0.0232
1720525491975, -6.35, 15.15, 0.1, -0.121, -0.028, -0.0432
1720525492006, -6.2, 15.35, 0.15, -0.133, -0.026, -0.0264
1720525492021, -6.2, 15.25, 0.2, -0.135, -0.027, -0.0352
1720525492053, -6.2, 15.4, 0.2, -0.124, -0.028, -0.0424
1720525492084, -6.1, 15.35, 0.25, -0.126, -0.027, -0.0272
1720525492115, -6.1, 15.35, 0.15, -0.133, -0.026, -0.0248
1720525492146, -6.2, 15.3, 0.15, -0.12, -0.026, -0.0312
1720525492178, -6.2, 15.2, 0.25, -0.133, -0.027, -0.0232
1720525492209, -6.25, 15.4, 0.15, -0.132, -0.027, -0.0384
1720525492256, -6.25, 15.25, 0.1, -0.123, -0.028, -0.0344
1720525492318, -6.25, 15.2, 0.25, -0.121, -0.027, -0.0416
1720525492365, -6.2, 15.45, 0.1, -0.138, -0.026, -0.0352
1720525492396, -6.35, 15.2, 0.15, -0.123, -0.027, -0.0288
1720525492428, -6.35, 15.15, 0.15, -0.121, -0.027, -0.036
1720525492459, -6.2, 15.3, 0.2, -0.138, -0.028, -0.0272
1720525492490, -6.15, 15.3, 0.25, -0.12, -0.027, -0.0312
1720525492521, -6.15, 15.25, 0.15, -0.129, -0.027, -0.0304
1720525492553, -6.2, 15.35, 0.2, -0.134, -0.027, -0.0328
1720525492584, -6.35, 15.3, 0.15, -0.121, -0.027, -0.036
1720525492615, -6.3, 15.35, 0.2, -0.131, -0.027, -0.032
1720525492646, -6.25, 15.4, 0.15, -0.13, -0.027, -0.0384
1720525492678, -6.35, 15.4, 0.15, -0.12, -0.026, -0.0296
1720525492709, -6.2, 15.25, 0.2, -0.136, -0.026, -0.0288
1720525492740, -6.25, 15.3, 0.25, -0.128, -0.027, -0.0336
1720525492771, -6.2, 15.25, 0.2, -0.123, -0.027, -0.032
1720525492803, -6.25, 15.35, 0.2, -0.136, -0.027, -0.0416
1720525492834, -6.2, 15.35, 0.15, -0.126, -0.027, -0.0352
1720525492865, -6.25, 15.5, 0.2, -0.125, -0.028, -0.0272
1720525492896, -5.85, 15.4, 0.3, -0.158, -0.023, 0.0968
1720525492928, -7.05, 15.35, -0.05, -0.005, -0.033, -0.1976
1720525492959, -5.55, 15.55, 0.35, -0.186, -0.011, 0.1752
1720525492990, -6.45, 15.6, 0.7, -0.232, -0.021, -0.2512
1720525493021, -6.75, 16.6, 0.2, -0.025, -0.033, -0.3992
1720525493053, -6.6, 15.2, 0.15, -0.141, -0.036, -0.2152
1720525493084, -6.5, 15.35, 0.5, -0.269, -0.031, -0.0888
1720525493115, -5.1, 15.3, -0.2, 0.042, -0.028, 0.3376
1720525493146, -6.45, 15.35, 0.55, -0.224, -0.032, -0.0792
1720525493178, -6.95, 15.2, 0.3, -0.135, -0.019, -0.1888
1720525493209, -6.15, 15.5, -0.1, -0.01, -0.028, -0.1224
1720525493240, -5.75, 15.95, 0.35, -0.232, -0.031, 0.1648
1720525493271, -7.05, 15.1, 0.1, -0.076, -0.029, -0.348
1720525493303, -5.25, 15.25, 0.05, -0.115, -0.021, 0.2912
1720525493334, -7.1, 15.55, 0.5, -0.223, -0.033, -0.3392
1720525493365, -5.6, 15.2, 0, -0.05, -0.02, 0.2184
1720525493396, -6.25, 15.2, 0, -0.087, -0.023, 0.0544
1720525493428, -5.65, 15.4, 0.35, -0.208, -0.018, 0.1608
1720525493459, -6.45, 15.15, 0, -0.036, -0.024, -0.1432
1720525493490, -6.05, 15.2, 0.45, -0.178, -0.031, 0.0496
1720525493521, -6.65, 15.25, 0.15, -0.101, -0.031, -0.184
1720525493553, -5.95, 15.2, 0, -0.044, -0.025, 0.0648
1720525493584, -6.3, 15.65, 0.55, -0.236, -0.03, -0.0736
1720525493615, -6.3, 15.2, 0.1, -0.094, -0.021, -0.0656
1720525493646, -6.45, 15.2, 0.1, -0.096, -0.021, -0.1464
1720525493678, -5.95, 15.5, 0.45, -0.253, -0.026, 0.0544
1720525493709, -6.05, 15.3, -0.05, -0.048, -0.021, 0.0424
1720525493740, -6.5, 15.2, 0.1, -0.088, -0.029, -0.0848
1720525493771, -5.95, 15.55, 0.55, -0.257, -0.024, 0.0688
1720525493803, -6.25, 15.3, 0, -0.036, -0.028, -0.0992
1720525493850, -6.35, 15.2, 0.4, -0.225, -0.026, -0.096
1720525493865, -5.9, 15.15, 0.05, -0.136, -0.027, -0.004
1720525493896, -6.15, 15.25, -0.05, -0.016, -0.026, 0.0184
1720525493928, -6.45, 15.4, 0.5, -0.222, -0.027, -0.0904
1720525493959, -5.95, 15.35, 0.2, -0.118, -0.03, 0.024
1720525494006, -6.4, 15.25, 0.4, -0.18, -0.021, -0.056
1720525494037, -6.2, 15.35, 0.3, -0.17, -0.027, -0.0056
1720525494053, -6.2, 15.4, -0.1, -0.045, -0.031, -0.0512
1720525494084, -6.15, 15.4, 0.05, -0.129, -0.027, 0.0008
1720525494115, -6.1, 15.55, 0.5, -0.228, -0.026, 0.0024
1720525494146, -6.35, 15.3, 0, -0.073, -0.023, -0.0808
1720525494178, -6.35, 15.45, 0.2, -0.126, -0.024, -0.0208
1720525494209, -6.35, 15.35, 0.35, -0.212, -0.031, -0.0592
1720525494240, -6.1, 15.3, -0.05, -0.026, -0.027, -0.0296
1720525494287, -6.3, 15.45, 0.55, -0.226, -0.028, -0.0608
1720525494318, -6.15, 15.2, 0, -0.065, -0.029, -0.0168
1720525494350, -6.3, 15.35, 0.15, -0.114, -0.023, -0.0456
1720525494381, -6.25, 15.35, 0.3, -0.2, -0.024, 0.0008
1720525494412, -6.25, 15.25, -0.05, -0.034, -0.028, -0.032
1720525494443, -6.2, 15.2, 0.3, -0.159, -0.023, -0.0384
1720525494475, -6.3, 15.2, 0.1, -0.141, -0.025, -0.0624
1720525494506, -5.75, 15.2, 0.4, -0.149, 0.079, 0.1176
1720525494537, -7.1, 16.3, 3.7, -1.195, 0.068, -0.216
1720525494568, -5.95, 15.15, -0.3, 0.089, 0.012, 0.0704
1720525494600, -5.95, 15.6, 1.35, -0.483, 0.03, 0.0128
1720525494631, -6.75, 16.45, 3.45, -1.113, 0.066, -0.116
1720525494662, -6.2, 15.05, -0.75, 0.236, -0.003, -0.0232
1720525494771, -1.75, 15.6, 2, -0.665, -0.059, 1.3824
1720525494803, -5.5, 17.2, 6.75, -2.111, -0.085, 0.2736
1720525494834, -4.3, 15.75, 1.8, -0.601, 0, 0.7032
1720525494865, -6.65, 16.35, 2.4, -0.727, -0.094, -0.1776
1720525494896, -5.35, 17.45, 4.85, -1.514, 0, 0.3904
1720525494928, -7.05, 18.6, 1.05, -0.223, 0.019, -0.336
1720525494959, -5.7, 18.8, 5.65, -1.66, -0.015, 0.3112
1720525494990, -6.9, 17.9, 4.5, -1.277, -0.017, -0.172
1720525495021, -6.4, 16.35, 0, 0.181, -0.003, -0.048
1720525495053, -6.45, 17.15, 3.85, -1.126, -0.056, 0.0152
1720525495068, -6.45, 16.65, 3.1, -0.97, -0.016, -0.0696
1720525495115, -5.9, 14.8, -1.35, 0.446, -0.08, 0.0848
1720525495146, -6.35, 16.35, 3.4, -1.076, -0.053, -0.0288
1720525495178, -5.9, 15.2, -0.35, 0.097, 0.002, 0.0576
1720525495240, -6.15, 16.2, 3.65, -1.121, -0.041, 0.1264
