UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1720599447029, 16.2, -10.25, 11.9, -0.196, 0.078, -0.048
1720599447044, 16, -10.05, 11.9, -0.211, 0.083, -0.056
1720599447060, 16, -9.85, 11.85, -0.186, 0.094, -0.044
1720599447076, 16.6, -9.9, 11.85, -0.179, 0.06, -0.0368
1720599447091, 16.3, -10.15, 11.85, -0.188, 0.096, -0.0512
1720599447107, 16.25, -10.1, 12, -0.19, 0.097, -0.0688
1720599447122, 16.3, -10.05, 12, -0.184, 0.088, -0.0408
1720599447138, 16.35, -10, 11.7, -0.19, 0.089, -0.0528
1720599447154, 16.3, -10.05, 11.85, -0.188, 0.075, -0.0536
1720599447169, 16.35, -10.1, 11.8, -0.182, 0.096, -0.0432
1720599447232, 16.2, -9.95, 11.9, -0.181, 0.097, -0.0392
1720599447263, 16.2, -9.9, 11.9, -0.18, 0.096, -0.036
1720599447294, 16.25, -10, 11.85, -0.188, 0.094, -0.0576
1720599447326, 16.25, -10, 11.75, -0.174, 0.093, -0.0624
1720599447357, 16.4, -9.95, 11.8, -0.192, 0.069, -0.0408
1720599447388, 16.1, -9.6, 12, -0.123, 0.099, -0.0424
1720599447419, 16.6, -8.85, 11.5, -0.09, 0.05, -0.0488
1720599447451, 16.95, -8.65, 13, -0.077, 0.038, -0.0688
1720599447482, 14.8, -6.05, 10.6, 0.246, 0.267, -0.0808
1720599447513, 16.2, -6, 11.5, 0.203, 0.137, -0.0752
1720599447544, 14.5, -5.1, 10.3, 0.257, 0.174, -0.08
1720599447576, 16.4, -6.35, 12.85, 0.227, 0.026, -0.0184
1720599447607, 16.15, -6.1, 12.5, 0.124, -0.002, -0.1032
1720599447638, 17.95, -8.7, 12.7, -0.084, -0.068, -0.0104
1720599447669, 17.5, -7.5, 12.1, -0.005, 0.046, 0.0696
1720599447701, 17, -8.85, 12.4, -0.043, 0.044, -0.0624
1720599447732, 17.3, -11.3, 10.85, -0.324, 0.106, -0.0928
1720599447763, 16.75, -11.35, 13.7, -0.428, 0.026, -0.0624
1720599447794, 16.55, -13.6, 12, -0.437, 0.192, 0.0008
1720599447857, 18.05, -15.05, 13.6, -0.678, -0.111, -0.0472
1720599447904, 17.25, -11.6, 12.1, -0.37, 0.021, -0.0912
1720599447966, 16.8, -8.85, 12.75, -0.091, 0.041, -0.06
1720599447997, 17.1, -9.4, 12.2, -0.134, 0.011, -0.0456
1720599448029, 17.2, -8.8, 11.65, -0.063, -0.001, -0.0464
1720599448060, 16.75, -8.35, 11.65, -0.036, 0.061, -0.0528
1720599448107, 21.6, -8, 4.95, -0.071, -0.425, -0.0968
1720599448154, 15.15, -7.6, 15.4, 0.019, 0.202, -0.0176
1720599448185, 12.8, -7.85, 12.8, 0.01, 0.335, -0.0568
1720599448216, 16.4, -9.95, 13.15, -0.33, 0.059, -0.0808
1720599448247, 17.45, -8.65, 8.95, -0.05, -0.035, -0.048
1720599448279, 17.05, -9.75, 9.85, -0.031, 0.074, -0.0232
1720599448326, 19.15, -11.6, 13.6, -0.364, -0.234, -0.0464
1720599448357, 17.3, -9.05, 15.45, -0.143, -0.012, -0.06
1720599448388, 17.3, -9.5, 15.4, -0.236, -0.009, -0.0736
1720599448419, 15.85, -6.15, 9, 0.28, 0.221, -0.0672
1720599448451, 11.3, 2.4, -17.6, 2.001, 1.164, -0.0728
1720599448482, 14.05, -4.6, -10.55, 0.96, 0.698, -0.244
1720599448513, 17.55, -13.45, 13.5, -0.749, -0.083, -0.1128
1720599448544, 17.45, -17.1, 11.45, -1.174, 0.023, -0.0832
1720599448576, 16.45, -15.75, 8.5, -1.19, 0.213, -0.1224
1720599448607, 15.45, -16.45, 8.7, -1.441, 0.223, -0.1736
1720599448638, 15.45, -16.9, 8.95, -1.465, 0.254, -0.176
1720599448669, 16.35, -17.95, 10.15, -1.618, 0.173, -0.1816
1720599448701, 16.5, -18.25, 10.35, -1.666, 0.164, -0.1504
1720599448763, 17.6, -21.15, 13.4, -2.076, -0.041, -0.12
1720599448826, 18.65, -28.6, 9.8, -3, -0.252, 0.0736
1720599448857, 17, -25, 6.2, -2.561, -0.019, -0.0664
1720599448888, 15.45, -14.8, 2.5, -1.116, 0.353, -0.068
1720599448919, 16.2, -8.1, 8.65, -0.34, 0.172, -0.0296
1720599448951, 15.65, -11.95, 7.5, -0.591, 0.122, 0.0392
1720599448982, 16.5, -11.55, 10.9, -0.64, 0.239, 0.064
1720599449029, 16.5, -11.55, 9.95, -0.619, 0.32, -0.036
1720599449060, 15.85, -15.05, 7.95, -0.94, 0.357, -0.032
1720599449076, 13.15, -14.9, 2.55, -0.922, 0.608, -0.012
1720599449107, 13, -13, 1.15, -0.76, 0.764, 0.0208
1720599449138, 12.3, -9.45, -0.85, -0.241, 0.935, -0.0512
1720599449169, 13, -8.6, 4.6, -0.209, 0.809, -0.0152
1720599449201, 12.55, -8.65, 6.25, -0.252, 0.866, 0.028
1720599449232, 12.35, -16.3, 0.9, -1.07, 0.89, 0.0528
1720599449263, 11.8, -9, 8.25, -0.413, 0.973, 0.112
1720599449294, 11.15, -9.25, 10.2, -0.646, 1.047, 0.0912
1720599449326, 11.45, -14.2, 7.65, -1.136, 0.969, 0.1536
1720599449357, 12.25, -7.45, 10.65, -0.465, 0.918, 0.1744
1720599449388, 14.65, -9.95, 10.8, -0.526, 0.627, 0.0456
1720599449419, 16.6, -6.8, 16.45, -0.197, 0.217, -0.0704
1720599449466, 20.5, -3.55, 20.05, 0.089, -0.415, -0.2232
1720599449513, 17.8, -8.25, 16.95, -0.231, -0.159, -0.1704
1720599449544, 16.55, -8.15, 12.25, 0.118, -0.009, -0.0104
1720599449560, 19.25, -10.6, 9.75, -0.257, -0.077, 0.0232
1720599449591, 19.55, -13.7, 6.5, -0.364, -0.15, -0.0896
1720599449622, 16.9, -14.45, 6.65, -0.738, 0.001, 0.104
1720599449654, 18.45, -14.15, 5.5, -0.658, -0.118, 0.072
1720599449685, 17.4, -12.05, 7.4, -0.312, 0, 0.0008
1720599449716, 16.95, -11.4, 9.45, -0.273, 0.022, -0.024
1720599449747, 18.5, -9.8, 9.5, -0.122, -0.199, -0.0344
1720599449779, 20.2, -9.3, 12.6, -0.179, -0.46, -0.0384
1720599449810, 20.7, -9.3, 14.1, -0.135, -0.479, -0.0368
1720599449857, 20.9, -9.6, 14.95, -0.37, -0.459, 0.124
1720599449888, 25.05, -12.65, 8.4, -0.552, -0.84, 0.0112
1720599449919, 7.7, -0.15, 15.65, 0.846, 0.578, -0.0192
1720599449951, 16.05, -10.95, 9.05, -0.371, 0.238, 0.076
1720599449982, 19.2, -4.8, 13.1, 0.353, -0.232, -0.2784
1720599450013, 24.95, -5.55, 13.3, 0.099, -0.744, -0.0928
1720599450044, 24, -2, 11.05, 0.44, -0.598, -0.0968
1720599450076, 25.2, -0.5, 11.95, 0.853, -0.765, -0.0672
1720599450107, 24.9, -3.05, 12.2, 0.537, -0.848, -0.112
1720599450138, 13.6, -15.15, 12.45, -0.519, 0.307, 0.0344
1720599450169, 8.05, -18.75, 13.7, -1.013, 0.822, 0.0112
1720599450201, 11.7, -15.55, 13.4, -0.766, 0.365, -0.0032
1720599450232, 19.2, -14.45, 11, -0.559, -0.335, 0.0032
1720599450263, 19, -15.6, 10.95, -0.71, -0.326, 0.0528
1720599450294, 16.55, -14, 11, -0.626, -0.048, 0.0056
1720599450326, 18.1, -4.55, 12.4, 0.218, -0.249, 0.0048
1720599450357, 18.95, -3.1, 13.65, 0.509, -0.275, -0.1104
1720599450388, 17.5, -10.95, 12.05, -0.138, -0.21, -0.1328
1720599450419, 20.7, -12.05, 11.8, -0.474, -0.492, -0.0592
1720599450451, 21.2, -12.35, 14.05, -0.695, -0.664, -0.3152
1720599450482, 19.6, -10.95, 10.4, -0.778, -0.686, -0.3176
1720599450513, 19.6, -4.75, 11.5, 0.213, -0.538, -0.168
1720599450560, 19.7, -8.8, 8.35, -0.113, -0.532, -0.1032
1720599450591, 19.3, -8.25, 7.1, 0.101, -0.381, -0.0696
1720599450622, 20.75, -9.15, 4.3, -0.137, -0.414, -0.0008
1720599450669, 21.55, -9.55, 7.7, -0.192, -0.63, -0.068
1720599450701, 20.4, -8.15, 12.15, -0.076, -0.45, -0.0568
1720599450732, 19.1, -8.95, 11.25, -0.082, -0.4, -0.0952
1720599450747, 18.3, -8.95, 13.5, -0.025, -0.16, -0.0472
1720599450794, 18.6, -9.55, 17.5, -0.137, -0.227, -0.0272
1720599450826, 18.4, -8.85, 12.4, -0.006, -0.143, -0.0928
1720599450857, 17.45, -11.1, 14.3, -0.339, -0.112, -0.044
1720599450888, 20.5, -8.85, 11.65, -0.002, -0.336, 0.0248
1720599450919, 23.5, -9.25, 10.65, -0.087, -0.69, -0.0776
1720599450966, 16.5, -8.2, 12.85, 0.109, -0.01, -0.0872
1720599450997, 14.25, -9.6, 13.35, -0.001, 0.081, -0.0768
1720599451029, 17.6, -8.7, 13.15, -0.048, -0.357, -0.0456
1720599451060, 20.4, -6.95, 15.05, 0.131, -0.708, -0.0624
1720599451138, 23.2, -10.25, 14.85, -0.138, -1.086, -0.0232
1720599451201, 22.7, -7.45, 17.15, 0.114, -1.232, -0.0232
1720599451247, 23.5, -10.3, 16.4, -0.116, -1.327, -0.0096
1720599451279, 21.9, -11.8, 17.4, -0.42, -1.133, -0.1968
1720599451310, 22.85, -10.5, 17, -0.369, -1.218, -0.2224
1720599451341, 22.65, -10.1, 15.85, -0.369, -1.109, -0.236
1720599451357, 21.85, -10.55, 16.4, -0.371, -1.099, -0.1936
1720599451388, 21.9, -10.9, 16.85, -0.308, -1.115, -0.1368
1720599451419, 22.5, -9.1, 16.3, -0.04, -1.157, -0.0456
1720599451451, 22.05, -9.3, 16.75, -0.027, -1.076, -0.0208
1720599451482, 21.95, -8.8, 16.75, 0.024, -1.113, -0.0144
1720599451513, 22.5, -8.55, 16.9, 0.038, -1.153, -0.0192
1720599451544, 21.85, -8.6, 16.7, 0.046, -1.073, 0
1720599451576, 21.9, -8.75, 16.55, 0.055, -1.1, -0.0024
1720599451622, 22.15, -8.55, 16.55, 0.046, -1.123, -0.012
1720599451669, 22.4, -8.55, 16.15, 0.029, -1.188, -0.0312
1720599451716, 21.85, -7.75, 15.75, 0.218, -1.184, 0.0432
1720599451794, 22.1, -8.8, 16.4, 0.103, -1.113, 0.108
1720599451826, 22.85, -7.15, 17.35, 0.28, -1.109, 0.0952
1720599451857, 23.85, -8.2, 17.55, 0.118, -1.185, 0.0776
1720599451888, 24.6, -7.4, 17.25, 0.313, -1.27, 0.092
1720599451935, 23.75, -7.7, 17.15, 0.229, -1.221, 0.148
1720599451966, 22.1, -8, 18.25, 0.224, -1.064, 0.0552
1720599451982, 20.25, -9.15, 19.25, 0.056, -0.879, 0.0368
1720599452013, 19.35, -9.9, 18.1, -0.066, -0.776, -0.048
1720599452044, 21.7, -7.8, 15, -0.018, -0.835, -0.052
1720599452091, 22.7, -8.6, 12.25, 0.008, -0.872, -0.064
1720599452122, 19.35, -9.3, 13.2, -0.134, -0.47, -0.0952
1720599452169, 21.15, -9.2, 13.3, -0.166, -0.584, -0.0904
1720599452201, 19.75, -9.25, 13.85, -0.117, -0.457, -0.0672
1720599452232, 19.4, -9.4, 13.55, -0.138, -0.441, -0.0824
1720599452263, 20.65, -9.15, 13.45, -0.132, -0.5, -0.0792
1720599452294, 21.25, -8.8, 13.45, -0.082, -0.531, -0.096
1720599452326, 21.8, -9, 13.7, -0.088, -0.696, -0.0552
1720599452388, 20.9, -9.2, 15.45, -0.08, -0.823, -0.06
1720599452435, 23.85, -8.6, 13.85, 0.033, -1.054, -0.0416
1720599452482, 23.8, -7.8, 11.85, 0.121, -1.018, -0.0888
1720599452529, 24, -8.4, 11.7, 0.012, -1.024, 0.0304
1720599452576, 24.5, -7.95, 10.05, 0.081, -1.187, 0.052
1720599452622, 28.85, -8.7, 9.75, 0, -1.636, -0.016
1720599452669, 29.65, -10.6, 9.9, -0.38, -1.689, -0.2424
1720599452701, 33.2, -10.1, 9.6, -0.408, -2.286, -0.3616
1720599452747, 34.2, -12.05, 9.15, -0.627, -2.716, -0.416
1720599452779, 36.95, -11.05, 9.25, -0.616, -3.03, -0.5856
1720599452810, 34.65, -12.7, 10.6, -0.709, -2.739, -0.544
1720599452841, 32.4, -12.55, 11.75, -0.741, -2.501, -0.7384
1720599452872, 30.65, -12.3, 13.05, -0.628, -2.058, -0.4912
1720599452919, 27.85, -9.25, 12.2, -0.012, -1.825, -0.1512
1720599452966, 25.4, -6.1, 12.35, 0.334, -1.341, 0.2992
1720599452997, 25.1, -8.55, 11.4, 0.084, -1.329, 0.2416
1720599453029, 24.95, -6.55, 12.85, 0.288, -1.205, 0.2144
1720599453060, 24.65, -8.65, 12.25, 0.028, -1.236, 0.1912
1720599453091, 27.3, -12.85, 13.25, -0.667, -1.491, -0.1496
1720599453122, 28.5, -14.5, 10.45, -0.939, -1.789, -0.1344
1720599453201, 39.1, -14.15, 10.15, -0.952, -3.438, -0.5896
1720599453263, 37.55, -12, 10.95, -0.685, -3.213, -0.4672
1720599453294, 38.15, -12.45, 10.9, -0.703, -3.314, -0.436
1720599453341, 36.7, -12.3, 11.4, -0.689, -3.136, -0.4392
1720599453372, 38.45, -12.25, 10.9, -0.629, -3.331, -0.3512
1720599453404, 37.05, -12.2, 11.3, -0.648, -3.16, -0.3352
1720599453435, 37.1, -11.95, 11.3, -0.649, -3.183, -0.3904
1720599453466, 37.95, -12.1, 11.15, -0.634, -3.234, -0.328
1720599453497, 37, -11.95, 11, -0.589, -3.174, -0.3312
1720599453529, 37.6, -11.75, 11.35, -0.615, -3.232, -0.3832
1720599453560, 37.95, -11.8, 11.15, -0.603, -3.234, -0.3384
1720599453591, 36.8, -11.75, 11.2, -0.571, -3.19, -0.3712
1720599453654, 37.55, -11.65, 11.45, -0.589, -3.225, -0.3176
1720599453732, 37.65, -11.6, 11.05, -0.572, -3.198, -0.3056
1720599453779, 36.75, -11.6, 11.3, -0.586, -3.126, -0.324
1720599453857, 34.65, -11.45, 11.3, -0.524, -3.003, -0.3496
1720599453888, 8.4, -8.9, 12.7, -0.095, 0.59, 0.0256
1720599453919, 8.35, -10.4, 14.3, -0.142, 0.802, -0.0448
1720599453951, 25.45, -10.7, 10.95, -0.215, -0.816, -0.0808
1720599453997, 13.35, -12.15, 15.4, -0.323, 0.338, -0.0208
1720599454044, 4.3, -15.2, 15.3, -0.615, 1.272, -0.0456
1720599454076, 19.7, -12.1, 15.75, -0.573, -0.379, -0.1304
1720599454107, 19.25, -10.75, 12.75, -0.28, -0.444, -0.1848
1720599454138, 17.3, -6.9, 8.4, 0.232, 0.191, -0.1984
1720599454169, 29.5, -6.05, 9.65, 0.202, -1.055, 0.1808
1720599454201, 23.6, -6.35, 9.5, 0.254, -0.61, -0.0416
1720599454232, 10.5, -8.15, 12.1, 0.065, 0.658, -0.0432
1720599454263, 10.85, -9.2, 13.65, -0.194, 0.594, -0.0064
1720599454310, 4.9, -10.65, 12.35, -0.261, 1.208, -0.0272
1720599454341, 9.9, -8.45, 12.35, -0.014, 0.586, -0.06
1720599454372, 15.9, -9.75, 11.9, -0.213, 0.079, 0.0416
1720599454404, 11.1, -7.9, 10.6, 0.053, 0.418, -0.056
1720599454482, 13.15, -10.75, 11.8, -0.336, 0.275, -0.0712
1720599454529, 12.15, -8.3, 8.95, 0.124, 0.551, -0.1696
1720599454560, 14.95, -9.65, 12.4, -0.417, 0.138, -0.2216
1720599454591, 13.65, -10.85, 12, -0.431, 0.145, -0.108
1720599454638, 15.05, -11.7, 12.1, -0.466, 0.122, -0.1448
1720599454669, 16.4, -12.35, 12.3, -0.264, 0.092, -0.0304
1720599454701, 14.25, -12.8, 9.9, -0.261, 0.243, -0.1168
1720599454732, 13.6, -12.25, 12.95, -0.395, 0.121, -0.04
1720599454794, 11.15, -9.3, 10.7, -0.172, 0.489, -0.0288
1720599454841, 10.8, -7.15, 9.95, 0.122, 0.515, -0.0568
1720599454888, 10.15, -7.75, 9.35, 0.044, 0.582, -0.0696
1720599454935, 10.05, -7.1, 10, 0.089, 0.569, -0.0368
1720599454997, 9.6, -8.1, 9.3, -0.101, 0.728, -0.0864
1720599455044, 9.45, -9.1, 10.2, -0.175, 0.72, -0.08
1720599455091, 10.75, -8.6, 10.2, -0.06, 0.473, -0.024
1720599455122, 9.7, -6.85, 9.05, 0.168, 0.62, -0.0752
1720599455169, 10.5, -7.7, 9.3, 0.075, 0.527, -0.032
1720599455216, 9.15, -7.4, 8.9, 0.079, 0.722, -0.1048
1720599455263, 11.25, -7.8, 9.85, 0.032, 0.402, -0.0448
1720599455326, 10, -10.95, 11.1, -0.397, 0.679, -0.0448
1720599455357, 10.35, -7.15, 9.35, 0.158, 0.541, -0.0688
1720599455404, 9.8, -6.05, 9.1, 0.31, 0.568, -0.0192
1720599455435, 10.1, -8.2, 9.35, -0.138, 0.669, -0.0872
1720599455466, 10.4, -6.3, 8.85, 0.297, 0.462, -0.0488
1720599455497, 10.05, -6.85, 9.4, 0.155, 0.574, -0.0464
1720599455529, 10.35, -7.4, 9.75, 0.009, 0.579, -0.0552
1720599455560, 10.2, -7.9, 9.45, 0.018, 0.562, -0.0568
1720599455607, 10.3, -7.8, 10.25, -0.014, 0.592, -0.048
1720599455638, 10.1, -7.4, 9.5, 0.05, 0.607, -0.0696
1720599455669, 10.5, -7.2, 9.7, 0.087, 0.534, -0.0488
1720599455763, 11.2, -7.35, 11.25, 0.022, 0.551, -0.0392
1720599455810, 8.55, -6.4, 10.1, 0.213, 0.712, -0.0864
1720599455841, 11.8, -8.6, 8.8, -0.054, 0.47, -0.0696
1720599455872, 9.85, -6.1, 12.4, 0.193, 0.736, -0.0496
1720599455904, 7.55, -8.45, 9.8, -0.043, 0.826, -0.0448
1720599455951, 14.35, -7.5, 11.6, 0.181, 1.419, -0.1544
1720599455982, 6.4, -4.2, 10.4, 0.47, 0.913, -0.0088
1720599456013, 13.65, -7.6, 10.5, 0.052, 0.261, -0.0272
1720599456044, 10.35, -7.8, 11.4, -0.013, 0.614, -0.0864
1720599456076, 6.05, -7.35, 10.85, 0.071, 1.028, -0.0512
1720599456107, 9.8, -7.65, 9.5, 0.101, 0.588, -0.0672
1720599456138, 10.95, -7.2, 11.45, 0.091, 0.562, -0.0656
1720599456169, 7.8, -7.5, 10, 0.014, 0.888, -0.0544
1720599456216, 10.65, -6.7, 11.45, 0.134, 0.565, -0.0792
1720599456263, 9.4, -7.15, 10.2, 0.126, 0.707, -0.0768
1720599456310, 9, -6.8, 10.3, 0.141, 0.754, -0.032
1720599456357, 9.65, -7.15, 10.55, 0.117, 0.722, -0.0688
1720599456388, 8.95, -7.45, 9.85, 0.067, 0.77, -0.0768
1720599456419, 9.7, -7.35, 11.3, 0.035, 0.683, -0.0448
1720599456451, 10.15, -7.65, 10.7, 0.051, 0.635, -0.0512
1720599456497, 9.2, -7.25, 10.05, 0.089, 0.783, -0.0808
1720599456529, 10.15, -7.4, 11, 0.03, 0.626, -0.044
1720599456560, 9.9, -7.4, 10.6, 0.029, 0.661, -0.0568
1720599456591, 8.65, -7.95, 11, 0.018, 0.814, -0.0624
1720599456622, 10.7, -8.2, 11.05, -0.011, 0.606, -0.0872
1720599456654, 10.45, -7.3, 11.25, 0.1, 0.574, -0.032
1720599456685, 8.45, -7.05, 10.4, 0.114, 0.818, -0.0568
1720599456716, 9.15, -8.7, 11.65, -0.128, 0.789, -0.008
1720599456747, 10.15, -8.15, 11.25, -0.01, 0.6, -0.056
1720599456779, 9.5, -7, 10.15, 0.113, 0.719, -0.0056
1720599456810, 9.25, -7.25, 10.1, 0.052, 0.818, -0.0488
1720599456841, 9.2, -7.65, 10.7, -0.087, 0.754, -0.0848
1720599456872, 7.55, -6.75, 11.55, 0.102, 1.099, -0.0504
1720599456904, 5.75, -7.3, 10.25, 0.136, 1.296, -0.076
1720599456997, 5.3, -6.4, 11.55, 0.201, 1.482, -0.188
1720599457029, 6.1, -7.75, 10.1, 0.117, 1.294, -0.1632
1720599457060, 7.75, -6.4, 7.95, 0.17, 0.94, -0.0528
1720599457091, 2.65, -8.3, 2.3, 0.068, 1.241, -0.0456
1720599457122, 3, -6.9, 5.85, 0.077, 1.872, -0.1352
1720599457154, 9.25, -4.15, 10.9, 0.518, 0.755, -0.0936
1720599457185, 7.6, -10.2, 8.5, -0.28, 0.939, 0.0016
1720599457216, 9.35, -7.55, 12.4, 0.048, 0.759, -0.0416
1720599457247, 10, -7.75, 9.7, 0.062, 0.673, -0.0608
1720599457279, 7.75, -8.45, 9.65, -0.091, 0.956, -0.0584
1720599457310, 8.1, -6.25, 10.65, 0.086, 1.016, -0.1152
1720599457341, 9.7, -8.85, 11.7, -0.148, 0.869, -0.0544
1720599457372, 7.1, -6.85, 11.4, 0.137, 1.277, 0.016
1720599457404, 1.6, -7.95, 10.25, 0.053, 1.982, -0.0896
1720599457466, 2.45, -7, 9.4, 0.256, 1.915, -0.0328
1720599457513, 2, -6.4, 10.75, 0.205, 2.052, -0.0776
1720599457560, 3.35, -7.15, 11.1, 0.004, 1.827, -0.0384
1720599457607, 4.15, -6.25, 13.35, 0.215, 1.88, -0.0888
1720599457638, 3.5, -7.05, 14.85, 0.124, 1.978, -0.1
1720599457701, 4.65, -7.4, 15.05, 0.104, 1.834, -0.0576
1720599457732, 5.05, -7.8, 15.3, -0.008, 1.807, -0.0768
1720599457763, 5.5, -7.3, 15.5, 0.115, 1.794, -0.0632
1720599457794, 5, -6.9, 14.65, 0.181, 1.777, -0.0984
1720599457872, 5.2, -7, 15.25, 0.088, 1.731, -0.0736
1720599457919, 5.3, -7.1, 14.95, 0.068, 1.735, -0.0728
1720599457966, 5.4, -7.15, 15.1, 0.091, 1.749, -0.0624
1720599458013, 6.2, -7.55, 14.65, 0.067, 1.599, -0.0664
1720599458060, 7.4, -7.05, 15.65, 0.12, 1.483, -0.064
1720599458091, 7.55, -7.5, 15.7, 0.02, 1.433, -0.0248
1720599458122, 8.1, -8.55, 15.15, 0.001, 1.319, -0.0224
1720599458185, 7.9, -7.35, 14.7, 0.142, 1.329, -0.0304
1720599458263, 8.2, -7.7, 14.5, 0.073, 1.194, -0.0216
1720599458310, 9.1, -7.3, 12.55, 0.072, 1.011, -0.0264
1720599458357, 8.65, -7.95, 12.95, 0.029, 1.1, -0.0432
1720599458419, 8.6, -7.5, 12.6, 0.044, 1.057, -0.0368
1720599458466, 8.6, -7.55, 13, 0.03, 1.052, -0.0344
1720599458529, 8.25, -7.7, 12.75, 0.011, 1.053, -0.0096
1720599458576, 8.9, -7.85, 12.9, -0.018, 0.998, -0.016
1720599458607, 8.2, -7.45, 12.3, 0.018, 1.067, -0.0144
1720599458669, 8.8, -7.7, 12.55, -0.022, 1.014, -0.02
1720599458716, 6.4, -7.9, 12.7, 0.03, 1.335, -0.044
1720599458779, 2.35, -7.15, 12.6, 0.011, 2.079, -0.0536
1720599458810, 1.25, -8.2, 13.15, -0.12, 2.337, -0.0584
1720599458857, 7.45, -6.5, 13.35, 0.191, 1.56, 0.02
1720599458888, 4.4, -4.95, 10, 0.293, 1.621, -0.0416
1720599458919, 3.55, -4.2, 9.8, 0.565, 1.662, -0.2448
1720599458951, 2.3, -5.8, 7.35, 0.283, 1.778, -0.1456
1720599459029, -1.5, -6.55, 7.6, 0.067, 2.278, -0.0312
1720599459076, -2.75, -9.15, 7.9, -0.18, 2.546, -0.0112
1720599459107, -3.3, -9.7, 7.05, -0.172, 2.682, -0.0176
1720599459138, -3.45, -8.7, 9.35, -0.162, 2.751, 0.0232
1720599459169, -2.45, -4.6, 9.85, 0.452, 2.648, -0.1
1720599459201, -1.25, -4.35, 8.65, 0.558, 2.494, -0.172
1720599459232, -1.2, -6.05, 11.9, 0.446, 2.527, -0.104
1720599459263, -1.65, -5.3, 12.2, 0.405, 2.64, -0.032
1720599459294, 0, -5.25, 11.55, 0.493, 2.467, 0
1720599459326, -0.15, -5.55, 12.4, 0.426, 2.487, 0.0296
1720599459357, -1.05, -9.6, 12.2, -0.291, 2.644, 0.1592
1720599459388, -1.6, -10.45, 10.45, -0.401, 2.61, 0.0616
1720599459419, -0.6, -10.6, 11.3, -0.466, 2.468, 0.1056
1720599459466, -2.3, -10.45, 10.75, -0.526, 2.674, 0.0432
1720599459513, -2.4, -10.35, 10.1, -0.458, 2.716, -0.0088
1720599459544, -2.2, -10.6, 11.55, -0.457, 2.697, 0.0192
1720599459576, -2.15, -10.55, 10.45, -0.4, 2.693, 0.0008
1720599459622, -1.7, -10.45, 11.5, -0.436, 2.68, 0.0192
1720599459669, -1.65, -10, 11.6, -0.443, 2.657, 0.0176
1720599459701, -1.6, -10.2, 11.7, -0.453, 2.658, 0.0072
1720599459747, -2.3, -9.6, 9.95, -0.359, 2.665, -0.0616
1720599459794, -1.8, -10.25, 11.45, -0.42, 2.649, 0.0056
1720599459826, -2, -9.9, 10, -0.32, 2.681, -0.04
1720599459857, -1.75, -9.8, 10.9, -0.425, 2.642, -0.0072
1720599459904, -2.2, -9.5, 9.6, -0.298, 2.668, -0.0648
1720599459951, -2.1, -9.6, 9.5, -0.286, 2.66, -0.0744
1720599459982, -1.75, -9.55, 11.55, -0.424, 2.641, 0.0016
1720599460013, -1.85, -10.05, 10.45, -0.302, 2.659, -0.02
1720599460044, -2.1, -9.4, 10.05, -0.338, 2.64, -0.0488
1720599460076, -1.75, -9.65, 10.6, -0.223, 2.469, -0.052
1720599460138, 13.8, -7.45, 10.85, 0.057, 0.189, -0.0392
1720599460169, 8.5, -7.7, 10.7, 0.091, 0.758, 0.0168
1720599460201, 7.55, -7.9, 11.5, 0.05, 0.922, -0.044
1720599460294, 8, -7.55, 10.85, 0.023, 0.872, -0.064
1720599460341, 11.45, -7.15, 11.15, 0.091, 0.497, -0.052
1720599460372, 9.25, -7.5, 10.35, 0.07, 0.725, -0.0792
1720599460404, 8.1, -8.1, 10.95, 0.031, 0.799, 0
1720599460435, 10.6, -6.35, 9.4, 0.185, 0.533, -0.0008
1720599460466, 8.7, -9.1, 10.3, -0.146, 0.884, -0.0808
1720599460497, 10.4, -6.7, 11.1, 0.141, 0.607, -0.0824
1720599460529, 9.85, -7.95, 10.45, -0.018, 0.637, -0.0064
1720599460560, 8.2, -8.3, 11.55, -0.094, 0.906, -0.0984
1720599460591, 10.55, -5.9, 10.65, 0.21, 0.649, -0.072
1720599460622, 10.6, -8.1, 10.6, -0.097, 0.668, -0.0976
1720599460654, 9.35, -6.85, 10.2, 0.114, 0.575, -0.0744
1720599460685, 11.35, -6.75, 8.25, 0.18, 0.486, -0.0056
1720599460732, 13.45, -9.15, 9.35, -0.022, 0.438, 0.0264
1720599460794, 13.05, -7.75, 10, -0.028, 0.355, -0.0088
1720599460841, 14.5, -6.35, 9.9, -0.029, 0.138, -0.0488
