UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722842541551, 11.3, -2, 19.45, 0.307, 0.11, 0.0408
1722842541567, 11.05, -1.8, 19.3, 0.302, 0.11, 0.0112
1722842541582, 11.05, -2.65, 18.85, 0.218, 0.104, 0.0256
1722842541598, 11.5, -2.35, 19.5, 0.295, 0.08, 0.0312
1722842541613, 11.1, -2.1, 19.55, 0.299, 0.09, 0.048
1722842541629, 11.45, -2.2, 19.4, 0.287, 0.06, 0.0184
1722842541645, 11.45, -2.3, 19.6, 0.302, 0.065, 0.0392
1722842541660, 11.1, -2.4, 19.3, 0.271, 0.102, 0.0368
1722842541676, 11.35, -1.95, 19.65, 0.319, 0.079, 0.02
1722842541707, 11.45, -2.15, 19.45, 0.294, 0.072, 0.0344
1722842541723, 11.6, -2.1, 19.55, 0.294, 0.066, 0.0192
1722842541754, 11.6, -2, 19.35, 0.294, 0.075, 0.0288
1722842541770, 11.45, -2.15, 19.45, 0.302, 0.069, 0.0256
1722842541785, 11.15, -2.2, 19.3, 0.291, 0.089, 0.0392
1722842541801, 11.4, -2.25, 19.6, 0.301, 0.061, 0.0184
1722842541832, 11.35, -2.1, 19.3, 0.299, 0.087, 0.0296
1722842541863, 11.05, -2.25, 19.2, 0.264, 0.089, 0.0424
1722842541895, 11.05, -2.15, 19.35, 0.301, 0.099, 0.032
1722842541926, 11.4, -2.2, 19.4, 0.292, 0.076, 0.032
1722842541957, 11.35, -2.1, 19.55, 0.278, 0.084, 0.0376
1722842541988, 11.3, -2.25, 19.35, 0.268, 0.095, 0.0392
1722842542020, 11.05, -2.3, 19.25, 0.277, 0.095, 0.0272
1722842542051, 11.25, -2.2, 19.35, 0.269, 0.086, 0.0448
1722842542082, 11.4, -2, 19.3, 0.304, 0.057, -0.0016
1722842542113, 11.1, -2.2, 19, 0.251, 0.095, 0.004
1722842542145, 11.8, -1.65, 19.55, 0.319, 0.032, 0.0264
1722842542176, 12.3, -2.1, 19.8, 0.305, -0.025, -0.0448
1722842542207, 12.2, -1.9, 20.5, 0.361, 0.018, -0.0032
1722842542238, 12.1, -2.05, 19.7, 0.325, 0.038, 0.0456
1722842542270, 10.8, -1.8, 18.5, 0.275, 0.134, 0.044
1722842542301, 11.05, -2.7, 18.95, 0.224, 0.098, -0.0264
1722842542332, 11.15, -2.15, 19.5, 0.264, 0.051, 0.0256
1722842542363, 11.15, -2.5, 19.85, 0.288, 0.061, 0.0216
1722842542395, 10.45, -2.7, 18.75, 0.187, 0.149, 0.048
1722842542426, 11.9, -1.95, 19.45, 0.297, 0.086, 0.0344
1722842542457, 12.05, -1.35, 19.95, 0.408, 0.076, 0.036
1722842542488, 11.95, -1.65, 19.8, 0.377, 0.024, 0.0352
1722842542520, 11.9, -2.05, 20.05, 0.358, 0.06, 0.0456
1722842542567, 12.35, -2.45, 20.25, 0.304, 0.005, -0.0152
1722842542613, 11.55, -2, 19.5, 0.304, 0.06, 0.0224
