UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722925330063, -5.8, 17.05, 0.8, -0.129, -0.013, -0.0296
1722925330079, -5.65, 17.05, 0.8, -0.141, -0.014, -0.028
1722925330110, -5.65, 17, 0.8, -0.14, -0.015, -0.0256
1722925330141, -5.65, 16.95, 0.8, -0.126, -0.014, -0.0288
1722925330173, -5.65, 16.95, 0.8, -0.139, -0.014, -0.0264
1722925330204, -5.7, 16.9, 0.8, -0.138, -0.014, -0.0304
1722925330235, -5.7, 16.9, 0.8, -0.128, -0.013, -0.0256
1722925330266, -5.75, 17, 0.85, -0.143, -0.014, -0.0272
1722925330298, -5.7, 16.95, 0.75, -0.134, -0.014, -0.0272
1722925330329, -5.7, 17, 0.75, -0.13, -0.015, -0.0256
1722925330360, -5.75, 17, 0.8, -0.143, -0.014, -0.0296
1722925330391, -5.75, 16.95, 0.75, -0.129, -0.014, -0.0248
1722925330423, -5.65, 17.05, 0.8, -0.132, -0.013, -0.0256
1722925330454, -5.7, 17, 0.9, -0.144, -0.014, -0.0256
1722925330485, -5.85, 17, 0.75, -0.128, -0.015, -0.028
1722925330516, -5.7, 16.95, 0.75, -0.134, -0.014, -0.028
1722925330548, -5.65, 17, 0.8, -0.141, -0.014, -0.0272
1722925330579, -5.85, 17.1, 0.8, -0.126, -0.014, -0.0312
1722925330610, -5.75, 17.15, 0.75, -0.14, -0.014, -0.0288
1722925330641, -5.55, 17, 0.9, -0.139, -0.013, -0.0248
1722925330673, -5.75, 16.9, 0.75, -0.13, -0.013, -0.0304
1722925330751, -5.7, 17, 0.85, -0.131, -0.014, -0.0256
1722925330782, -5.6, 16.95, 0.8, -0.14, -0.014, -0.0256
1722925330813, -5.65, 16.95, 0.75, -0.139, -0.013, -0.0264
1722925330844, -5.8, 16.9, 0.8, -0.129, -0.014, -0.028
1722925330891, -5.7, 17, 0.8, -0.141, -0.014, -0.0256
1722925330938, -5.6, 16.95, 0.75, -0.129, -0.013, -0.0288
1722925330969, -5.65, 17.15, 0.8, -0.144, -0.013, -0.0256
1722925331001, -5.65, 16.9, 0.7, -0.134, -0.015, -0.0272
1722925331048, -5.7, 16.85, 0.9, -0.134, -0.014, -0.0288
1722925331079, -5.7, 17.05, 0.8, -0.138, -0.014, -0.0264
1722925331110, -5.6, 16.95, 0.75, -0.13, -0.014, -0.0264
1722925331141, -5.55, 17, 0.85, -0.139, -0.014, -0.0248
1722925331173, -5.65, 17, 0.75, -0.14, -0.015, -0.0264
1722925331204, -5.75, 16.95, 0.85, -0.13, -0.014, -0.0272
1722925331235, -5.65, 16.9, 0.95, -0.139, -0.015, -0.0256
1722925331266, -5.7, 16.95, 0.9, -0.135, -0.015, -0.0328
1722925331298, -5.5, 16.8, 0.95, -0.13, -0.012, 0.04
1722925331329, -6.05, 17, 0.7, -0.129, -0.018, -0.0912
1722925331376, -6.25, 16.95, 0.85, -0.122, -0.024, -0.1312
1722925331407, -5.4, 17.15, 0.85, -0.151, -0.02, -0.0208
1722925331438, -5.45, 17.4, 1, -0.157, -0.019, -0.004
1722925331469, -5.6, 16.9, 0.9, -0.126, -0.007, 0.0488
1722925331516, -5.75, 17.15, 0.8, -0.103, -0.015, -0.0712
1722925331532, -5.3, 16.95, 1, -0.159, -0.01, 0.1392
1722925331563, -5.6, 17, 0.85, -0.135, -0.016, 0.0128
1722925331594, -5.25, 17, 0.7, -0.144, -0.015, 0.0512
1722925331657, -5.4, 17.1, 0.7, -0.143, -0.015, -0.012
1722925331704, -5.6, 16.95, 0.9, -0.145, -0.013, -0.0104
1722925331735, -6.45, 17.05, 0.7, -0.128, -0.019, -0.1856
1722925331751, -5.45, 17, 0.6, -0.093, -0.012, 0.0072
1722925331782, -5.95, 16.95, 0.9, -0.171, -0.011, -0.096
1722925331813, -5.45, 16.85, 0.8, -0.131, -0.01, 0.0552
1722925331844, -5.85, 17.05, 0.75, -0.094, -0.018, -0.0824
1722925331876, -5.35, 17, 0.9, -0.161, -0.009, 0.0632
1722925331907, -6, 16.9, 0.8, -0.142, -0.016, -0.096
1722925331938, -5.65, 16.9, 0.65, -0.118, -0.016, -0.004
1722925331969, -5.5, 17.1, 0.9, -0.173, -0.012, 0.0152
1722925332001, -6.05, 17.05, 0.75, -0.088, -0.013, -0.1104
1722925332032, -5.7, 16.95, 0.7, -0.13, -0.015, -0.0136
1722925332063, -6.05, 17, 1, -0.161, -0.017, -0.064
1722925332094, -5.7, 17.2, 0.65, -0.128, -0.017, -0.0272
1722925332126, -5.75, 17.1, 0.95, -0.147, -0.016, -0.0144
1722925332157, -5.85, 16.9, 1, -0.171, -0.013, -0.1232
1722925332188, -5.7, 17.1, 0.6, -0.105, -0.011, -0.0336
1722925332219, -5.7, 17.2, 0.7, -0.136, -0.013, -0.0536
1722925332251, -5.55, 17.05, 0.7, -0.113, -0.011, 0.0008
1722925332282, -5.85, 16.85, 0.8, -0.126, -0.016, -0.092
1722925332313, -5.85, 16.85, 1.05, -0.17, -0.016, -0.0576
1722925332344, -5.8, 16.9, 0.75, -0.092, -0.015, -0.0744
1722925332376, -5.8, 17.25, 0.65, -0.133, -0.015, 0.0096
1722925332407, -5.7, 17, 0.8, -0.17, -0.011, -0.0592
1722925332438, -5.7, 17.05, 0.65, -0.111, -0.015, 0.0264
1722925332454, -5.65, 16.8, 0.8, -0.124, -0.013, 0.0256
1722925332485, -6, 16.9, 0.85, -0.17, -0.016, -0.0824
1722925332516, -5.7, 16.9, 0.8, -0.114, -0.017, 0.0048
1722925332548, -5.65, 17, 0.75, -0.133, -0.015, -0.0536
1722925332579, -5.8, 17, 0.95, -0.151, -0.014, -0.0032
1722925332610, -5.8, 17, 0.8, -0.104, -0.015, -0.0488
1722925332657, -5.65, 17.3, 0.85, -0.158, -0.015, -0.0328
1722925332688, -5.75, 17.05, 0.85, -0.135, -0.013, -0.0264
1722925332719, -5.7, 16.95, 0.75, -0.127, -0.013, -0.0376
1722925332751, -5.55, 17.05, 0.9, -0.162, -0.016, -0.0152
1722925332782, -5.75, 17.05, 0.8, -0.122, -0.013, -0.044
1722925332829, -5.55, 16.95, 0.8, -0.144, -0.015, -0.0344
1722925332860, -5.6, 16.95, 0.8, -0.133, -0.014, -0.0312
1722925332891, -5.8, 16.9, 0.65, -0.109, -0.016, -0.0416
1722925332923, -5.6, 17, 0.85, -0.162, -0.015, -0.0248
1722925332954, -5.8, 17.25, 0.85, -0.124, -0.015, -0.0336
1722925332985, -5.65, 16.6, 0.7, -0.129, -0.014, -0.0368
1722925333016, -5.65, 16.95, 0.85, -0.161, -0.015, -0.0304
1722925333048, -5.2, 16.9, 1.15, -0.276, 0.055, 0.1584
1722925333079, -6.1, 17.7, 3.55, -0.989, 0.072, -0.124
1722925333110, -5.65, 16.95, 0.75, -0.09, -0.002, 0.0376
1722925333141, -6.05, 17.05, 1, -0.203, 0.064, -0.1328
1722925333173, -5.85, 17.85, 3.5, -0.961, 0.01, 0.0408
1722925333204, -5.65, 16.7, 0.3, 0.074, 0.009, -0.0024
1722925333235, -5.4, 17.4, 2.05, -0.525, 0.032, 0.1528
1722925333282, -4.85, 17.35, 2, -0.496, -0.006, 0.328
1722925333313, -1.6, 17.7, 3.75, -1.034, -0.127, 1.2856
1722925333360, -4.05, 17.7, 3.15, -0.812, -0.028, 0.5912
1722925333391, -3.9, 16.85, 0.4, -0.015, 0.083, 0.576
1722925333438, -5.75, 18.65, 4.95, -1.359, -0.096, 0.0512
1722925333469, -6.8, 21.4, 2.45, -0.486, 0.04, -0.3824
1722925333516, -5.35, 20.95, 7, -1.871, -0.063, 0.304
1722925333548, -6.25, 17.95, 1.85, -0.19, -0.012, -0.2608
1722925333579, -6.5, 18.95, 4.4, -1.029, -0.086, -0.2688
1722925333610, -6, 18.3, 2.6, -0.671, -0.04, -0.1304
1722925333641, -5.05, 16.75, -0.25, 0.19, -0.053, 0.1328
1722925333673, -6.35, 17.4, 2.4, -0.618, 0.017, -0.1968
1722925333704, -5.25, 17.1, 1.85, -0.375, -0.067, 0.1728
1722925333735, -5.55, 16.8, 0.5, -0.088, -0.023, 0.1168
1722925333751, -5.45, 17.6, 2.6, -0.693, -0.031, 0.1056
1722925333798, -5.95, 16.75, 1.25, -0.174, -0.06, -0.1088
