UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722925713937, -5.6, 17.15, 0.8, -0.134, -0.015, -0.0232
1722925713983, -5.6, 17.1, 0.8, -0.133, -0.013, -0.0224
1722925714030, -5.85, 16.9, 0.75, -0.136, -0.016, -0.028
1722925714077, -5.65, 16.9, 0.8, -0.135, -0.014, -0.0256
1722925714108, -5.7, 16.85, 0.75, -0.138, -0.016, -0.0264
1722925714140, -5.8, 17, 0.75, -0.135, -0.015, -0.028
1722925714171, -5.7, 16.9, 0.8, -0.133, -0.015, -0.0272
1722925714202, -5.7, 17.15, 0.8, -0.135, -0.014, -0.028
1722925714218, -5.75, 16.85, 0.85, -0.138, -0.014, -0.0288
1722925714249, -5.65, 16.9, 0.8, -0.133, -0.014, -0.0272
1722925714265, -5.6, 16.8, 0.75, -0.135, -0.016, -0.028
1722925714296, -5.65, 17.1, 0.75, -0.137, -0.014, -0.0272
1722925714327, -5.8, 16.95, 0.85, -0.135, -0.014, -0.0264
1722925714358, -5.7, 16.95, 0.75, -0.133, -0.016, -0.0312
1722925714390, -5.75, 17.05, 0.75, -0.134, -0.015, -0.0296
1722925714421, -5.75, 17, 0.8, -0.136, -0.015, -0.0248
1722925714452, -5.7, 17.1, 0.7, -0.135, -0.014, -0.0264
1722925714483, -5.7, 16.85, 0.75, -0.136, -0.014, -0.0248
1722925714515, -5.75, 17, 0.85, -0.133, -0.014, -0.0272
1722925714546, -5.8, 16.95, 0.75, -0.134, -0.016, -0.0304
1722925714577, -5.65, 16.85, 0.65, -0.136, -0.015, -0.0264
1722925714640, -5.65, 16.95, 0.7, -0.136, -0.015, -0.0312
1722925714702, -5.6, 16.95, 0.7, -0.134, -0.015, -0.0272
1722925714733, -5.6, 16.9, 0.8, -0.136, -0.014, -0.032
1722925714765, -5.75, 16.95, 0.75, -0.135, -0.014, -0.0264
1722925714796, -5.65, 16.9, 0.7, -0.135, -0.016, -0.024
1722925714827, -5.6, 17.05, 0.75, -0.136, -0.016, -0.0296
1722925714858, -5.7, 17.2, 0.8, -0.135, -0.014, -0.0264
1722925714890, -5.7, 16.95, 0.75, -0.135, -0.014, -0.0312
1722925714921, -5.8, 17.05, 0.7, -0.137, -0.015, -0.0248
1722925714952, -5.65, 16.95, 0.8, -0.134, -0.015, -0.032
1722925714983, -5.65, 17.1, 0.7, -0.135, -0.015, -0.0248
1722925715015, -5.75, 17.1, 0.8, -0.136, -0.015, -0.0304
1722925715046, -5.6, 16.9, 0.8, -0.134, -0.014, -0.0272
1722925715077, -5.8, 16.85, 0.8, -0.138, -0.014, -0.0368
1722925715108, -5.6, 17.3, 0.75, -0.13, -0.015, -0.0496
1722925715140, -5.85, 16.7, 0.9, -0.14, -0.019, -0.0464
1722925715171, -6.7, 17.1, 0.55, -0.134, -0.025, -0.268
1722925715202, -5.95, 16.75, 0.45, 0.006, -0.016, -0.08
1722925715233, -6.55, 17.2, 1.2, -0.316, -0.015, -0.2384
