UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722926885494, 10.75, -2.4, 18.7, 0.196, 0.133, 0.044
1722926885682, 11.45, -1.95, 19.35, 0.28, 0.098, 0.0336
1722926885697, 11.75, -1.95, 19.45, 0.293, 0.086, 0.0224
1722926885713, 11.25, -1.8, 19.4, 0.304, 0.101, 0.0352
1722926885728, 11.55, -1.85, 19.55, 0.28, 0.087, 0.0256
1722926885744, 11.4, -2.05, 19.3, 0.274, 0.089, 0.0368
1722926885775, 11.45, -1.9, 19.5, 0.292, 0.095, 0.0288
1722926885807, 11.75, -2.1, 19.45, 0.262, 0.079, 0.0136
1722926885838, 11.45, -1.65, 19.4, 0.307, 0.094, 0.0336
1722926885900, 11.2, -1.85, 19.4, 0.277, 0.117, 0.044
1722926886010, 11.5, -1.85, 19.25, 0.289, 0.057, 0.0208
1722926886041, 11.15, -2.4, 18.9, 0.238, 0.121, 0.048
1722926886072, 10.5, -2.65, 18.6, 0.189, 0.167, 0.0504
1722926886103, 11.55, -1.65, 20, 0.353, 0.089, 0.0672
1722926886135, 11.15, -2, 19.45, 0.279, 0.04, -0.0088
1722926886166, 12.2, -1.75, 20.35, 0.369, 0.06, -0.0024
1722926886197, 11.25, -1.95, 18.75, 0.221, 0.108, 0.0464
1722926886228, 10.6, -1.6, 19.1, 0.296, 0.174, 0.0464
1722926886260, 11.65, -1.65, 18.95, 0.238, 0.107, 0.0128
1722926886291, 12.3, -1.7, 20.3, 0.409, 0.006, -0.0184
1722926886510, 11.65, -1.75, 19.35, 0.294, 0.073, 0.0064
1722926886557, 11.65, -2, 19.45, 0.287, 0.095, 0.0096
1722926886588, 11.5, -1.8, 19.55, 0.298, 0.11, 0.052
1722926886619, 10.75, -2.3, 18.75, 0.228, 0.14, 0.0416
1722926886650, 11.4, -1.7, 19.25, 0.315, 0.106, 0.0384
1722926886682, 10.9, -2.35, 18.65, 0.195, 0.16, 0.0424
1722926886713, 11.1, -2.3, 18.45, 0.185, 0.114, -0.0216
1722926886744, 10.5, -2.5, 19.1, 0.215, 0.148, 0.0336
1722926886775, 11.6, -1.85, 19.95, 0.326, 0.088, 0.0296
1722926886807, 11.3, -1.8, 19.05, 0.308, 0.098, 0.0464
1722926886838, 12.4, -1.4, 20.1, 0.354, -0.018, -0.0328
1722926886869, 11.85, -2.05, 19.65, 0.276, 0.073, -0.004
1722926886900, 12.1, -1.55, 19.7, 0.341, 0.037, 0
1722926886932, 11.3, -1.95, 18.95, 0.223, 0.057, -0.0336
1722926886947, 11.5, -2.1, 19.6, 0.274, 0.055, -0.004
1722926886963, 11.65, -2.1, 19.4, 0.255, 0.092, 0.052
1722926886979, 11.3, -1.8, 19.1, 0.259, 0.113, 0.0272
1722926886994, 11.05, -2.5, 19.4, 0.247, 0.163, 0.0536
1722926887010, 11.55, -1.6, 18.9, 0.263, 0.104, -0.004
1722926887041, 10.6, -1.95, 19.15, 0.273, 0.186, 0.0512
1722926887072, 11.4, -2.7, 19.4, 0.207, 0.112, 0.06
1722926887103, 11.3, -1.7, 19.8, 0.308, 0.123, 0.0368
1722926887119, 12.55, -2.85, 19.35, 0.21, -0.001, -0.0176
1722926887135, 11.05, -1.4, 19.3, 0.322, 0.129, 0.0568
1722926887166, 12, -2.6, 19.25, 0.213, 0.045, 0
1722926887197, 11.4, -2, 19.85, 0.279, 0.095, 0.0096
1722926887228, 11.4, -2.25, 19.15, 0.256, 0.094, 0.0328
1722926887260, 11.3, -1.7, 19.2, 0.315, 0.108, 0.0504
1722926887307, 11.6, -1.6, 19.25, 0.307, 0.096, 0.0216
1722926887369, 11.85, -2.1, 19.25, 0.26, 0.081, -0.0056
1722926887400, 10.85, -2, 18.95, 0.245, 0.129, 0.044
1722926887432, 12.65, -2.15, 19.8, 0.25, 0.016, -0.0336
1722926887463, 11.55, -1.7, 19.45, 0.318, 0.082, 0.0384
1722926887494, 10.5, -2.2, 19.1, 0.275, 0.182, 0.0816
1722926887525, 11.45, -1.35, 19.5, 0.347, 0.08, 0.0472
1722926887557, 12.7, -2, 19.9, 0.284, -0.015, -0.0216
1722926887588, 11.1, -1.85, 19.2, 0.245, 0.132, 0.04
1722926887619, 11.9, -2.15, 19.4, 0.267, 0.075, 0.0072
1722926887650, 11.45, -1.85, 19.15, 0.282, 0.057, 0.0488
1722926887682, 11.7, -2.45, 19.4, 0.19, 0.113, 0.0352
1722926887713, 11.4, -2.05, 19.5, 0.311, 0.082, 0.0496
1722926887744, 11.3, -2.05, 19.45, 0.259, 0.092, -0.0256
1722926887775, 12.3, -2.3, 19.75, 0.267, 0.024, -0.008
1722926887807, 10.95, -1.5, 19.45, 0.342, 0.119, 0.092
1722926887838, 11.4, -1.8, 19.45, 0.29, 0.12, 0.0456
1722926887869, 12.2, -2, 19.95, 0.293, 0.046, -0.0296
1722926887900, 11.6, -1.35, 19.55, 0.348, 0.063, 0.0128
1722926887932, 11.8, -2, 19.3, 0.284, 0.061, 0.0592
1722926887963, 10.8, -1.9, 18.95, 0.286, 0.16, 0.0848
1722926887994, 11.75, -1.6, 19.65, 0.345, 0.048, 0.028
1722926888041, 11.5, -2.3, 19.75, 0.279, 0.073, 0.0384
1722926888057, 10.85, -2.05, 18.75, 0.251, 0.13, 0.048
1722926888088, 11.45, -2.45, 19.1, 0.221, 0.076, 0.0096
1722926888119, 11.75, -2.15, 19.3, 0.262, 0.099, 0.0408
1722926888150, 11.15, -2.7, 19.1, 0.244, 0.095, 0.0416
1722926888182, 12.35, -1.65, 20.3, 0.332, 0.035, 0.0384
1722926888213, 12.75, -1.45, 20.1, 0.339, 0.01, 0.0032
1722926888244, 11.4, -0.9, 19.6, 0.407, 0.1, 0.0616
1722926888275, 11.45, -3, 19.15, 0.176, 0.1, -0.0016
1722926888307, 11, -1.7, 18.95, 0.294, 0.119, 0.0152
1722926888338, 10.45, -2.7, 19, 0.079, 0.145, 0.0216
1722926888369, 12.65, -3.75, 18.45, 0.041, -0.023, -0.0432
1722926888400, 11.4, 1.1, 21.1, 0.614, 0.113, 0.0512
1722926888432, 11.15, -4.95, 18.9, -0.107, 0.08, 0.0016
1722926888463, 10.65, -2.3, 19.1, 0.259, 0.15, 0.096
1722926888494, 11.3, -1.15, 18.85, 0.282, 0.095, 0.0472
1722926888525, 8.75, -2.3, 20.5, 0.287, 0.244, 0.0928
1722926888557, 7.8, -2.95, 20.15, 0.227, 0.379, 0.1696
1722926888588, 2, -5.9, 24.05, 0.276, 0.59, 0.1208
1722926888619, 2.75, -3.9, 19.35, 0.293, 0.701, 0.3128
1722926888650, 6.7, -5.95, 23.2, -0.102, 0.418, 0.208
1722926888682, 3.5, -6.35, 20.45, -0.06, 0.491, 0.2296
1722926888713, 9.15, -2.05, 15.85, 0.096, 0.32, 0.0528
1722926888744, 7.95, -5.35, 14.75, 0.314, 0.418, -0.1472
1722926888775, 27.6, -2.6, 30.4, -0.231, -1.49, -0.1816
1722926888807, 23, -4.85, 17.25, -0.323, -0.607, -0.0816
1722926888838, 20.85, -2.65, 17.3, -0.052, -0.266, -0.1056
1722926888869, 21.35, -5.3, 19.7, 0.154, -0.533, -0.2
1722926888900, 15.4, -10.05, 13.95, -0.409, -0.008, -0.0488
1722926888932, 15.2, -5.35, 21.65, 0.006, -0.097, -0.0576
1722926888963, 9.25, -7.15, 23.35, 0.085, 0.3, 0.088
1722926888994, 12.4, -8.1, 19.65, -0.181, 0.034, 0.056
1722926889025, 10.8, -5.85, 18.95, -0.15, 0.15, 0.1056
1722926889057, 11.45, -7.6, 18.55, -0.127, 0.028, -0.0224
1722926889088, 13.1, -6, 19.25, -0.05, -0.011, -0.036
1722926889119, 10.15, -6, 26.55, 0.391, -0.076, -0.1688
1722926889150, 11.3, -6.05, 24.5, 0.157, 0.072, -0.0536
1722926889182, 11.85, -6.7, 21.25, 0.069, 0.083, -0.0712
1722926889213, 12.45, -7.35, 19.05, -0.127, 0.161, 0.0904
1722926889244, 10.5, -9.2, 17.25, -0.304, 0.198, 0.0536
1722926889260, 9.8, -8.05, 16.7, -0.15, 0.186, -0.028
1722926889307, 12.3, -7.45, 19.65, -0.158, 0.121, 0.0816
1722926889322, 12.85, -6.7, 25.2, 0.105, -0.073, -0.1264
1722926889354, 10.4, -5.3, 29.3, 0.498, 0.267, 0.1312
1722926889400, 9.3, -4, 32.1, 0.813, 0.224, -0.0456
