UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1720526118978, 12.15, -2.4, 20, 0.344, 0.053, 0.0512
1720526118994, 11.3, -2.9, 19.3, 0.215, 0.091, 0.0368
1720526119010, 11.3, -2.3, 19.5, 0.297, 0.089, 0.0456
1720526119025, 11.9, -2.25, 19.95, 0.332, 0.07, 0.0528
1720526119041, 11.7, -3.2, 19.3, 0.199, 0.056, 0.0064
1720526119056, 11.35, -2.55, 19.35, 0.291, 0.121, 0.0672
1720526119072, 11.35, -2.1, 19.55, 0.323, 0.103, 0.0448
1720526119088, 11.8, -2.75, 19.45, 0.239, 0.069, 0.0192
1720526119103, 11.55, -2.75, 19.5, 0.271, 0.08, 0.0592
1720526119135, 11.3, -2.05, 19.55, 0.328, 0.102, 0.0568
1720526119166, 11.6, -2.65, 19.55, 0.277, 0.075, 0.0552
1720526119181, 11.25, -2.25, 19.8, 0.295, 0.1, 0.04
1720526119197, 11.6, -2.5, 19.8, 0.294, 0.081, 0.0488
1720526119228, 11.7, -2.7, 19.55, 0.268, 0.081, 0.0296
1720526119260, 11.6, -2.65, 19.45, 0.277, 0.08, 0.0392
1720526119307, 11.55, -2.7, 19.7, 0.278, 0.077, 0.0352
1720526119338, 11.65, -2.6, 19.7, 0.29, 0.072, 0.0336
1720526119369, 11.7, -2.65, 19.7, 0.27, 0.08, 0.0376
1720526119400, 11.45, -2.5, 19.75, 0.283, 0.095, 0.0576
1720526119431, 11.7, -2.9, 19.75, 0.253, 0.076, 0.044
1720526119463, 11.6, -2.45, 19.6, 0.297, 0.074, 0.044
1720526119494, 11.6, -2.65, 19.35, 0.258, 0.08, 0.032
1720526119525, 11.45, -2.3, 20, 0.326, 0.085, 0.0464
1720526119557, 12.1, -2.75, 19.9, 0.309, 0.048, 0.0504
1720526119588, 10.8, -2.8, 19.15, 0.23, 0.135, 0.0544
1720526119619, 12.35, -2.45, 20.4, 0.356, 0.005, 0.0392
1720526119650, 12.15, -2.2, 20.4, 0.365, 0, 0.0264
1720526119681, 12.35, -2.2, 20.1, 0.336, 0.047, 0.0072
1720526119728, 11.7, -2.4, 20.1, 0.342, 0.031, 0.0024
1720526119744, 11.3, -2.65, 19.25, 0.258, 0.095, 0.0688
1720526119775, 11.2, -2.5, 19.45, 0.243, 0.042, 0.016
1720526119807, 11.55, -2.8, 19.8, 0.272, 0.063, 0.0368
1720526119838, 10.9, -3.35, 18.95, 0.183, 0.142, 0.0624
1720526119869, 12.15, -2.2, 20, 0.314, 0.067, 0.0336
1720526119900, 11.9, -2.05, 20, 0.348, 0.035, 0
1720526119932, 12.2, -2.15, 20.25, 0.412, 0.046, 0.0568
1720526119963, 11.9, -2.25, 20, 0.353, 0.087, 0.044
1720526120010, 11.4, -2.15, 19.35, 0.311, 0.103, 0.0392
1720526120056, 12.4, -2.3, 20.25, 0.338, 0.03, 0.0344
1720526120103, 11.95, -2.15, 19.95, 0.32, 0.045, 0.0456
1720526120150, 11.75, -2.7, 19.85, 0.29, 0.071, 0.0208
1720526120182, 11.65, -2.85, 19.55, 0.267, 0.074, 0.0328
1720526120244, 11.8, -2.4, 20.1, 0.328, 0.071, 0.0392
1720526120291, 10.25, -3.65, 18.9, 0.118, 0.194, 0.0976
1720526120338, 10.3, -3.2, 18.3, 0.148, 0.184, 0.04
1720526120385, 12.2, -3.2, 20.25, 0.26, 0.032, -0.0256
1720526120432, 10.3, -2.55, 19, 0.256, 0.175, 0.0776
1720526120463, 12, -2.85, 20, 0.267, 0.028, -0.02
1720526120494, 11.7, -2.4, 19.75, 0.291, 0.08, 0.0344
1720526120525, 12.05, -3.05, 19.75, 0.255, 0.048, 0.0376
1720526120541, 11.8, -2.1, 20.15, 0.338, 0.062, 0.0304
1720526120572, 11.35, -2.65, 19.6, 0.3, 0.1, 0.0696
1720526120603, 11.55, -2.25, 20.2, 0.329, 0.089, 0.0624
1720526120635, 11, -3.05, 19.3, 0.254, 0.118, 0.0752
1720526120666, 11.45, -2.35, 19.75, 0.269, 0.09, 0.0352
1720526120697, 11.35, -2.85, 20.1, 0.261, 0.102, 0.0728
1720526120728, 11.55, -2.15, 19.85, 0.315, 0.062, 0.032
1720526120760, 11.75, -3, 18.75, 0.222, 0.092, 0.0384
1720526120791, 10.85, -1.8, 19.7, 0.349, 0.127, 0.092
1720526120822, 11.7, -2.9, 19.5, 0.251, 0.079, 0.0448
1720526120853, 11.5, -2.2, 19.55, 0.311, 0.1, 0.0416
1720526120885, 11.7, -2.8, 19.6, 0.276, 0.064, 0.0424
1720526120932, 11.7, -2.85, 19.7, 0.274, 0.072, 0.0192
1720526120994, 10.4, -2.6, 18.7, 0.233, 0.186, 0.0592
1720526121025, 12.6, -2.8, 19.7, 0.258, 0.019, -0.0112
1720526121057, 11.5, -1.45, 20.2, 0.406, 0.083, 0.0528
1720526121088, 11.7, -3, 19.65, 0.255, 0.054, 0.0016
1720526121119, 11.45, -1.6, 19.75, 0.362, 0.079, 0.0456
1720526121150, 12.3, -2.35, 19.55, 0.302, 0.051, 0.016
1720526121182, 11.55, -1.4, 19.9, 0.402, 0.066, 0.0504
1720526121213, 12.1, -3.5, 19.6, 0.178, 0.02, 0.0056
1720526121244, 10.7, -3.15, 19.55, 0.197, 0.131, 0.0504
1720526121275, 12.2, -2.65, 19.75, 0.274, 0.05, 0.0416
1720526121307, 11.9, -2.05, 19.8, 0.352, 0.057, 0.06
1720526121338, 11.7, -2.45, 19.85, 0.314, 0.082, 0.0712
1720526121369, 11.7, -3.25, 19.45, 0.19, 0.046, -0.0024
1720526121400, 11.55, -2.65, 19.7, 0.282, 0.094, 0.0416
1720526121432, 12.45, -2.25, 20.25, 0.343, 0.015, 0.0288
1720526121463, 11.7, -2.05, 19.75, 0.338, 0.08, 0.0784
1720526121494, 12, -2.65, 19.6, 0.258, 0.05, 0.008
1720526121525, 12, -2.75, 20.1, 0.272, 0.053, -0.0056
1720526121572, 11.95, -2.4, 20.1, 0.301, 0.035, 0.012
1720526121588, 12.55, -2.65, 20.15, 0.283, 0.018, -0.0168
1720526121635, 11.85, -2.35, 19.75, 0.305, 0.047, 0.0024
1720526121666, 11.15, -2.9, 19.1, 0.225, 0.086, 0.0208
1720526121697, 10.75, -3.1, 19, 0.187, 0.11, 0.0136
1720526121728, 12.05, -2.7, 20.05, 0.303, 0.064, 0.0752
1720526121744, 10.3, -3, 18.5, 0.193, 0.181, 0.0536
1720526121791, 11.1, -2.9, 19.65, 0.278, 0.098, 0.012
1720526121822, 11.1, -2.4, 19.1, 0.274, 0.095, 0.0288
1720526121853, 11.65, -2.75, 19.35, 0.256, 0.052, 0.0056
1720526121885, 11.5, -2.8, 19.45, 0.244, 0.074, 0.0344
1720526121932, 11.2, -3.8, 19.85, 0.192, 0.07, 0.032
1720526121963, 12.9, -8, 18.1, -0.32, -0.064, -0.0896
1720526121994, 13.5, 0.5, 20.8, 0.492, -0.089, -0.2
1720526122025, 11.75, -3.6, 20.3, 0.291, 0.097, 0.0208
1720526122057, 11.4, -3.4, 20.25, 0.226, 0.096, -0.0384
1720526122088, 5.5, -3.35, 19.65, 0.174, 0.559, 0.2248
1720526122119, 3.6, -4.6, 19.55, 0.075, 0.508, 0.1432
1720526122150, 4.75, -5.2, 22.6, 0.188, 0.44, 0.3216
1720526122182, 6.8, -6.95, 26.9, -0.219, 0.151, -0.0848
1720526122213, 5.6, -1.55, 22.55, 0.337, 0.334, 0.3736
1720526122244, 13, -4.1, 23.55, 0.002, -0.308, -0.0464
1720526122275, 8.85, -6.1, 14.5, 0.453, 0.451, -0.016
1720526122307, 13.8, -5.45, 10.1, 0.349, 0.567, -0.232
1720526122338, 28.75, -2.45, 24.75, -0.019, -1.142, -0.2576
1720526122369, 21.2, -8.4, 17.25, -0.215, -0.447, -0.1368
1720526122400, 16.55, -5.55, 15.65, 0.163, -0.202, -0.1552
1720526122432, 10.6, -9.35, 16.65, -0.064, 0.188, -0.1088
1720526122478, 19, -5.7, 23.1, 0.171, -0.397, -0.14
1720526122510, 10.85, -7.8, 22.7, 0.024, 0.091, 0.0168
1720526122541, 10.45, -8, 21.65, 0, 0.121, 0.0072
1720526122557, 12.6, -7.1, 18.9, -0.07, 0.073, 0.0728
1720526122588, 10.5, -7.85, 19.6, -0.062, 0.156, 0.0688
1720526122619, 11.45, -6.25, 21.1, 0.093, -0.008, -0.0368
1720526122666, 10.6, -6.4, 23.95, 0.118, 0.216, 0.0824
1720526122697, 13.45, -9.35, 25.55, 0.2, -0.048, -0.148
1720526122728, 16, -4.25, 23, 0.304, -0.19, -0.0368
1720526122760, 14.5, -6.9, 20.9, 0.028, -0.096, -0.0384
1720526122791, 13, -10.9, 20.6, -0.329, 0.002, 0.092
1720526122807, 9.8, -8.1, 14.5, -0.095, 0.301, 0.0592
1720526122838, 11.35, -8.5, 20.35, -0.031, 0.031, -0.0096
1720526122869, 9.7, -8.95, 25.65, 0.023, 0.286, 0.1864
1720526122900, 11.65, -3.65, 27.4, 0.639, 0.246, -0.0496
1720526122932, 8.3, -7.2, 32, 0.702, 0.249, 0.0664
1720526122963, 10.3, -3.15, 28.05, 0.388, 0.333, 0.1216
1720526122994, 6.7, -1.15, 20.5, 0.046, 0.637, -0.032
1720526123025, 8.85, -10.05, 10.9, -0.429, 0.388, -0.1256
1720526123057, 13.3, -9.1, 14.9, -0.183, 0.093, -0.0528
1720526123088, 14.5, -14.35, 19.35, -0.207, -0.304, 0.0672
1720526123119, 8.95, -14.35, 10.65, -0.69, 0.248, 0.0272
1720526123150, 11.2, -9.6, 13.8, -0.437, 0.013, 0.0776
1720526123182, 7.8, -10.45, 14.45, -0.361, 0.345, 0.0816
1720526123213, 7.85, -10.7, 17.65, -0.298, 0.507, 0.156
1720526123244, 6.45, -8.8, 18.45, -0.11, 0.447, 0.1704
1720526123275, 7, -9.95, 18.75, -0.217, 0.465, 0.152
1720526123338, 7, -8.8, 19.5, -0.113, 0.46, 0.1536
1720526123400, 6.05, -8.55, 18.85, -0.093, 0.53, 0.1856
1720526123431, 6.7, -9.4, 19.25, -0.171, 0.504, 0.2
1720526123463, 7.55, -9.95, 19.4, -0.206, 0.415, 0.1328
1720526123510, 7.05, -9.3, 19.3, -0.182, 0.477, 0.1592
1720526123541, 6.95, -9.45, 19.5, -0.184, 0.457, 0.1728
1720526123572, 7.2, -9.5, 19.1, -0.156, 0.443, 0.1648
1720526123603, 7.2, -9.85, 19.05, -0.203, 0.452, 0.1776
1720526123635, 6.65, -9.4, 19.4, -0.172, 0.504, 0.1928
1720526123666, 7.25, -9.8, 19.3, -0.199, 0.44, 0.1648
1720526123682, 7.05, -9.75, 19.3, -0.188, 0.456, 0.1696
1720526123713, 6.8, -9.8, 19.15, -0.199, 0.47, 0.1736
1720526123744, 6.95, -9.65, 19.15, -0.181, 0.471, 0.1752
1720526123775, 6.85, -9.55, 19.25, -0.191, 0.477, 0.1832
1720526123807, 6.9, -10.05, 18.75, -0.238, 0.466, 0.1536
1720526123869, 6.95, -9.65, 19.25, -0.186, 0.478, 0.212
1720526123916, 7.05, -9.55, 19, -0.221, 0.435, 0.1136
1720526123963, 6.85, -10.25, 18.75, -0.237, 0.452, 0.1376
1720526124041, 7.15, -10.05, 18.95, -0.247, 0.477, 0.1704
1720526124072, 6.4, -9.85, 19.15, -0.186, 0.486, 0.172
1720526124119, 7.1, -9.2, 19.85, -0.178, 0.447, 0.156
1720526124166, 7.25, -9.4, 19.6, -0.221, 0.421, 0.1352
1720526124197, 7.65, -9.75, 19.65, -0.2, 0.442, 0.1552
1720526124244, 7.05, -9.55, 19.25, -0.172, 0.463, 0.1792
1720526124275, 7.4, -9.55, 19.35, -0.187, 0.44, 0.152
1720526124291, 7.2, -9.5, 19.15, -0.187, 0.472, 0.1704
1720526124322, 7.1, -9.8, 19.3, -0.189, 0.457, 0.1784
1720526124353, 6.7, -9.9, 19.1, -0.22, 0.492, 0.1816
1720526124385, 7.4, -9.95, 19.15, -0.205, 0.454, 0.16
1720526124416, 6.8, -9.25, 18.95, -0.158, 0.501, 0.1752
1720526124447, 7.05, -9.85, 19.85, -0.217, 0.451, 0.1824
1720526124478, 7.55, -9.25, 19.25, -0.161, 0.426, 0.1432
1720526124510, 6.85, -9.25, 19.55, -0.148, 0.497, 0.188
1720526124541, 7.15, -10.15, 19.4, -0.245, 0.458, 0.1608
1720526124588, 6.75, -9.15, 19.35, -0.135, 0.455, 0.1576
1720526124635, 7.05, -9.9, 19.8, -0.201, 0.451, 0.144
1720526124666, 7.9, -9.35, 19.75, -0.153, 0.439, 0.1688
1720526124728, 6.35, -9.85, 18.7, -0.216, 0.498, 0.1904
1720526124760, 6.95, -9.7, 19.95, -0.189, 0.494, 0.1704
1720526124822, 6.9, -9.3, 19.6, -0.088, 0.492, 0.1872
1720526124853, 6.75, -9.9, 18.2, -0.263, 0.468, 0.1976
1720526124885, 6.7, -10.35, 18.9, -0.225, 0.497, 0.1648
1720526124932, 6.65, -9.8, 19.3, -0.212, 0.528, 0.1872
1720526124963, 6.8, -8.95, 19, -0.153, 0.443, 0.1632
1720526124994, 7.6, -9.8, 19.35, -0.198, 0.441, 0.1696
1720526125025, 6.9, -9.85, 19.65, -0.221, 0.482, 0.1856
1720526125057, 7, -9.75, 19.15, -0.205, 0.465, 0.164
1720526125088, 7.05, -9.45, 19.4, -0.178, 0.461, 0.156
1720526125119, 6.55, -9.4, 19, -0.186, 0.524, 0.1832
1720526125150, 7.5, -9.95, 19.4, -0.206, 0.418, 0.1576
1720526125182, 7.1, -9, 19.6, -0.105, 0.43, 0.1624
1720526125197, 7.25, -9.8, 20, -0.195, 0.439, 0.1648
1720526125228, 7.4, -9.9, 19.25, -0.28, 0.418, 0.1584
1720526125260, 7.55, -9, 20.15, -0.093, 0.426, 0.1392
1720526125291, 7.5, -9.2, 19.35, -0.193, 0.401, 0.1608
1720526125322, 6.75, -10.55, 19.75, -0.242, 0.479, 0.1864
1720526125385, 7.3, -9.25, 19.1, -0.156, 0.435, 0.164
1720526125447, 6.75, -9.5, 19, -0.173, 0.47, 0.1592
1720526125494, 7.05, -9.85, 19.4, -0.202, 0.446, 0.164
1720526125541, 7.05, -9.8, 19.25, -0.207, 0.448, 0.1672
1720526125572, 7.05, -9.45, 19.15, -0.194, 0.446, 0.172
1720526125603, 6.65, -9.8, 19.35, -0.206, 0.465, 0.18
1720526125635, 6.95, -9.45, 18.9, -0.177, 0.474, 0.1704
1720526125666, 7.1, -9.6, 19.15, -0.206, 0.462, 0.1592
1720526125713, 6.9, -9.35, 18.85, -0.174, 0.493, 0.1768
1720526125744, 6.7, -9.75, 19.45, -0.18, 0.467, 0.184
1720526125775, 7.05, -9.75, 19.2, -0.213, 0.444, 0.16
1720526125807, 6.75, -9.8, 19.35, -0.2, 0.468, 0.1632
1720526125838, 6.85, -9.2, 19.6, -0.143, 0.463, 0.1656
1720526125900, 8, -10.35, 19.6, -0.225, 0.412, 0.1936
1720526125947, 7.2, -10.55, 19.55, -0.199, 0.465, 0.1864
1720526125978, 5.8, -7.95, 19.25, -0.096, 0.475, 0.2336
1720526126025, 7.05, -12.1, 17.4, -0.499, 0.479, 0.2232
1720526126088, 7, -7.5, 20.45, 0.023, 0.43, 0.1912
1720526126135, 7.25, -10.35, 17.95, -0.306, 0.455, 0.1248
