UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1720526547123, 16.3, -9.8, 11.95, -0.185, 0.1, -0.044
1720526547139, 16.5, -9.7, 11.85, -0.19, 0.1, -0.0488
1720526547155, 16.4, -9.8, 11.95, -0.203, 0.096, -0.0408
1720526547170, 16.3, -9.9, 11.95, -0.166, 0.095, -0.0392
1720526547186, 16.25, -10, 12.1, -0.201, 0.091, -0.0416
1720526547201, 16.5, -9.9, 12.15, -0.182, 0.056, -0.0408
1720526547217, 16.25, -9.9, 12.1, -0.188, 0.092, -0.0304
1720526547233, 16.3, -9.6, 11.9, -0.176, 0.101, -0.0328
1720526547248, 16.5, -9.8, 12, -0.183, 0.095, -0.0392
1720526547264, 16.5, -9.9, 11.85, -0.178, 0.102, -0.0456
1720526547295, 16.2, -9.95, 11.9, -0.192, 0.092, -0.0472
1720526547342, 16.5, -10, 12.05, -0.182, 0.102, -0.0536
1720526547373, 16.5, -9.8, 11.95, -0.177, 0.094, -0.0504
1720526547405, 16.4, -9.8, 12.05, -0.17, 0.093, -0.0384
1720526547436, 16.35, -9.95, 11.85, -0.18, 0.108, -0.032
1720526547467, 16.65, -10.05, 12.15, -0.201, 0.073, -0.048
1720526547483, 16.2, -9.4, 12, -0.156, 0.126, -0.036
1720526547514, 16.15, -8.8, 11.75, -0.1, 0.113, -0.0552
1720526547545, 16.7, -8.3, 11.95, -0.054, 0.055, -0.0632
1720526547576, 14.9, -5.8, 11.85, 0.145, 0.202, -0.0552
1720526547608, 16, -6.2, 9.8, 0.145, 0.132, -0.0176
1720526547639, 14.15, -5.2, 10.4, 0.341, 0.454, -0.1016
1720526547670, 18.15, -7.35, 13.9, -0.09, -0.121, -0.0032
1720526547701, 18.05, -6.55, 13.7, 0.087, -0.18, 0.0136
1720526547733, 15.4, -5.6, 11.95, 0.118, 0.103, -0.1672
1720526547764, 16.2, -7, 11.4, 0.065, 0.046, -0.0544
1720526547795, 17.7, -7.85, 13.5, -0.004, -0.001, -0.0152
1720526547826, 18.2, -11.8, 12.3, -0.291, 0.035, 0.028
1720526547858, 16.8, -10.95, 10.35, -0.11, 0.202, -0.0504
1720526547889, 17.6, -13.1, 14.8, -0.52, -0.115, 0.0168
1720526547920, 16.65, -15.15, 13.35, -0.634, 0.08, 0.0648
1720526547967, 17.6, -13.3, 15.85, -0.497, -0.017, -0.008
1720526548014, 17.6, -11.65, 12.05, -0.332, 0.017, 0.0008
1720526548045, 17.65, -9.9, 11.9, -0.131, -0.028, -0.0096
1720526548076, 16.95, -8.25, 12.05, -0.038, 0.019, -0.0776
1720526548108, 17.6, -9.25, 12.25, -0.122, 0.01, -0.032
1720526548139, 17.6, -9.4, 11.95, -0.146, -0.011, -0.048
1720526548170, 17.2, -8.6, 12.5, -0.062, 0.049, -0.0472
1720526548217, 17.05, -5.2, 6.65, 0.263, 0.026, -0.0768
1720526548264, 21.9, -9.6, 7.1, -0.091, -0.407, -0.0624
1720526548311, 13.7, -11.3, 15.25, -0.35, 0.277, 0.0728
1720526548358, 16.95, -10.65, 13.95, -0.294, 0.07, 0.004
1720526548389, 17.75, -8.95, 11, 0, -0.05, -0.0112
1720526548420, 16.65, -9.65, 9, -0.202, -0.044, -0.0496
1720526548451, 17.75, -9.4, 12.15, -0.188, -0.116, -0.0272
1720526548483, 18.35, -9.6, 14.75, -0.187, -0.051, -0.0624
1720526548514, 17.85, -9.95, 15.2, -0.145, 0.048, -0.0488
1720526548545, 15, -4.4, 3.9, 0.445, 0.347, -0.0328
1720526548576, 9.25, 6.05, -22.45, 2.419, 1.433, -0.0344
