UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722846889757, -5.65, 16.6, 0.5, -0.136, -0.018, -0.028
1722846889789, -5.6, 16.6, 0.5, -0.134, -0.018, -0.0264
1722846889820, -5.55, 16.7, 0.5, -0.136, -0.018, -0.028
1722846889836, -5.65, 16.6, 0.55, -0.135, -0.019, -0.0232
1722846889867, -5.65, 16.6, 0.5, -0.134, -0.019, -0.028
1722846889898, -5.6, 16.65, 0.5, -0.134, -0.018, -0.024
1722846889929, -5.65, 16.65, 0.55, -0.135, -0.019, -0.0248
1722846889961, -5.6, 16.6, 0.55, -0.134, -0.019, -0.028
1722846889992, -5.6, 16.75, 0.55, -0.133, -0.019, -0.0272
1722846890023, -5.65, 16.7, 0.45, -0.135, -0.018, -0.028
1722846890054, -5.7, 16.7, 0.55, -0.133, -0.018, -0.0264
1722846890086, -5.65, 16.8, 0.5, -0.134, -0.018, -0.0232
1722846890117, -5.75, 16.6, 0.5, -0.136, -0.018, -0.0248
1722846890148, -5.6, 16.7, 0.55, -0.135, -0.018, -0.0208
1722846890179, -5.65, 16.7, 0.45, -0.134, -0.017, -0.0248
1722846890211, -5.6, 16.7, 0.6, -0.134, -0.019, -0.0256
1722846890242, -5.55, 16.6, 0.5, -0.135, -0.018, -0.0296
1722846890273, -5.65, 16.6, 0.5, -0.134, -0.019, -0.028
1722846890304, -5.75, 16.65, 0.5, -0.136, -0.018, -0.0248
1722846890336, -5.6, 16.6, 0.6, -0.134, -0.019, -0.0264
1722846890367, -5.65, 16.6, 0.55, -0.135, -0.019, -0.028
1722846890398, -5.65, 16.55, 0.5, -0.135, -0.02, -0.0256
1722846890429, -5.55, 16.7, 0.5, -0.134, -0.017, -0.0248
1722846890461, -5.5, 16.65, 0.55, -0.135, -0.019, -0.0264
1722846890507, -5.55, 16.6, 0.55, -0.135, -0.019, -0.0232
1722846890554, -5.6, 16.7, 0.45, -0.136, -0.019, -0.0232
1722846890601, -5.65, 16.7, 0.55, -0.133, -0.019, -0.0256
1722846890632, -5.6, 16.75, 0.55, -0.136, -0.017, -0.024
