UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1720599017822, 16.2, -10.2, 12.1, -0.203, 0.076, -0.0632
1720599017838, 16.35, -9.9, 11.8, -0.168, 0.1, -0.0376
1720599017854, 16.4, -9.95, 11.65, -0.183, 0.088, -0.0456
1720599017869, 16.15, -9.9, 11.65, -0.178, 0.096, -0.052
1720599017885, 16.05, -9.9, 11.8, -0.187, 0.101, -0.048
1720599017900, 16.4, -9.85, 11.9, -0.179, 0.104, -0.0472
1720599017916, 16.3, -10.05, 11.85, -0.177, 0.07, -0.0448
1720599017947, 16.3, -9.95, 11.85, -0.192, 0.089, -0.056
1720599017963, 16, -9.95, 11.8, -0.173, 0.08, -0.0488
1720599018010, 16.55, -9.95, 11.8, -0.169, 0.084, -0.052
1720599018041, 16.25, -9.85, 11.75, -0.179, 0.097, -0.0504
1720599018072, 16.3, -10, 11.6, -0.164, 0.103, -0.0376
1720599018104, 16.45, -9.9, 11.8, -0.189, 0.089, -0.0472
1720599018150, 16.15, -9.65, 11.7, -0.157, 0.11, -0.0336
1720599018182, 16.2, -9.6, 11.8, -0.169, 0.108, -0.044
1720599018213, 16.1, -9.2, 11.5, -0.133, 0.099, -0.0384
1720599018244, 15.85, -8.2, 11.25, -0.042, 0.138, -0.0496
1720599018275, 15, -7.3, 12.1, 0.074, 0.214, -0.0992
1720599018307, 15.7, -6.2, 10.25, 0.111, 0.144, -0.0512
1720599018322, 16.05, -6.45, 11.35, 0.087, 0.098, -0.1176
1720599018354, 16.05, -6.35, 10.05, 0.168, 0.181, -0.0696
1720599018369, 17.85, -7.35, 12.6, -0.089, -0.173, -0.0368
1720599018400, 16.95, -6.1, 12, 0.122, 0.049, -0.0752
1720599018432, 16.4, -6.8, 13.45, 0.019, 0.033, -0.0944
1720599018463, 16.05, -6.95, 10.3, 0.033, 0.135, 0.0024
1720599018494, 16.6, -6.85, 13.35, 0.194, -0.052, -0.068
1720599018525, 17, -9.95, 12.95, -0.227, 0.015, -0.0464
1720599018557, 17.5, -11.7, 11.1, -0.195, -0.029, 0.0032
1720599018588, 17.7, -12.45, 13.6, -0.345, 0.024, -0.0584
1720599018619, 17.35, -14.3, 10.15, -0.38, 0.067, -0.0728
1720599018650, 17.45, -14.35, 13.45, -0.559, -0.023, -0.0208
1720599018682, 16.75, -13.4, 13.25, -0.524, 0.125, -0.0896
1720599018713, 17.2, -11.4, 12.4, -0.275, 0.037, -0.0328
1720599018744, 17.85, -10.6, 11.95, -0.206, -0.057, -0.04
1720599018760, 17, -8.8, 12.55, -0.083, 0.018, -0.0328
1720599018791, 16.05, -7.45, 11.6, 0.057, 0.123, -0.0424
1720599018822, 24.1, -11.35, 5, -0.338, -0.63, -0.0624
1720599018854, 19.1, -8.1, 10, 0.124, -0.166, -0.1008
1720599018885, 14.55, -10.65, 16.35, -0.288, 0.234, -0.0032
1720599018916, 12.9, -8.1, 11.35, 0.082, 0.462, -0.0336
1720599018947, 16.35, -7.1, 9.25, 0.118, 0.137, -0.068
1720599018979, 16.9, -9.4, 10.65, -0.198, 0.052, -0.0784
1720599019010, 16.5, -9.35, 9.55, -0.089, 0.123, -0.06
1720599019041, 16.1, -7.3, 11.2, 0.151, 0.131, -0.0408
1720599019072, 17.05, -7.8, 14.3, 0.007, 0.048, -0.0472
1720599019104, 17.35, -8.7, 13.8, -0.084, 0.029, -0.016
1720599019135, 14.55, -2.25, 4.55, 0.937, 0.264, -0.0496
