UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1720599589785, -6.25, 15.05, 0.25, -0.144, -0.026, -0.0352
1720599589816, -6.3, 15.15, 0.3, -0.136, -0.026, -0.0344
1720599589847, -6.2, 15.1, 0.1, -0.117, -0.026, -0.0296
1720599589879, -6.45, 15.1, 0.2, -0.145, -0.027, -0.032
1720599589894, -6.3, 15.15, 0.25, -0.132, -0.027, -0.032
1720599589925, -6.3, 15.1, 0.05, -0.117, -0.026, -0.0328
1720599589957, -6.3, 15.1, 0.25, -0.14, -0.026, -0.0328
1720599589988, -6.3, 15.1, 0.2, -0.138, -0.027, -0.0336
1720599590019, -6.3, 15.15, 0.15, -0.119, -0.026, -0.0344
1720599590050, -6.35, 15.1, 0.25, -0.146, -0.026, -0.032
1720599590082, -6.35, 14.95, 0.15, -0.125, -0.027, -0.0336
1720599590113, -6.35, 15.05, 0.2, -0.126, -0.027, -0.0312
1720599590144, -6.3, 15.1, 0.3, -0.144, -0.027, -0.036
1720599590175, -6.25, 15.05, 0.2, -0.123, -0.026, -0.0296
1720599590207, -6.4, 15.05, 0.2, -0.136, -0.026, -0.036
1720599590238, -6.5, 15.05, 0.25, -0.142, -0.028, -0.036
1720599590269, -6.4, 15.1, 0.2, -0.118, -0.027, -0.0312
1720599590285, -6.45, 14.95, 0.25, -0.126, -0.028, -0.036
1720599590316, -6.3, 15.05, 0.2, -0.141, -0.028, -0.0296
1720599590347, -6.45, 15.25, 0.15, -0.123, -0.027, -0.0312
1720599590379, -6.45, 15.1, 0.15, -0.123, -0.026, -0.0336
1720599590425, -6.3, 15, 0.15, -0.132, -0.027, -0.028
1720599590472, -6.45, 15.1, 0.25, -0.135, -0.027, -0.0336
1720599590504, -6.5, 15.15, 0.25, -0.138, -0.026, -0.032
1720599590535, -6.35, 15.1, 0.25, -0.12, -0.026, -0.0328
1720599590582, -6.3, 15.15, 0.25, -0.145, -0.027, -0.0336
1720599590613, -6.3, 15, 0.15, -0.122, -0.025, -0.0328
1720599590644, -6.3, 15.3, 0.3, -0.134, -0.027, -0.0352
1720599590675, -6.35, 15.1, 0.2, -0.139, -0.026, -0.0344
1720599590707, -6.3, 15.1, 0.15, -0.118, -0.025, -0.0344
1720599590738, -6.3, 15.25, 0.2, -0.139, -0.026, -0.0328
1720599590785, -6.35, 15.1, 0.2, -0.12, -0.026, -0.0352
1720599590832, -6.35, 15.1, 0.2, -0.133, -0.026, -0.0312
1720599590847, -6.45, 15.1, 0.25, -0.139, -0.026, -0.0352
1720599590879, -6.3, 15.25, 0.15, -0.119, -0.027, -0.0312
1720599590910, -6.35, 15.05, 0.15, -0.134, -0.026, -0.0368
1720599590941, -6.35, 15.25, 0.2, -0.139, -0.024, -0.0352
1720599590972, -6.35, 15.15, 0.15, -0.119, -0.026, -0.0336
1720599591004, -6.45, 15.05, 0.25, -0.141, -0.027, -0.032
1720599591035, -6.25, 15, 0.25, -0.131, -0.026, -0.032
1720599591066, -6.35, 15.2, 0.2, -0.123, -0.026, -0.0192
1720599591097, -5.9, 15.05, 0.3, -0.141, -0.024, 0.0816
1720599591129, -6.45, 15.3, 0.45, -0.168, -0.027, -0.0224
1720599591160, -6.3, 14.95, 0.05, -0.102, -0.027, 0.0256
1720599591191, -5.6, 15, 0.4, -0.101, -0.019, 0.204
1720599591222, -6.2, 15.05, 0.85, -0.302, -0.02, 0.0016
1720599591254, -6.35, 14.05, -0.15, 0.029, -0.031, -0.1096
1720599591285, -5.95, 15.5, 0, -0.109, -0.032, 0.0848
1720599591316, -6.3, 15.5, 0.75, -0.27, -0.014, -0.068
1720599591347, -6.2, 14.85, 0, -0.044, -0.024, 0.0104
1720599591410, -6.6, 15.3, 0.25, -0.179, -0.031, -0.1048
1720599591457, -6.35, 15.05, -0.15, -0.023, -0.021, -0.036
1720599591488, -6.25, 15.2, 0.7, -0.307, -0.024, 0.0216
1720599591519, -6.6, 15.15, -0.05, -0.032, -0.032, -0.0768
1720599591550, -6.3, 15.1, 0.05, -0.062, -0.023, -0.0392
1720599591582, -6.55, 15.25, 0.7, -0.281, -0.025, -0.048
1720599591613, -6.2, 14.9, -0.3, 0.019, -0.032, 0.0192
1720599591644, -6.55, 15.1, 0.25, -0.162, -0.03, -0.1
1720599591675, -6.3, 15.25, 0.35, -0.183, -0.028, -0.0536
1720599591707, -6.35, 15, -0.25, -0.026, -0.031, -0.0352
1720599591738, -6.5, 15.1, 0.65, -0.25, -0.029, -0.0464
1720599591769, -6.25, 15.2, 0.3, -0.139, -0.027, 0
1720599591800, -6.6, 15.1, -0.1, -0.011, -0.03, -0.1
1720599591832, -6.4, 15.25, 0.6, -0.233, -0.026, -0.0224
1720599591863, -6.45, 15.15, 0.15, -0.095, -0.028, -0.06
1720599591894, -6.25, 15.3, 0.1, -0.123, -0.023, -0.0112
1720599591925, -6.65, 15.1, 0.45, -0.219, -0.024, -0.084
1720599591957, -6.2, 15.15, 0, -0.043, -0.023, -0.0152
1720599591988, -6.15, 15.2, 0.3, -0.156, -0.023, 0.0232
1720599592019, -6.4, 15.4, 0.35, -0.208, -0.024, -0.0232
1720599592050, -6.25, 14.95, 0, -0.051, -0.024, -0.0232
1720599592082, -6.35, 15.1, 0.2, -0.156, -0.025, -0.0032
1720599592113, -6.25, 15.2, 0.4, -0.191, -0.021, -0.0144
1720599592144, -6.25, 15.15, -0.05, -0.034, -0.024, 0.0032
1720599592175, -6.35, 15.05, 0.5, -0.18, -0.028, -0.0608
1720599592207, -6.1, 15.05, 0.35, -0.176, -0.021, 0.0152
1720599592238, -6.4, 14.95, 0, -0.074, -0.026, -0.0608
1720599592269, -6.05, 15.15, 0.5, -0.212, -0.026, 0.0792
1720599592300, -6.55, 14.95, 0.1, -0.093, -0.026, -0.0896
1720599592332, -6.35, 15, 0.05, -0.072, -0.027, -0.0208
1720599592379, -6.35, 15.1, 0.35, -0.167, -0.026, -0.0112
1720599592410, -5.95, 15, 0, -0.042, -0.025, 0.0744
1720599592457, -6.45, 15.15, 0.55, -0.214, -0.026, -0.0888
1720599592488, -6.45, 15.2, -0.05, -0.032, -0.03, -0.0496
