UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1720524805941, 16.65, -10.05, 11.7, -0.195, 0.076, -0.0464
1720524805956, 16.45, -9.8, 11.85, -0.188, 0.106, -0.0416
1720524805972, 16.55, -10.1, 11.85, -0.18, 0.083, -0.0488
1720524805988, 16.65, -10.15, 11.55, -0.212, 0.106, -0.044
1720524806003, 16.45, -9.9, 11.85, -0.185, 0.08, -0.0392
1720524806035, 16.65, -9.9, 11.95, -0.173, 0.076, -0.0496
1720524806050, 16.5, -10.15, 11.5, -0.208, 0.103, -0.0344
1720524806081, 16.45, -9.9, 11.85, -0.179, 0.1, -0.0464
1720524806113, 16.65, -10.1, 11.75, -0.183, 0.092, -0.036
1720524806160, 16.75, -9.95, 11.9, -0.182, 0.075, -0.0416
1720524806191, 16.65, -10.05, 12.05, -0.198, 0.078, -0.052
1720524806222, 16.65, -10, 11.85, -0.193, 0.094, -0.036
1720524806253, 16.75, -10.05, 11.95, -0.188, 0.092, -0.0344
1720524806285, 16.45, -9.9, 11.7, -0.199, 0.097, -0.0464
1720524806316, 16.75, -10, 11.75, -0.19, 0.072, -0.0416
1720524806347, 16.2, -9.5, 11.6, -0.149, 0.137, -0.0416
1720524806378, 16.65, -8.85, 11.6, -0.095, 0.096, -0.0632
1720524806410, 15.5, -7.6, 11.55, 0, 0.183, -0.064
1720524806441, 17.2, -7.4, 12.45, 0.034, -0.014, -0.164
1720524806472, 16.8, -6.2, 11.65, 0.173, 0.039, -0.0424
1720524806503, 15.2, -5.6, 11.55, 0.163, 0.251, -0.1288
1720524806535, 16.45, -6, 10.35, 0.078, 0.067, -0.0752
1720524806566, 16.55, -6.4, 14.4, 0.157, -0.022, -0.1032
1720524806597, 17.25, -7.8, 10.75, 0.001, 0.022, 0.024
1720524806628, 16.6, -6.7, 11, 0.107, 0.127, -0.0368
1720524806660, 17.2, -9.65, 11.35, -0.095, 0.043, 0.0464
1720524806691, 18.15, -11.25, 12.65, -0.314, 0.021, 0.0096
1720524806722, 18.5, -12.7, 11.7, -0.38, 0, -0.1184
1720524806769, 17.8, -14.1, 13.25, -0.536, -0.105, 0.0408
1720524806831, 16.7, -13.15, 13.3, -0.491, 0.135, -0.068
1720524806878, 16.85, -9.95, 10.45, -0.159, 0.065, -0.0448
1720524806925, 17.55, -8.8, 13.05, -0.037, -0.001, -0.0264
1720524806988, 17.85, -9.35, 11.25, -0.127, -0.009, -0.044
1720524807035, 17.1, -8.35, 11.55, -0.03, 0.05, -0.0368
1720524807097, 20.95, -8.7, 9.7, -0.235, -0.314, -0.0048
1720524807128, 15.3, -10.8, 17.7, -0.303, 0.173, -0.0888
1720524807175, 17.05, -8.85, 16.05, -0.016, 0.08, -0.06
1720524807191, 16.9, -7.2, 14.45, 0.168, 0.141, -0.0784
1720524807222, 17.85, -8.9, 12.35, -0.068, -0.021, -0.0504
1720524807253, 17.65, -11.25, 9.65, -0.324, -0.042, -0.0176
1720524807285, 17.65, -7.9, 8.6, 0.058, 0.003, -0.0792
1720524807316, 18.15, -8.5, 9.95, -0.08, -0.004, -0.0392
1720524807363, 18.45, -11.5, 14, -0.521, -0.149, -0.0056
1720524807394, 17.6, -9.05, 15.25, -0.009, 0.02, -0.068
1720524807425, 17.3, -7.15, 12.1, 0.311, 0.19, -0.0472
1720524807456, 16.05, -3.55, 3.35, 0.588, 0.332, -0.0744
1720524807488, 8.75, 8, -29.55, 2.689, 1.529, -0.0864
1720524807519, 10.4, 4.25, -23.7, 2.208, 1.25, -0.2488
1720524807550, 19, -13.05, 11.05, -0.61, -0.014, -0.1904
1720524807581, 14.55, -10.25, 13.95, -0.383, 0.309, -0.0816
1720524807613, 12.8, -8.2, 10.7, -0.115, 0.605, -0.2424
1720524807644, 14, -13.55, 8.1, -0.897, 0.489, -0.304
1720524807722, 15.05, -15.2, 10.7, -1.174, 0.372, -0.264
