UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1722923018095, -5.75, 17.2, 1, -0.134, -0.01, -0.0288
1722923018126, -5.85, 17.2, 1.1, -0.135, -0.01, -0.028
1722923018157, -5.75, 17.2, 1.05, -0.141, -0.01, -0.0312
1722923018189, -5.65, 17.05, 1.05, -0.135, -0.01, -0.028
1722923018220, -5.8, 17.2, 1.1, -0.135, -0.01, -0.0288
1722923018251, -5.75, 17.25, 1.05, -0.141, -0.009, -0.0312
1722923018267, -5.7, 17.25, 1.05, -0.136, -0.009, -0.028
1722923018298, -5.75, 17.2, 1.05, -0.135, -0.01, -0.0304
1722923018314, -5.75, 17.25, 1.1, -0.139, -0.011, -0.028
1722923018361, -5.7, 17.25, 1.1, -0.137, -0.01, -0.028
1722923018392, -5.85, 17.15, 1.05, -0.134, -0.01, -0.0288
1722923018423, -5.7, 17.25, 1.05, -0.141, -0.01, -0.0304
1722923018454, -5.75, 17.25, 1.05, -0.136, -0.01, -0.028
1722923018486, -5.6, 17.1, 1, -0.136, -0.01, -0.0264
1722923018517, -5.85, 17.2, 1.1, -0.141, -0.01, -0.032
1722923018548, -5.6, 17.3, 1.1, -0.134, -0.01, -0.0288
1722923018579, -5.75, 17.2, 1.1, -0.138, -0.011, -0.0296
1722923018611, -5.75, 17.15, 1.05, -0.14, -0.011, -0.0272
1722923018642, -5.8, 17.2, 0.95, -0.132, -0.011, -0.0304
1722923018673, -5.85, 17.15, 1.05, -0.138, -0.011, -0.0304
1722923018704, -5.7, 17.15, 1.05, -0.136, -0.01, -0.0304
1722923018736, -5.8, 17.2, 1.05, -0.134, -0.009, -0.0304
1722923018767, -5.8, 17.05, 1.1, -0.139, -0.01, -0.0312
1722923018798, -5.85, 17.1, 1.05, -0.136, -0.011, -0.0288
1722923018829, -5.7, 17.15, 1.05, -0.134, -0.01, -0.0288
1722923018861, -5.7, 17.05, 1.05, -0.139, -0.009, -0.0272
1722923018892, -5.7, 17.2, 1.05, -0.135, -0.011, -0.0296
1722923018923, -5.8, 17.15, 1.1, -0.135, -0.01, -0.0288
1722923018954, -5.8, 17, 1, -0.14, -0.01, -0.0312
1722923018986, -5.9, 17.15, 1.1, -0.135, -0.009, -0.0288
1722923019017, -5.75, 17.2, 1, -0.138, -0.01, -0.0304
1722923019048, -5.85, 17.2, 1.1, -0.14, -0.011, -0.0272
1722923019079, -5.7, 17.1, 1.05, -0.134, -0.01, -0.0288
1722923019111, -5.85, 17.1, 1.05, -0.137, -0.011, -0.0304
1722923019142, -5.7, 17.1, 1.15, -0.138, -0.011, -0.028
1722923019173, -5.6, 17.25, 1, -0.135, -0.01, -0.0264
1722923019220, -5.85, 17.3, 1.25, -0.122, -0.011, -0.0776
1722923019251, -6.3, 17.1, 1.05, -0.1, -0.019, -0.1464
1722923019282, -5.55, 17, 1.1, -0.058, -0.016, 0.0232
1722923019314, -6.2, 17.25, 1.55, -0.261, -0.012, -0.108
