UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1720599751141, 11.05, -3.6, 18.95, 0.168, 0.121, 0.0416
1720599751156, 11.65, -2.2, 19.7, 0.327, 0.092, 0.0456
1720599751172, 11.3, -2, 19.75, 0.338, 0.12, 0.0584
1720599751203, 11.7, -3, 19.5, 0.259, 0.065, 0.052
1720599751219, 11, -2.25, 19.65, 0.324, 0.116, 0.0632
1720599751234, 11.95, -2.45, 19.85, 0.289, 0.038, 0.0096
1720599751250, 11.7, -3.1, 19.5, 0.262, 0.08, 0.052
1720599751266, 11.5, -2.65, 19.6, 0.287, 0.089, 0.048
1720599751281, 11.75, -2.3, 19.85, 0.297, 0.061, 0.0224
1720599751297, 11.55, -2.85, 19.45, 0.264, 0.087, 0.0528
1720599751312, 11.6, -2.9, 19.45, 0.269, 0.083, 0.036
1720599751328, 11.35, -2.45, 19.65, 0.293, 0.089, 0.0344
1720599751344, 11.4, -2.6, 19.6, 0.296, 0.097, 0.0512
1720599751359, 11.8, -2.85, 19.7, 0.263, 0.053, 0.0248
1720599751375, 11.6, -2.55, 19.6, 0.276, 0.083, 0.056
1720599751391, 11.6, -2.4, 19.5, 0.302, 0.088, 0.064
1720599751422, 11.7, -2.85, 19.65, 0.273, 0.069, 0.0352
1720599751453, 11.7, -2.65, 19.75, 0.273, 0.074, 0.0352
1720599751484, 11.6, -2.65, 19.55, 0.284, 0.084, 0.036
1720599751516, 11.65, -2.7, 19.45, 0.283, 0.096, 0.0448
1720599751547, 11.6, -2.95, 19.8, 0.272, 0.078, 0.036
1720599751578, 11.75, -2.65, 19.6, 0.277, 0.081, 0.0424
1720599751609, 11.35, -2.65, 19.55, 0.29, 0.09, 0.0528
1720599751641, 11.7, -2.75, 19.55, 0.256, 0.08, 0.0384
1720599751672, 11.45, -2.4, 19.65, 0.303, 0.094, 0.0536
1720599751703, 11.3, -2.85, 19.3, 0.263, 0.099, 0.036
1720599751734, 11.3, -2.55, 19.2, 0.296, 0.084, 0.0256
1720599751766, 10.65, -3.6, 18.85, 0.155, 0.153, 0.0672
1720599751797, 10.05, -3.35, 18.75, 0.184, 0.192, 0.0736
1720599751828, 11.75, -2.35, 20.05, 0.314, 0.09, 0.0168
1720599751859, 12.35, -2.45, 20.15, 0.344, 0.052, 0.0624
1720599751891, 10.9, -2.65, 19, 0.238, 0.12, 0.0464
1720599751922, 11.65, -2.95, 19.55, 0.269, 0.101, 0.0736
1720599751953, 11, -2.3, 19.35, 0.299, 0.123, 0.0256
1720599751984, 11.05, -2.4, 19.15, 0.304, 0.082, 0.0488
1720599752016, 11.25, -3.05, 19.15, 0.203, 0.089, 0.0312
1720599752047, 11.15, -2.8, 19.35, 0.225, 0.086, 0.02
1720599752078, 11.65, -2.15, 19.55, 0.316, 0.059, 0.0168
1720599752109, 11.95, -1.9, 19.8, 0.364, 0.024, 0.0288
1720599752156, 12.05, -2.55, 20, 0.323, 0.069, 0.036
1720599752219, 11.8, -2.1, 20.05, 0.375, 0.089, 0.0776
1720599752266, 11.6, -2.3, 19.75, 0.325, 0.079, 0.0304
1720599752312, 11.65, -2.9, 19.65, 0.259, 0.068, 0.0368
1720599752344, 11.65, -2.75, 19.65, 0.28, 0.084, 0.0464
1720599752375, 11.5, -2.5, 19.9, 0.303, 0.084, 0.0368
1720599752422, 11.85, -2.85, 19.75, 0.285, 0.057, 0.0408
1720599752469, 11.85, -3, 20.2, 0.281, 0.081, 0.0384
1720599752516, 12.05, -2.9, 20.05, 0.305, 0.054, -0.0416
1720599752562, 10.3, -3.4, 18.9, 0.185, 0.221, 0.0848
1720599752594, 11.35, -2.9, 19.85, 0.246, 0.107, 0.0168
1720599752625, 11.35, -3.05, 19.8, 0.236, 0.082, 0.0416
1720599752656, 11.25, -2.4, 19.4, 0.318, 0.114, 0.0984
1720599752687, 11, -2.8, 19.25, 0.267, 0.145, 0.08
1720599752719, 11.45, -2.75, 20.1, 0.309, 0.102, 0.048
1720599752750, 10.95, -2.95, 19.45, 0.233, 0.126, 0.076
1720599752781, 11.6, -2.9, 18.85, 0.232, 0.084, -0.0016
1720599752812, 11.55, -3.1, 19.95, 0.245, 0.104, 0.0512
1720599752844, 11.2, -2.15, 19.65, 0.321, 0.113, 0.0752
1720599752875, 11.95, -2.4, 19.75, 0.314, 0.058, 0.0288
1720599752906, 11.75, -2.3, 19.25, 0.325, 0.068, 0.0768
1720599752937, 11.3, -2.7, 19.95, 0.275, 0.12, 0.0552
1720599752969, 11.75, -2.6, 20.15, 0.28, 0.066, 0.0232
1720599753000, 12, -2.7, 19.25, 0.285, 0.064, 0.0328
1720599753031, 11.55, -2.2, 19.25, 0.301, 0.08, 0.0432
1720599753062, 11.35, -2.95, 19.85, 0.259, 0.092, 0.0584
1720599753094, 11.4, -2.4, 19.75, 0.31, 0.11, 0.0648
1720599753141, 11.95, -2.4, 20.15, 0.308, 0.04, 0.0128
1720599753187, 10.1, -3.35, 18.75, 0.159, 0.196, 0.0704
1720599753219, 10.45, -2.85, 18.65, 0.214, 0.169, 0.0664
1720599753250, 11.35, -2.1, 19.45, 0.32, 0.094, 0.048
1720599753281, 12.5, -2.55, 20, 0.332, 0.035, 0.0424
1720599753312, 11.3, -1.8, 19.6, 0.338, 0.144, 0.084
1720599753344, 11.8, -3.7, 19.4, 0.194, 0.055, 0.036
1720599753375, 12.2, -2, 19.9, 0.352, 0.015, -0.0016
1720599753406, 11.65, -3.55, 19.55, 0.252, 0.104, 0.0576
1720599753437, 11.55, -2.9, 20.1, 0.242, 0.089, 0.0112
1720599753469, 12.3, -2.95, 19.85, 0.261, -0.001, -0.0104
1720599753500, 12.5, -2.2, 20.1, 0.337, 0.004, -0.008
1720599753531, 11.45, -2.25, 19.85, 0.348, 0.092, 0.0832
1720599753562, 11.85, -3.05, 19.75, 0.252, 0.087, 0.0352
1720599753594, 11.35, -2.9, 19.45, 0.229, 0.073, 0.0128
1720599753625, 10.8, -2.9, 19.1, 0.244, 0.131, 0.076
1720599753656, 11.45, -2.75, 19.5, 0.283, 0.111, 0.0848
1720599753687, 11.55, -2.3, 19.8, 0.327, 0.081, 0.04
1720599753703, 11.75, -2.35, 19.55, 0.295, 0.083, 0.0536
1720599753719, 11.3, -3.4, 19.35, 0.202, 0.129, 0.0632
1720599753750, 10.3, -2.25, 18.75, 0.291, 0.166, 0.0984
1720599753781, 10.9, -3.05, 19.3, 0.23, 0.142, 0.0704
1720599753812, 11.1, -3, 19.75, 0.234, 0.138, 0.0464
1720599753844, 12, -3, 19.9, 0.236, 0.069, -0.0048
1720599753875, 11.15, -1.9, 19.55, 0.349, 0.088, 0.08
1720599753906, 12.3, -2.2, 19.75, 0.329, 0.061, 0.0424
1720599753937, 10.75, -2.95, 19.25, 0.218, 0.14, 0.0344
1720599753969, 11.25, -3.15, 18.75, 0.191, 0.095, -0.0128
1720599754000, 12.15, -2.05, 20.5, 0.39, 0.059, 0.0888
1720599754031, 11.6, -2.25, 19.45, 0.298, 0.092, 0.0528
1720599754062, 10.95, -2.75, 19.3, 0.25, 0.155, 0.0752
1720599754109, 11.5, -2.4, 19.45, 0.308, 0.079, 0.04
1720599754156, 12.2, 0.4, 19.95, 0.567, 0.073, -0.0216
1720599754187, 9.4, -2.05, 20.15, 0.439, 0.319, 0.2248
1720599754234, 12.2, -5.9, 19.9, 0.002, 0.007, -0.0256
1720599754266, 12.55, -3.1, 19.8, 0.23, -0.037, -0.0088
1720599754297, 7.9, -2.65, 20.35, 0.33, 0.332, 0.1424
1720599754328, 4.7, -5.85, 19.65, 0.03, 0.589, 0.0976
1720599754359, 0.1, -6.5, 17.05, -0.362, 0.885, 0.2568
1720599754391, 2.65, -9.05, 20.05, -0.543, 0.729, 0.1272
1720599754422, 2.9, -2.6, 15.15, 0.327, 0.942, 0.228
1720599754453, 8.85, -2.65, 21.35, 0.052, 0.212, 0.1536
1720599754484, 7.45, -4.65, 15.15, 0.554, 0.543, 0.1376
1720599754516, 12.1, -4.45, 11.35, 0.688, 0.516, -0.1592
1720599754547, 18.6, -5.9, 20.45, 0.555, -0.856, -0.3912
1720599754578, 22.8, -5.35, 22.85, 0.015, -0.639, -0.2176
1720599754609, 17.1, -3.4, 14.45, 0.208, -0.435, -0.18
1720599754656, 10.6, -10.35, 15.2, -0.276, 0.2, -0.128
1720599754687, 18.9, -6.6, 23.85, 0.006, -0.315, -0.2696
1720599754719, 11, -7.5, 24.65, 0.085, 0.078, 0.0424
1720599754750, 10.85, -8.45, 20.25, -0.027, 0.128, 0.0208
1720599754781, 10.05, -6.85, 18.2, -0.112, 0.226, 0.1552
1720599754812, 11.75, -7.55, 17.75, -0.064, 0.015, 0.0288
1720599754844, 10.9, -7.15, 16.1, -0.149, 0.103, 0.0544
1720599754875, 11.65, -6.05, 19.95, 0.147, 0.003, -0.02
1720599754906, 11.15, -5.75, 22.45, 0.204, 0.135, -0.1176
1720599754937, 10.5, -6.95, 25.35, 0.251, 0.24, 0.2192
1720599754969, 10.75, -6.25, 20, 0.18, 0.387, 0.1176
1720599755000, 11.7, -7.75, 18.3, -0.112, 0.055, -0.0384
1720599755031, 10.1, -10.5, 20.05, -0.302, 0.246, 0.168
1720599755062, 11.25, -6.45, 19.65, 0.138, 0.275, 0.1552
1720599755094, 10.9, -7.35, 20.75, -0.056, 0.218, 0.1096
1720599755141, 14.4, -3.15, 28.95, 0.322, 0.147, 0.096
1720599755172, 8.8, -1.45, 24.4, 0.681, 0.39, 0.2768
1720599755203, 9.75, -6.55, 32.9, 0.902, 0.169, 0.204
1720599755234, 12.8, -5.65, 24.3, -0.024, -0.145, 0.0016
1720599755266, 14.55, -10.3, 25.5, 0.105, -0.237, 0.14
1720599755297, 15.9, -12.6, 21.75, -0.244, -0.576, 0.1328
1720599755312, 13, -13.95, 12.9, -0.959, -0.428, -0.0312
1720599755359, 9.9, -13.1, 11.4, -0.712, 0.177, -0.0992
1720599755391, 9.95, -9.9, 14.35, -0.342, 0.189, -0.0072
1720599755422, 7.1, -11.95, 15.7, -0.487, 0.466, 0.1976
1720599755453, 8.05, -8.65, 18.8, -0.127, 0.386, 0.1216
1720599755547, 6.45, -9.4, 19.45, -0.162, 0.529, 0.1888
1720599755609, 7.8, -10.4, 19.3, -0.256, 0.419, 0.1568
1720599755625, 6.55, -8.95, 19.1, -0.14, 0.523, 0.1832
1720599755656, 7.2, -10.25, 19.05, -0.248, 0.415, 0.1784
1720599755687, 6.85, -9, 19.65, -0.109, 0.451, 0.1656
1720599755719, 7.15, -9.9, 19.35, -0.2, 0.461, 0.1528
1720599755750, 7, -10, 19.2, -0.236, 0.48, 0.1856
1720599755781, 6.85, -9.4, 19.4, -0.163, 0.461, 0.1584
1720599755812, 7.2, -10.05, 19.15, -0.23, 0.451, 0.1584
1720599755844, 6.85, -9.5, 19.3, -0.175, 0.476, 0.1616
1720599755875, 6.85, -9.8, 19.15, -0.182, 0.482, 0.168
1720599755906, 6.85, -9.75, 19.1, -0.187, 0.482, 0.1632
1720599755937, 6.85, -9.4, 19.35, -0.17, 0.484, 0.1832
1720599755953, 7.15, -10.1, 19.1, -0.242, 0.449, 0.1728
1720599756016, 7.15, -9.75, 19.25, -0.197, 0.421, 0.1648
1720599756062, 7.35, -9.95, 19.7, -0.216, 0.443, 0.1864
1720599756094, 7.45, -9.7, 19.05, -0.197, 0.47, 0.2096
1720599756125, 7.65, -9.15, 19.6, -0.133, 0.443, 0.1736
1720599756187, 6.6, -10, 18.45, -0.244, 0.466, 0.1704
1720599756266, 7.2, -9.3, 19.55, -0.157, 0.454, 0.1688
1720599756297, 6.4, -9.15, 18.55, -0.133, 0.479, 0.1936
1720599756344, 7.1, -9, 18.9, -0.116, 0.489, 0.1712
1720599756375, 6.5, -10.05, 18.95, -0.208, 0.508, 0.2272
1720599756406, 6.75, -9.5, 19.4, -0.164, 0.46, 0.1744
1720599756437, 7.15, -9.6, 19.25, -0.187, 0.44, 0.1568
1720599756469, 7.3, -10, 19.2, -0.23, 0.458, 0.1552
1720599756500, 6.75, -9.2, 19.1, -0.154, 0.499, 0.1728
1720599756531, 7.2, -9.7, 19.25, -0.215, 0.469, 0.176
1720599756562, 6.8, -10.05, 19.35, -0.227, 0.464, 0.1752
1720599756594, 7.15, -9.95, 19.3, -0.221, 0.441, 0.1632
1720599756625, 7.3, -9.4, 19.45, -0.149, 0.448, 0.1592
1720599756656, 7.05, -9.7, 18.85, -0.194, 0.469, 0.1744
1720599756703, 6.85, -10.1, 19.2, -0.242, 0.478, 0.1656
1720599756781, 6.45, -9.45, 19, -0.158, 0.49, 0.1896
1720599756828, 7.2, -10.15, 19.65, -0.233, 0.437, 0.1472
1720599756875, 6.25, -10.7, 18.45, -0.307, 0.508, 0.208
1720599756922, 6.85, -9.95, 18.85, -0.225, 0.484, 0.1728
1720599756953, 6.6, -9.55, 19.6, -0.162, 0.503, 0.1808
1720599756984, 7.25, -9.1, 18.75, -0.124, 0.462, 0.164
1720599757016, 7.15, -9, 19.85, -0.118, 0.426, 0.1472
1720599757047, 6.9, -10.15, 18.55, -0.245, 0.52, 0.176
1720599757078, 7.35, -9.75, 19.85, -0.173, 0.396, 0.136
1720599757109, 7, -8.85, 19.15, -0.14, 0.47, 0.1896
1720599757141, 7.6, -9.75, 19.55, -0.199, 0.42, 0.16
1720599757172, 7.1, -9.7, 19.6, -0.199, 0.446, 0.1696
1720599757203, 6.95, -9.8, 19.15, -0.217, 0.449, 0.1536
1720599757281, 6.65, -9.4, 18.95, -0.172, 0.516, 0.1888
1720599757344, 7.05, -9.5, 19.3, -0.166, 0.488, 0.1904
1720599757391, 7.1, -9.5, 19.15, -0.202, 0.454, 0.1672
1720599757437, 6.95, -9.9, 18.9, -0.242, 0.455, 0.1688
1720599757469, 6.9, -9.8, 19.35, -0.18, 0.457, 0.172
1720599757500, 7.1, -9.65, 19.4, -0.197, 0.478, 0.1816
1720599757531, 7.1, -9.55, 19.3, -0.134, 0.454, 0.1728
1720599757562, 7.05, -9.7, 19.1, -0.21, 0.45, 0.1384
1720599757594, 6.85, -9.55, 18.75, -0.16, 0.504, 0.1904
1720599757641, 6.85, -10.05, 19.4, -0.19, 0.484, 0.1544
1720599757687, 7.1, -9.65, 19.25, -0.192, 0.449, 0.1776
1720599757750, 6.75, -9.2, 19.1, -0.148, 0.498, 0.1848
1720599757812, 6.65, -9.7, 19.05, -0.182, 0.496, 0.1808
1720599757844, 7.1, -9.8, 19.15, -0.21, 0.472, 0.1696
1720599757875, 6.9, -9.5, 19.05, -0.178, 0.476, 0.168
1720599757906, 7, -9.8, 19.5, -0.203, 0.461, 0.1648
1720599757969, 6.95, -9.6, 19.3, -0.203, 0.456, 0.1648
1720599758016, 7.05, -9.6, 19.25, -0.19, 0.45, 0.164
1720599758078, 6.9, -9.65, 19, -0.169, 0.472, 0.1672
1720599758141, 6.9, -9.7, 19.45, -0.203, 0.43, 0.1592
1720599758187, 7.1, -9.05, 19.55, -0.118, 0.446, 0.172
1720599758219, 7.15, -10.05, 18.7, -0.246, 0.446, 0.1656
1720599758266, 6.8, -8.2, 19.4, -0.06, 0.555, 0.144
1720599758297, 5.55, -8.85, 18.6, -0.12, 0.53, 0.1904
1720599758328, 7.45, -12.5, 18.05, -0.469, 0.417, 0.0928
1720599758375, 6.2, -8.7, 19.3, -0.111, 0.496, 0.1248
1720599758422, 7.1, -10.9, 18.8, -0.3, 0.526, 0.1336
1720599758469, 7.3, -9.85, 19.75, -0.176, 0.418, 0.1776
1720599758516, 6.65, -10.5, 19.25, -0.25, 0.512, 0.1488
1720599758562, 7.6, -9.65, 20, -0.148, 0.362, 0.1344
1720599758594, 7.1, -9, 20.1, -0.085, 0.482, 0.176
1720599758625, 7.35, -11.05, 18.7, -0.357, 0.447, 0.2024
1720599758672, 7.55, -8.6, 19.95, -0.032, 0.426, 0.1376
1720599758719, 7.05, -9.95, 18.5, -0.216, 0.597, 0.1768
1720599758781, 7.5, -9.7, 19.15, -0.263, 0.416, 0.1008
1720599758828, 6.65, -9.8, 18.8, -0.271, 0.465, 0.2192
1720599758875, 6.75, -9, 19.25, -0.108, 0.398, 0.1424
1720599758906, 7.1, -10.2, 19.6, -0.231, 0.469, 0.2096
1720599758953, 7.2, -10.05, 19.7, -0.203, 0.422, 0.2168
1720599758984, 7.15, -8.45, 19.75, -0.083, 0.433, 0.2048
1720599759016, 6.1, -7.25, 20.45, 0.039, 0.547, 0.1624
1720599759063, 7.15, -5.4, 20.35, 0.147, 0.365, 0.1456
1720599759109, 5.05, -6.15, 22.1, 0.285, 0.637, 0.1568
1720599759141, 6, -9.45, 19.6, -0.384, 0.692, 0.428
1720599759172, 9.05, -7.7, 21.75, -0.125, 0.24, 0.2736
1720599759219, 6.45, -6.35, 11.3, -0.208, 0.393, 0.0112
1720599759297, 15.5, -14.6, 22, -0.408, -0.109, 0.068
1720599759328, 7.25, -12.4, 18.25, -0.596, 0.105, 0.152
1720599759391, 10.55, -9.4, 19.4, -0.182, 0.284, 0.0192
1720599759469, 10.05, -16.45, 20.65, -0.517, 0.116, 0.0848
1720599759516, 5.8, -15.55, 15.15, -0.882, 0.366, 0.0824
1720599759547, 9.05, -15.9, 18.8, -0.541, 0.317, 0.0256
1720599759594, 8.1, -13.5, 18.2, -0.563, 0.366, 0.1128
1720599759625, 7.35, -11.8, 19, -0.365, 0.445, 0.1816
1720599759672, 7.75, -11.85, 18.2, -0.383, 0.403, 0.1664
1720599759703, 7.75, -12.05, 18.15, -0.446, 0.413, 0.1464
1720599759734, 7.85, -12.2, 18.2, -0.499, 0.37, 0.132
1720599759766, 6.8, -11.2, 18.5, -0.281, 0.481, 0.1896
1720599759797, 7.45, -12.15, 16.55, -0.618, 0.366, 0.2024
1720599759828, 7.05, -12.1, 17.35, -0.443, 0.405, 0.1224
1720599759859, 8.25, -11.35, 17.5, -0.382, 0.292, 0.1096
