UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1720600238906, 16.25, -10.05, 12.1, -0.199, 0.095, -0.044
1720600238937, 16.3, -9.85, 11.9, -0.166, 0.087, -0.0416
1720600238953, 16, -10.05, 11.85, -0.202, 0.105, -0.0448
1720600238968, 16.3, -10.05, 12.05, -0.2, 0.088, -0.0408
1720600238984, 16.4, -9.9, 11.9, -0.182, 0.082, -0.04
1720600239000, 16.25, -10, 11.85, -0.188, 0.088, -0.044
1720600239015, 16.05, -10.05, 11.9, -0.189, 0.098, -0.0328
1720600239062, 16.1, -9.95, 11.8, -0.171, 0.077, -0.0408
1720600239093, 16.25, -10.05, 11.8, -0.174, 0.086, -0.0416
1720600239125, 16.15, -10.1, 11.9, -0.203, 0.082, -0.0512
1720600239171, 16.15, -9.85, 11.6, -0.169, 0.117, -0.0488
1720600239234, 16.4, -9.4, 11.85, -0.138, 0.083, -0.0648
1720600239281, 16.4, -8.25, 12.75, -0.059, 0.075, -0.016
1720600239312, 17.5, -7.75, 12.5, -0.049, -0.039, -0.0312
1720600239343, 15.15, -6.15, 13.25, 0.178, 0.175, -0.0744
1720600239375, 16.15, -6.5, 10.8, 0.2, 0.157, -0.0728
1720600239406, 17.5, -6.3, 13.1, 0.075, -0.06, -0.056
1720600239453, 15.7, -6.35, 11.15, 0.08, 0.245, -0.1488
1720600239484, 17.65, -7.75, 12.95, 0.034, -0.085, -0.12
1720600239515, 16.15, -7.6, 11.75, 0.08, 0.159, 0.0168
1720600239546, 18.1, -11.9, 12.4, -0.263, -0.063, 0.08
1720600239578, 18.2, -12.55, 13.6, -0.459, -0.181, 0.0016
1720600239609, 17.1, -14.75, 14.15, -0.655, -0.066, -0.0408
1720600239640, 16.3, -13.9, 13.7, -0.73, -0.091, 0.028
1720600239671, 16.2, -13.45, 10.1, -0.449, 0.241, 0.0184
1720600239703, 16.55, -13.25, 12.55, -0.516, 0.097, -0.0672
1720600239734, 17.7, -11.8, 13.35, -0.353, -0.062, -0.0528
1720600239765, 17.8, -10.95, 11.65, -0.284, -0.081, -0.036
1720600239796, 15.4, -5.35, 10.2, 0.268, 0.203, -0.0496
1720600239828, 23.95, -11.2, 5.6, -0.328, -0.66, -0.0264
1720600239859, 17.45, -7.45, 10.95, 0.093, -0.038, -0.048
1720600239890, 13.85, -10.35, 14.7, -0.08, 0.312, 0.0064
1720600239921, 15.65, -10.7, 10.6, -0.266, 0.127, 0
1720600239953, 17.65, -9.35, 10.5, -0.132, -0.074, 0.0072
1720600239984, 17.4, -9.6, 12, -0.183, -0.017, -0.0096
1720600240031, 15.5, -8.05, 10.9, 0.097, 0.205, 0.0208
1720600240109, 16, -6.2, 10.1, 0.34, 0.093, -0.016
1720600240140, 12.05, 0.85, -12.45, 1.758, 0.994, -0.0496
1720600240171, 10.9, 2.7, -22.9, 2.318, 1.316, -0.2136
1720600240218, 16.5, -12.15, 11.7, -0.587, -0.006, -0.1864
1720600240250, 15.9, -13.75, 12.3, -0.87, 0.171, -0.1864
1720600240281, 15.5, -14.95, 8.65, -0.966, 0.296, -0.1984
1720600240312, 15.85, -15.65, 10.15, -1.384, 0.152, -0.172
1720600240328, 15.75, -16.3, 8.45, -1.34, 0.285, -0.1696
1720600240359, 16, -16.6, 8.8, -1.39, 0.153, -0.1584
1720600240390, 17.85, -19.3, 12.75, -1.722, -0.034, -0.1168
1720600240421, 18.8, -23.25, 14.6, -2.279, -0.207, -0.0728
1720600240453, 18.9, -25.55, 13.45, -2.645, -0.257, -0.0544
1720600240484, 17.8, -24.15, 8.65, -2.482, -0.052, -0.0552
1720600240515, 15.5, -18.4, 1.15, -1.482, 0.447, -0.1336
1720600240546, 15.85, -7.95, 6.95, -0.352, 0.338, -0.0704
1720600240578, 16.35, -12.1, 8.2, -0.604, 0.231, 0.0392
1720600240609, 17.2, -15.2, 10.55, -1.021, -0.037, 0.0696
1720600240640, 16.1, -10.2, 9.4, -0.445, 0.308, -0.0496
1720600240671, 15.75, -10.75, 9.45, -0.537, 0.366, -0.0832
1720600240703, 15.05, -14.65, 5.85, -0.898, 0.384, -0.0416
1720600240734, 14.4, -15.3, 4.1, -0.891, 0.449, -0.0296
1720600240765, 14.1, -11.85, -1.4, -0.682, 0.676, -0.0096
1720600240796, 13.45, -8.05, 3.45, -0.164, 0.696, -0.0232
1720600240828, 12.95, -7.9, 6.25, -0.121, 0.737, 0.0984
1720600240859, 12.7, -13, 4.15, -0.735, 0.73, 0.0224
1720600240890, 12.7, -13.7, 4.15, -0.784, 0.859, 0.0712
1720600240921, 12.75, -10.35, 8.65, -0.723, 0.901, 0.1824
1720600240953, 11.65, -13.65, 7.85, -1.073, 0.913, 0.164
1720600240984, 13.35, -10.25, 9.9, -0.792, 0.773, 0.1584
1720600241015, 14.45, -8.55, 12.3, -0.528, 0.569, 0.0688
1720600241046, 16.8, -7.85, 13.05, -0.298, 0.291, -0.08
1720600241078, 18.7, -4.1, 18.15, 0.331, 0.063, -0.144
1720600241109, 20, -3.75, 20.35, 0.069, -0.294, -0.1896
1720600241156, 16.8, -6.55, 15.6, 0.089, 0, -0.0328
1720600241187, 19.35, -9.95, 11.9, -0.206, -0.113, 0.048
1720600241218, 19.6, -12.35, 9.2, -0.465, -0.133, 0.0832
1720600241250, 17.75, -14.45, 10.8, -0.818, -0.218, 0.0432
1720600241296, 17.2, -14.1, 3.8, -0.507, -0.004, 0.0216
1720600241343, 17.55, -12.25, 7.4, -0.376, -0.095, -0.0144
1720600241359, 17, -12, 8.95, -0.322, -0.024, -0.0416
1720600241390, 19.5, -9.7, 10.4, -0.149, -0.371, -0.0304
1720600241421, 21.25, -8.85, 13.9, -0.041, -0.555, -0.0704
1720600241453, -9.55, -4.45, 15.05, 0.763, 1.611, -1.104
1720600241484, 15.15, -8.5, 8.4, 0.039, 0.044, -0.084
1720600241500, 24.65, -12.45, 8.15, -0.555, -0.749, -0.0128
1720600241531, 14.35, -1.65, 10.6, 1.182, 0.061, -0.6184
1720600241562, 10.8, -9.95, 9.4, 0.2, 0.52, -0.0184
1720600241593, 17.7, -8.65, 11.45, 0.003, -0.124, -0.0672
1720600241625, 21.2, -3.65, 13.35, 0.385, -0.351, -0.1112
1720600241656, 23.95, -2.3, 11, 0.394, -0.614, -0.1104
1720600241687, 23.8, -1.1, 12.2, 0.641, -0.569, -0.224
1720600241718, 26.1, -1.65, 10.75, 0.56, -0.745, -0.0968
1720600241750, 19.5, -9.45, 12.05, -0.276, -0.26, -0.1088
1720600241781, 10.05, -18.5, 13.95, -0.977, 0.632, 0.0288
1720600241812, 8.15, -18.75, 13.45, -1.01, 0.827, -0.0272
1720600241843, 18.35, -14.55, 11.3, -0.524, -0.206, 0.0392
1720600241890, 20.75, -16.95, 12.2, -0.759, -0.564, 0.1456
1720600241921, 19, -10.2, 11, -0.186, -0.253, -0.0624
1720600241953, 18.25, -4.7, 12.9, 0.129, -0.283, -0.0112
1720600241984, 17.85, -4.4, 11, 0.517, -0.142, -0.1744
1720600242015, 17.55, -10.1, 11.15, -0.174, -0.081, -0.1824
1720600242046, 20.7, -12.6, 12.15, -0.535, -0.54, -0.0688
1720600242078, 21.3, -11.7, 13.35, -0.589, -0.672, -0.3648
1720600242109, 21.35, -10.6, 10.95, -0.459, -0.79, -0.2528
1720600242140, 19.45, -5.3, 11.35, 0.212, -0.528, -0.164
1720600242187, 19.9, -7.9, 7.25, 0.02, -0.519, -0.1088
1720600242218, 19.25, -8.05, 8, 0.028, -0.426, -0.0712
1720600242250, 21, -8.65, 4.6, -0.089, -0.386, -0.016
1720600242281, 23.1, -10.7, 8, -0.295, -0.829, -0.0592
1720600242312, 20.1, -8.45, 10.5, 0.057, -0.438, -0.0616
