UNIXtime[ms], fx[N], fy[N], fz[N], mx[Nm], my[Nm], mz[Nm]
1720601403890, 11.2, -2.45, 19.6, 0.267, 0.089, 0.0224
1720601403906, 11.55, -2.9, 19.7, 0.246, 0.071, 0.0312
1720601403921, 11, -2.2, 19.5, 0.295, 0.108, 0.0208
1720601403937, 10.8, -2.35, 19.55, 0.291, 0.135, 0.0448
1720601403953, 11.35, -2.7, 19.4, 0.237, 0.076, 0.0352
1720601403968, 11.6, -2.45, 19.8, 0.302, 0.06, 0.056
1720601403984, 11.05, -2.1, 19.75, 0.284, 0.081, 0.0328
1720601404000, 11.4, -2.05, 19.55, 0.317, 0.075, 0.0536
1720601404015, 11.1, -2.65, 19.3, 0.242, 0.096, 0.0472
1720601404031, 11.4, -2.55, 19.7, 0.27, 0.066, 0.0128
1720601404046, 11.2, -2.05, 19.65, 0.306, 0.086, 0.0392
1720601404078, 11.15, -2.45, 19.55, 0.287, 0.1, 0.0512
1720601404109, 10.9, -2.25, 19.65, 0.298, 0.104, 0.0456
1720601404125, 11.4, -2.4, 19.5, 0.263, 0.07, 0.0296
1720601404156, 10.9, -2.15, 19.5, 0.294, 0.109, 0.0592
1720601404187, 11.2, -2.65, 19.5, 0.257, 0.084, 0.0304
1720601404218, 11.15, -2.35, 19.55, 0.273, 0.09, 0.0376
1720601404250, 11.25, -2.4, 19.4, 0.275, 0.085, 0.0376
1720601404281, 11.2, -2.45, 19.55, 0.281, 0.082, 0.04
1720601404312, 10.9, -2.2, 19.55, 0.297, 0.096, 0.0384
1720601404343, 11.3, -2.3, 19.65, 0.299, 0.083, 0.0352
1720601404375, 11.15, -1.85, 19.8, 0.329, 0.076, 0.0528
1720601404406, 11.65, -2.45, 19.95, 0.314, 0.046, 0.0192
1720601404437, 10.9, -1.95, 19.65, 0.311, 0.111, 0.0472
1720601404468, 10.8, -2.65, 19, 0.247, 0.098, 0.0184
1720601404500, 11.2, -2, 19.05, 0.292, 0.083, 0.0312
1720601404531, 11.3, -2.55, 19.55, 0.263, 0.091, 0.0848
1720601404562, 11.9, -2.4, 20.55, 0.349, 0.022, 0.0136
1720601404593, 11.7, -2.2, 19.85, 0.335, 0.058, 0.0208
1720601404625, 11.95, -2, 20.3, 0.377, 0.028, 0.0368
1720601404656, 12.05, -2.5, 19.9, 0.258, 0.023, 0.0328
1720601404687, 11.2, -1.9, 19.6, 0.301, 0.021, 0.0136
1720601404718, 11.25, -2.7, 19.4, 0.228, 0.085, 0.0272
1720601404750, 11, -2.95, 19.25, 0.194, 0.085, 0.04
1720601404781, 11.55, -1.95, 19.75, 0.326, 0.081, 0.04
1720601404812, 11.55, -1.65, 19.95, 0.357, 0.035, 0
1720601404843, 12.3, -1.85, 20.45, 0.395, 0.02, 0.048
1720601404890, 10.8, -2.5, 18.85, 0.211, 0.091, 0.0456
1720601404921, 11.8, -2.55, 20.05, 0.302, 0.036, 0
1720601404953, 11.45, -2.45, 19.8, 0.273, 0.078, 0.0128
1720601404984, 10.75, -2.7, 19.45, 0.256, 0.129, 0.0536
1720601405031, 11, -2.5, 19.7, 0.29, 0.097, 0.0496
1720601405078, 11, -2.15, 19.75, 0.288, 0.086, 0.0488
1720601405125, 11.5, -2.2, 19.55, 0.313, 0.066, 0.0416
1720601405171, 11.45, -1.7, 19.55, 0.323, 0.071, 0.0216
1720601405218, 10.3, -2.95, 18.9, 0.161, 0.177, 0.0928
1720601405265, 11.85, -2.15, 20.75, 0.376, 0.006, 0.0376
1720601405312, 11.7, -2.9, 19.65, 0.249, 0.064, -0.0056
1720601405359, 12.1, -2.25, 20.15, 0.297, 0.006, 0.0376
1720601405390, 11.55, -2.3, 19.65, 0.271, 0.053, 0.0112
1720601405421, 11.8, -2.25, 20.55, 0.35, 0.06, 0.0912
1720601405453, 11.1, -2.95, 19.1, 0.216, 0.081, 0.0024
1720601405484, 10.6, -2.45, 19.5, 0.259, 0.158, 0.0592
1720601405515, 12.15, -2, 20.2, 0.36, 0.01, 0.0552
1720601405546, 11.5, -2.35, 19.05, 0.255, 0.047, 0.0592
1720601405578, 10.85, -2.1, 18.6, 0.257, 0.121, 0.0344
1720601405609, 10.85, -3.1, 19.7, 0.223, 0.088, 0.0648
1720601405640, 11.7, -1.8, 20.85, 0.405, 0.057, 0.0376
1720601405671, 11.9, -2.15, 19.8, 0.329, 0.043, 0.0488
1720601405718, 11.3, -2.6, 19.1, 0.248, 0.082, 0.0416
1720601405750, 10.8, -2.3, 19.7, 0.293, 0.128, 0.0536
1720601405781, 11.2, -2.45, 19.85, 0.286, 0.099, 0.0528
1720601405812, 10.9, -2, 19.45, 0.3, 0.122, 0.0536
1720601405843, 11.6, -2.95, 19.75, 0.243, 0.047, 0.0224
1720601405921, 12.35, -0.9, 20.75, 0.485, 0.013, 0.0056
1720601405968, 10.95, -1.75, 19.45, 0.33, 0.091, 0.0656
1720601406000, 12.5, -2.85, 20.75, 0.351, 0.023, 0.0696
1720601406031, 11.15, -1.1, 19.6, 0.356, 0.104, 0.0576
1720601406062, 11.6, -2.75, 19.3, 0.235, 0.062, -0.0112
1720601406093, 10.4, -1.8, 19.25, 0.331, 0.167, 0.12
1720601406125, 10.95, -3.2, 19.3, 0.229, 0.13, 0.0616
1720601406156, 10.95, -1.3, 19.65, 0.358, 0.087, 0.0784
1720601406187, 11.95, -2.15, 20, 0.295, 0.029, 0.0384
1720601406234, 10.55, -2.9, 18.8, 0.206, 0.153, 0.0816
1720601406265, 11.3, -1.8, 19.55, 0.34, 0.081, 0.0624
1720601406312, 11.05, -2.4, 19.55, 0.315, 0.099, 0.0744
1720601406328, 11.25, -2.15, 19.55, 0.282, 0.072, 0.0128
1720601406359, 11.55, -2.55, 20.25, 0.293, 0.06, 0.0096
1720601406390, 11.7, -2.3, 19.8, 0.287, 0.048, 0.0136
1720601406421, 11.05, -2.15, 19.35, 0.317, 0.102, 0.0632
1720601406453, 10.85, -2.65, 19.2, 0.256, 0.115, 0.06
1720601406484, 12.05, -2.5, 20.2, 0.276, 0.019, -0.008
1720601406515, 11, -2, 19.4, 0.261, 0.122, 0.0552
1720601406546, 11.45, -2.35, 19.3, 0.288, 0.056, 0.0368
1720601406578, 11.25, -2.8, 19.6, 0.27, 0.109, 0.064
1720601406609, 10.7, -2.85, 19.15, 0.205, 0.12, 0.044
1720601406640, 11.15, -2, 19.7, 0.358, 0.106, 0.1128
1720601406671, 11.9, -2.25, 20, 0.325, 0.018, 0.0264
1720601406718, 10.45, -2.35, 18.9, 0.264, 0.14, 0.0808
1720601406750, 11.45, -3, 19.8, 0.246, 0.086, 0.0432
1720601406781, 12.05, -2.15, 20.65, 0.349, -0.003, 0.0224
1720601406796, 11.75, -1.6, 19.9, 0.357, 0.062, 0.0256
1720601406843, 12.15, -0.2, 20.2, 0.557, 0.086, 0.0832
1720601406906, 9.85, -0.9, 19.15, 0.398, 0.239, 0.1152
1720601406937, 11.15, -1.8, 19.3, 0.324, 0.141, 0.0584
1720601406968, 10.7, -2.85, 19.8, 0.268, 0.111, 0.1176
1720601407000, 8.65, -2.9, 20.2, 0.316, 0.271, 0.176
1720601407031, 7.6, -3.3, 20.9, 0.272, 0.35, 0.1512
1720601407062, 1.4, -6.3, 23.1, 0.214, 0.633, 0.2032
1720601407093, 6.15, -4, 21.65, 0.152, 0.296, 0.3696
1720601407125, 6.5, -2.95, 20.4, 0.357, 0.409, 0.4072
1720601407156, 3.35, -5.9, 19.55, 0.143, 0.609, 0.2168
1720601407187, 9.9, -1.7, 18.65, 0.054, 0.191, 0.1128
1720601407218, 13.25, -5.65, 23.5, 0.211, -0.117, -0.4032
1720601407250, 25.3, -4.35, 30.4, -0.141, -1.45, -0.2392
1720601407281, 26.85, -6.5, 23.1, -0.108, -0.893, -0.4176
1720601407312, 16.35, -7.95, 18.6, -0.07, -0.158, -0.028
1720601407343, 19.1, -5.2, 17.85, 0.02, -0.231, -0.0488
1720601407390, 17.05, -7.75, 22.7, 0.096, -0.294, -0.3848
1720601407421, 14.9, -3.25, 20.3, 0.222, -0.113, -0.004
1720601407453, 12.8, -7.4, 24.15, 0.1, -0.215, -0.1008
1720601407484, 13.4, -8.15, 22.4, 0.063, -0.102, -0.072
1720601407500, 9.95, -6.3, 18.65, -0.092, 0.254, 0.1704
1720601407531, 10.4, -7.55, 17.75, -0.08, 0.126, 0.04
1720601407562, 11.3, -7.1, 16.85, -0.115, 0.074, 0.0064
1720601407593, 10.5, -6.95, 16.2, -0.135, 0.092, -0.0024
1720601407625, 11.5, -5.75, 20.35, 0.163, 0.083, 0.0552
1720601407656, 12.85, -6.85, 28.15, 0.476, -0.125, -0.0888
1720601407687, 10.6, -8.15, 23.6, -0.021, 0.24, 0.1184
1720601407718, 14, -7.25, 21.65, 0.223, 0, 0.0288
1720601407750, 11.4, -7.35, 18.15, -0.06, 0.029, -0.0608
1720601407781, 14.6, -9.95, 22.75, -0.165, -0.175, -0.0112
1720601407828, 10.45, -7.35, 24.3, 0.161, -0.004, -0.0264
1720601407875, 10.95, -1.05, 25.2, 0.54, 0.307, 0.1824
1720601407906, 7.2, -5.05, 29.15, 0.486, 0.439, -0.0768
1720601407937, 8.55, -7.85, 32.1, 1.035, 0.277, 0.2688
1720601407968, 12.3, -9.95, 23.15, -0.266, -0.076, 0.0984
1720601408000, 7.95, -8.85, 9.45, -0.331, 0.595, 0.1552
1720601408031, 12.25, -8.4, 9.15, -0.506, 0.17, -0.0056
1720601408062, 11.95, -13.1, 10, -0.846, 0.161, -0.0856
1720601408078, 13.15, -10.3, 12.9, -0.557, -0.063, 0.0544
1720601408109, 9.45, -10.2, 14.95, -0.366, 0.263, 0.0328
1720601408140, 6.75, -11.25, 16.95, -0.491, 0.483, 0.2432
1720601408171, 8, -8.95, 18.65, -0.126, 0.425, 0.1352
1720601408203, 5.9, -9.35, 19.6, -0.165, 0.512, 0.1488
1720601408281, 5.7, -8.8, 19.45, -0.111, 0.538, 0.1872
1720601408328, 6.6, -9.8, 19.65, -0.194, 0.468, 0.1768
1720601408375, 6.85, -10.1, 19.15, -0.279, 0.447, 0.1744
1720601408406, 6.95, -9.25, 19.45, -0.138, 0.449, 0.1568
1720601408437, 6.95, -9.15, 19.15, -0.18, 0.441, 0.16
1720601408468, 6.55, -10.15, 19.2, -0.23, 0.485, 0.1808
1720601408515, 6.6, -9.35, 19.1, -0.168, 0.459, 0.1624
1720601408562, 6.4, -9.35, 18.8, -0.221, 0.487, 0.1808
1720601408593, 6.65, -9.4, 19.6, -0.182, 0.441, 0.1624
1720601408625, 6.8, -9.65, 19.2, -0.236, 0.431, 0.1688
1720601408656, 6.5, -9.05, 19.05, -0.167, 0.479, 0.1896
1720601408687, 6.7, -9.65, 19.35, -0.235, 0.443, 0.1632
1720601408734, 6.6, -9.5, 19.3, -0.193, 0.479, 0.18
1720601408781, 6.5, -9.3, 19.2, -0.164, 0.494, 0.1696
1720601408828, 6.8, -9.25, 19.25, -0.146, 0.457, 0.1736
1720601408859, 6.9, -9.45, 19.65, -0.186, 0.458, 0.1752
1720601408890, 6.55, -10.15, 19.2, -0.241, 0.471, 0.1928
1720601408921, 6.35, -9.65, 18.6, -0.213, 0.497, 0.1544
1720601408953, 6.4, -9.2, 19.2, -0.159, 0.483, 0.152
1720601408984, 7.3, -9.2, 19.75, -0.171, 0.406, 0.1656
1720601409031, 6.8, -9.05, 19.7, -0.128, 0.444, 0.196
1720601409062, 6.05, -9.15, 19, -0.194, 0.505, 0.192
1720601409093, 6.55, -9.65, 19.15, -0.224, 0.46, 0.1712
1720601409125, 6.45, -9.05, 19.25, -0.169, 0.507, 0.1824
1720601409156, 6.2, -9.2, 18.6, -0.161, 0.522, 0.2136
1720601409187, 6, -9.35, 19.25, -0.143, 0.505, 0.2088
1720601409218, 7.65, -9.3, 19.7, -0.207, 0.399, 0.14
1720601409250, 7.15, -9.55, 19.1, -0.227, 0.406, 0.132
1720601409281, 6.65, -9.5, 19.6, -0.215, 0.457, 0.1648
1720601409312, 6.4, -9.65, 18.85, -0.212, 0.462, 0.1816
1720601409343, 6.75, -9.8, 19.15, -0.235, 0.425, 0.1456
1720601409375, 6.8, -9.35, 19.4, -0.165, 0.457, 0.1688
